#   nzt =   1
#    zt = 0.8900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39306200E+01
#    Te =  0.25000000E-01
#   rho =  0.10000000E+02
#  zbar =  0.42963279E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.99721697E+01  0.75588082E-01
 0.11233240E-02  0.10541283E+02  0.80119680E-01
 0.12618569E-02  0.11142914E+02  0.84935084E-01
 0.14174742E-02  0.11773498E+02  0.90053482E-01
 0.15922828E-02  0.12439715E+02  0.95495107E-01
 0.17886495E-02  0.13135438E+02  0.10128229E+00
 0.20092330E-02  0.13869816E+02  0.10743884E+00
 0.22570197E-02  0.14633886E+02  0.11399106E+00
 0.25353645E-02  0.15439457E+02  0.12096709E+00
 0.28480359E-02  0.16275218E+02  0.12839787E+00
 0.31992671E-02  0.17155222E+02  0.13631657E+00
 0.35938137E-02  0.18065888E+02  0.14475957E+00
 0.40370173E-02  0.19023423E+02  0.15376596E+00
 0.45348785E-02  0.20010280E+02  0.16337907E+00
 0.50941380E-02  0.21046109E+02  0.17364556E+00
 0.57223677E-02  0.22109078E+02  0.18461727E+00
 0.64280731E-02  0.23222631E+02  0.19635003E+00
 0.72208090E-02  0.24355845E+02  0.20890733E+00
 0.81113083E-02  0.25539435E+02  0.22235800E+00
 0.91116276E-02  0.26736553E+02  0.23677939E+00
 0.10235310E-01  0.27983503E+02  0.25225529E+00
 0.11497570E-01  0.29231993E+02  0.26888157E+00
 0.12915497E-01  0.30527685E+02  0.28676260E+00
 0.14508288E-01  0.31810057E+02  0.30601823E+00
 0.16297508E-01  0.33136320E+02  0.32678187E+00
 0.18307383E-01  0.34531037E+02  0.34916921E+00
 0.20565123E-01  0.36009847E+02  0.37328998E+00
 0.23101297E-01  0.37465079E+02  0.39930322E+00
 0.25950242E-01  0.38983530E+02  0.42740128E+00
 0.29150531E-01  0.40906659E+02  0.45761009E+00
 0.32745492E-01  0.43124624E+02  0.48983593E+00
 0.36783798E-01  0.44682498E+02  0.52446567E+00
 0.41320124E-01  0.46015585E+02  0.56213434E+00
 0.46415888E-01  0.46909897E+02  0.60344267E+00
 0.52140083E-01  0.47672415E+02  0.64903883E+00
 0.58570208E-01  0.48170608E+02  0.69958915E+00
 0.65793322E-01  0.48553564E+02  0.75585272E+00
 0.73907220E-01  0.48625920E+02  0.81876448E+00
 0.83021757E-01  0.48561370E+02  0.88944133E+00
 0.93260335E-01  0.48378964E+02  0.96904389E+00
 0.10476158E+00  0.48131131E+02  0.10588472E+01
