#   nzt =   1
#    zt = 0.4700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.30206600E+01
#    Te =  0.25000000E-01
#   rho =  0.10470000E+02
#  zbar =  0.25183968E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.52724573E+01  0.67955640E-01
 0.11233240E-02  0.55756729E+01  0.72028792E-01
 0.12618569E-02  0.58963387E+01  0.76355277E-01
 0.14174742E-02  0.62330741E+01  0.80951908E-01
 0.15922828E-02  0.65890081E+01  0.85836427E-01
 0.17886495E-02  0.69616075E+01  0.91028321E-01
 0.20092330E-02  0.73551459E+01  0.96548347E-01
 0.22570197E-02  0.77658476E+01  0.10241931E+00
 0.25353645E-02  0.81991888E+01  0.10866559E+00
 0.28480359E-02  0.86502998E+01  0.11531386E+00
 0.31992671E-02  0.91257238E+01  0.12239271E+00
 0.35938137E-02  0.96196386E+01  0.12993334E+00
 0.40370173E-02  0.10139526E+02  0.13796922E+00
 0.45348785E-02  0.10678131E+02  0.14653712E+00
 0.50941380E-02  0.11244223E+02  0.15567654E+00
 0.57223677E-02  0.11828469E+02  0.16543120E+00
 0.64280731E-02  0.12441410E+02  0.17584811E+00
 0.72208090E-02  0.13069562E+02  0.18698038E+00
 0.81113083E-02  0.13726733E+02  0.19888550E+00
 0.91116276E-02  0.14396837E+02  0.21162766E+00
 0.10235310E-01  0.15096188E+02  0.22527642E+00
 0.11497570E-01  0.15806551E+02  0.23990904E+00
 0.12915497E-01  0.16547185E+02  0.25560865E+00
 0.14508288E-01  0.17292587E+02  0.27247012E+00
 0.16297508E-01  0.18070344E+02  0.29059581E+00
 0.18307383E-01  0.18870561E+02  0.31008776E+00
 0.20565123E-01  0.19718553E+02  0.33104944E+00
 0.23101297E-01  0.20618565E+02  0.35357673E+00
 0.25950242E-01  0.21590724E+02  0.37776796E+00
 0.29150531E-01  0.22790567E+02  0.40361610E+00
 0.32745492E-01  0.24161662E+02  0.43104002E+00
 0.36783798E-01  0.25333017E+02  0.46025353E+00
 0.41320124E-01  0.26460227E+02  0.49162105E+00
 0.46415888E-01  0.27526447E+02  0.52542945E+00
 0.52140083E-01  0.28610074E+02  0.56194292E+00
 0.58570208E-01  0.29468107E+02  0.60158469E+00
 0.65793322E-01  0.30225952E+02  0.64491113E+00
 0.73907220E-01  0.30776881E+02  0.69254056E+00
 0.83021757E-01  0.31226376E+02  0.74518581E+00
 0.93260335E-01  0.31536442E+02  0.80361163E+00
 0.10476158E+00  0.31753512E+02  0.86869060E+00
 0.11768120E+00  0.31770980E+02  0.94152746E+00
 0.13219411E+00  0.31647054E+02  0.10234980E+01
 0.14849683E+00  0.31419915E+02  0.11161008E+01
 0.16681005E+00  0.31115339E+02  0.12210003E+01
 0.18738174E+00  0.30654936E+02  0.13402982E+01
 0.21049041E+00  0.30070001E+02  0.14766284E+01
 0.23644894E+00  0.29369566E+02  0.16331021E+01
 0.26560878E+00  0.28589092E+02  0.18133737E+01
 0.29836472E+00  0.27715680E+02  0.20218379E+01
 0.33516027E+00  0.26762512E+02  0.22639144E+01
 0.37649358E+00  0.25803951E+02  0.25457726E+01
 0.42292429E+00  0.24853323E+02  0.28742812E+01
 0.47508102E+00  0.23836975E+02  0.32581845E+01
 0.53366992E+00  0.22741014E+02  0.37091210E+01
 0.59948425E+00  0.21661624E+02  0.42405628E+01
 0.67341507E+00  0.20594940E+02  0.48678274E+01
 0.75646333E+00  0.19509659E+02  0.56101760E+01
 0.84975344E+00  0.18363370E+02  0.64935728E+01
 0.95454846E+00  0.17275135E+02  0.75482993E+01
 0.10722672E+01  0.16228704E+02  0.88086139E+01
 0.12045035E+01  0.15226286E+02  0.10316444E+02
 0.13530478E+01  0.14234615E+02  0.12125318E+02
 0.15199111E+01  0.13310409E+02  0.14298700E+02
 0.17073526E+01  0.12433622E+02  0.16911088E+02
 0.19179103E+01  0.11618736E+02  0.20051862E+02
 0.21544347E+01  0.10843592E+02  0.23830092E+02
 0.24201283E+01  0.10127890E+02  0.28375945E+02
 0.27185882E+01  0.94584108E+01  0.33843557E+02
 0.30538555E+01  0.88363183E+01  0.40418276E+02
 0.34304693E+01  0.82396163E+01  0.48331867E+02
 0.38535286E+01  0.76861498E+01  0.57862940E+02
 0.43287613E+01  0.71586466E+01  0.69350301E+02
 0.48626016E+01  0.66713210E+01  0.83199980E+02
 0.54622772E+01  0.62053853E+01  0.99910395E+02
 0.61359073E+01  0.57689649E+01  0.12009298E+03
 0.68926121E+01  0.53393545E+01  0.14453890E+03
 0.77426368E+01  0.49418490E+01  0.17420786E+03
 0.86974900E+01  0.45601056E+01  0.21027627E+03
 0.97700996E+01  0.42095110E+01  0.25417532E+03
 0.10974988E+02  0.38795452E+01  0.30764236E+03
 0.12328467E+02  0.35762100E+01  0.37279879E+03
 0.13848864E+02  0.32889781E+01  0.45229982E+03
 0.15556761E+02  0.30262994E+01  0.54937740E+03
 0.17475284E+02  0.27804301E+01  0.66798771E+03
 0.19630407E+02  0.25548955E+01  0.81298378E+03
