#   nzt =   1
#    zt = 0.4700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32705400E+01
#    Te =  0.25000000E-01
#   rho =  0.72000000E+01
#  zbar =  0.49337127E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.63801590E+01  0.56157411E-01
 0.11233240E-02  0.67466305E+01  0.59523511E-01
 0.12618569E-02  0.71341795E+01  0.63099199E-01
 0.14174742E-02  0.75410641E+01  0.66898413E-01
 0.15922828E-02  0.79711367E+01  0.70935858E-01
 0.17886495E-02  0.84212839E+01  0.75227679E-01
 0.20092330E-02  0.88967308E+01  0.79791066E-01
 0.22570197E-02  0.93928932E+01  0.84644903E-01
 0.25353645E-02  0.99164392E+01  0.89809350E-01
 0.28480359E-02  0.10461452E+02  0.95306485E-01
 0.31992671E-02  0.11035924E+02  0.10115993E+00
 0.35938137E-02  0.11632793E+02  0.10739548E+00
 0.40370173E-02  0.12261230E+02  0.11404076E+00
 0.45348785E-02  0.12912491E+02  0.12112609E+00
 0.50941380E-02  0.13597351E+02  0.12868396E+00
 0.57223677E-02  0.14304489E+02  0.13675035E+00
 0.64280731E-02  0.15047003E+02  0.14536381E+00
 0.72208090E-02  0.15808484E+02  0.15456789E+00
 0.81113083E-02  0.16606234E+02  0.16440956E+00
 0.91116276E-02  0.17420815E+02  0.17494111E+00
 0.10235310E-01  0.18272635E+02  0.18621899E+00
 0.11497570E-01  0.19139808E+02  0.19830566E+00
 0.12915497E-01  0.20045495E+02  0.21126826E+00
 0.14508288E-01  0.20957726E+02  0.22518391E+00
 0.16297508E-01  0.21907371E+02  0.24013701E+00
 0.18307383E-01  0.22877522E+02  0.25621441E+00
 0.20565123E-01  0.23893677E+02  0.27350816E+00
 0.23101297E-01  0.24954072E+02  0.29210924E+00
 0.25950242E-01  0.26077453E+02  0.31211672E+00
 0.29150531E-01  0.27446800E+02  0.33354774E+00
 0.32745492E-01  0.28996778E+02  0.35635814E+00
 0.36783798E-01  0.30276780E+02  0.38075010E+00
 0.41320124E-01  0.31470316E+02  0.40705968E+00
 0.46415888E-01  0.32575504E+02  0.43555713E+00
 0.52140083E-01  0.33677968E+02  0.46649074E+00
 0.58570208E-01  0.34424799E+02  0.50029304E+00
 0.65793322E-01  0.35004140E+02  0.53754110E+00
 0.73907220E-01  0.35280461E+02  0.57887991E+00
 0.83021757E-01  0.35418896E+02  0.62505209E+00
 0.93260335E-01  0.35391948E+02  0.67684288E+00
 0.10476158E+00  0.35272125E+02  0.73513739E+00
 0.11768120E+00  0.34941484E+02  0.80104511E+00
 0.13219411E+00  0.34480419E+02  0.87594009E+00
 0.14849683E+00  0.33943096E+02  0.96131006E+00
 0.16681005E+00  0.33362896E+02  0.10587917E+01
 0.18738174E+00  0.32650852E+02  0.11704404E+01
 0.21049041E+00  0.31841098E+02  0.12988267E+01
 0.23644894E+00  0.30932202E+02  0.14470109E+01
 0.26560878E+00  0.29962113E+02  0.16186180E+01
 0.29836472E+00  0.28927788E+02  0.18179599E+01
 0.33516027E+00  0.27836359E+02  0.20503168E+01
 0.37649358E+00  0.26760909E+02  0.23217188E+01
 0.42292429E+00  0.25709420E+02  0.26389072E+01
 0.47508102E+00  0.24608866E+02  0.30104217E+01
 0.53366992E+00  0.23439816E+02  0.34475801E+01
 0.59948425E+00  0.22292363E+02  0.39635907E+01
 0.67341507E+00  0.21159562E+02  0.45736462E+01
 0.75646333E+00  0.20024946E+02  0.52966021E+01
 0.84975344E+00  0.18847997E+02  0.61573089E+01
 0.95454846E+00  0.17733085E+02  0.71848684E+01
 0.10722672E+01  0.16663535E+02  0.84124875E+01
 0.12045035E+01  0.15643370E+02  0.98805897E+01
 0.13530478E+01  0.14641073E+02  0.11640235E+02
 0.15199111E+01  0.13705063E+02  0.13752118E+02
 0.17073526E+01  0.12815847E+02  0.16287858E+02
 0.19179103E+01  0.11985473E+02  0.19333584E+02
 0.21544347E+01  0.11188081E+02  0.22995737E+02
 0.24201283E+01  0.10450407E+02  0.27401362E+02
 0.27185882E+01  0.97573411E+01  0.32700794E+02
 0.30538555E+01  0.91127262E+01  0.39074953E+02
 0.34304693E+01  0.84911128E+01  0.46751315E+02
 0.38535286E+01  0.79149481E+01  0.56003598E+02
 0.43287613E+01  0.73665712E+01  0.67162914E+02
 0.48626016E+01  0.68600049E+01  0.80626668E+02
 0.54622772E+01  0.63750166E+01  0.96885098E+02
 0.61359073E+01  0.59212698E+01  0.11653982E+03
 0.68926121E+01  0.54750927E+01  0.14036874E+03
 0.77426368E+01  0.50630144E+01  0.16931569E+03
 0.86974900E+01  0.46686884E+01  0.20453386E+03
 0.97700996E+01  0.43071667E+01  0.24742549E+03
 0.10974988E+02  0.39675075E+01  0.29969430E+03
 0.12328467E+02  0.36554639E+01  0.36342288E+03
 0.13848864E+02  0.33603975E+01  0.44121776E+03
 0.15556761E+02  0.30905258E+01  0.53625530E+03
 0.17475284E+02  0.28378974E+01  0.65243264E+03
 0.19630407E+02  0.26061324E+01  0.79453543E+03
 0.22051307E+02  0.23873204E+01  0.96859665E+03
 0.24770764E+02  0.21874873E+01  0.11820111E+04
 0.27825594E+02  0.20013645E+01  0.14438579E+04
 0.31257158E+02  0.18312370E+01  0.17653193E+04
 0.35111917E+02  0.16726835E+01  0.21603420E+04
 0.39442061E+02  0.15279346E+01  0.26460870E+04
 0.44306215E+02  0.13922794E+01  0.32442302E+04
 0.49770236E+02  0.12688067E+01  0.39815598E+04
 0.55908102E+02  0.11547094E+01  0.48911009E+04
 0.62802914E+02  0.10510606E+01  0.60136770E+04
 0.70548023E+02  0.95632908E+00  0.73993564E+04
 0.79248290E+02  0.87027488E+00  0.91098616E+04
 0.89021509E+02  0.79096320E+00  0.11222772E+05
 0.10000000E+03  0.71899741E+00  0.13834425E+05
