#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25814900E+01
#    Te =  0.25000000E-01
#   rho =  0.72000000E+01
#  zbar =  0.23321613E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.34487072E+01  0.15405677E-01
 0.11233240E-02  0.36464423E+01  0.16329146E-01
 0.12618569E-02  0.38555188E+01  0.17310210E-01
 0.14174742E-02  0.40749309E+01  0.18352717E-01
 0.15922828E-02  0.43067995E+01  0.19460728E-01
 0.17886495E-02  0.45493929E+01  0.20638701E-01
 0.20092330E-02  0.48055505E+01  0.21891386E-01
 0.22570197E-02  0.50727671E+01  0.23224001E-01
 0.25353645E-02  0.53546280E+01  0.24642120E-01
 0.28480359E-02  0.56478827E+01  0.26151856E-01
 0.31992671E-02  0.59568261E+01  0.27759759E-01
 0.35938137E-02  0.62775498E+01  0.29472993E-01
 0.40370173E-02  0.66149743E+01  0.31299246E-01
 0.45348785E-02  0.69642623E+01  0.33246973E-01
 0.50941380E-02  0.73311458E+01  0.35325260E-01
 0.57223677E-02  0.77092564E+01  0.37544207E-01
 0.64280731E-02  0.81055675E+01  0.39914694E-01
 0.72208090E-02  0.85107924E+01  0.42449062E-01
 0.81113083E-02  0.89341227E+01  0.45160716E-01
 0.91116276E-02  0.93645636E+01  0.48064655E-01
 0.10235310E-01  0.98127692E+01  0.51177217E-01
 0.11497570E-01  0.10266608E+02  0.54516560E-01
 0.12915497E-01  0.10737707E+02  0.58102428E-01
 0.14508288E-01  0.11208642E+02  0.61957610E-01
 0.16297508E-01  0.11694535E+02  0.66107349E-01
 0.18307383E-01  0.12184516E+02  0.70578390E-01
 0.20565123E-01  0.12690738E+02  0.75399795E-01
 0.23101297E-01  0.13209608E+02  0.80601509E-01
 0.25950242E-01  0.13748856E+02  0.86216912E-01
 0.29150531E-01  0.14387140E+02  0.92261362E-01
 0.32745492E-01  0.15090961E+02  0.98737615E-01
 0.36783798E-01  0.15664539E+02  0.10570870E+00
 0.41320124E-01  0.16190160E+02  0.11327191E+00
 0.46415888E-01  0.16706989E+02  0.12149998E+00
 0.52140083E-01  0.17236913E+02  0.13045233E+00
 0.58570208E-01  0.17537780E+02  0.14026706E+00
 0.65793322E-01  0.17721944E+02  0.15114199E+00
 0.73907220E-01  0.17729962E+02  0.16329462E+00
 0.83021757E-01  0.17655090E+02  0.17697364E+00
 0.93260335E-01  0.17464665E+02  0.19245829E+00
 0.10476158E+00  0.17215576E+02  0.21007231E+00
 0.11768120E+00  0.16846023E+02  0.23022054E+00
 0.13219411E+00  0.16410860E+02  0.25340748E+00
 0.14849683E+00  0.15945266E+02  0.28018368E+00
 0.16681005E+00  0.15471156E+02  0.31115753E+00
 0.18738174E+00  0.14931893E+02  0.34711178E+00
 0.21049041E+00  0.14348152E+02  0.38905413E+00
 0.23644894E+00  0.13725074E+02  0.43820160E+00
 0.26560878E+00  0.13081135E+02  0.49602288E+00
 0.29836472E+00  0.12407434E+02  0.56433723E+00
 0.33516027E+00  0.11707419E+02  0.64547223E+00
 0.37649358E+00  0.11023823E+02  0.74217567E+00
 0.42292429E+00  0.10357334E+02  0.85766564E+00
 0.47508102E+00  0.97009504E+01  0.99595605E+00
 0.53366992E+00  0.90491280E+01  0.11621691E+01
 0.59948425E+00  0.84188722E+01  0.13626024E+01
 0.67341507E+00  0.78060895E+01  0.16050600E+01
 0.75646333E+00  0.72321057E+01  0.18989343E+01
 0.84975344E+00  0.66909534E+01  0.22555242E+01
 0.95454846E+00  0.61888958E+01  0.26885448E+01
 0.10722672E+01  0.57211232E+01  0.32145838E+01
 0.12045035E+01  0.52859865E+01  0.38539476E+01
 0.13530478E+01  0.48767997E+01  0.46318984E+01
 0.15199111E+01  0.44979976E+01  0.55792486E+01
 0.17073526E+01  0.41443748E+01  0.67336745E+01
 0.19179103E+01  0.38170486E+01  0.81413436E+01
 0.21544347E+01  0.35102266E+01  0.98596363E+01
 0.24201283E+01  0.32276669E+01  0.11958684E+02
 0.27185882E+01  0.29651768E+01  0.14524226E+02
 0.30538555E+01  0.27230840E+01  0.17661679E+02
 0.34304693E+01  0.24967679E+01  0.21502683E+02
 0.38535286E+01  0.22885466E+01  0.26209125E+02
 0.43287613E+01  0.20947283E+01  0.31981530E+02
 0.48626016E+01  0.19176095E+01  0.39065370E+02
 0.54622772E+01  0.17548300E+01  0.47759139E+02
 0.61359073E+01  0.16047744E+01  0.58433434E+02
 0.68926121E+01  0.14637114E+01  0.71564042E+02
 0.77426368E+01  0.13346659E+01  0.87737928E+02
 0.86974900E+01  0.12152139E+01  0.10767900E+03
 0.97700996E+01  0.11062916E+01  0.13228293E+03
 0.10974988E+02  0.10062031E+01  0.16265728E+03
 0.12328467E+02  0.91496970E+00  0.20017435E+03
 0.13848864E+02  0.83097364E+00  0.24655210E+03
 0.15556761E+02  0.75468618E+00  0.30391682E+03
 0.17475284E+02  0.68522276E+00  0.37487850E+03
 0.19630407E+02  0.62193388E+00  0.46267818E+03
 0.22051307E+02  0.56319239E+00  0.57148066E+03
 0.24770764E+02  0.51008568E+00  0.70645309E+03
 0.27825594E+02  0.46242901E+00  0.87376766E+03
 0.31257158E+02  0.41920007E+00  0.10810778E+04
 0.35111917E+02  0.37974077E+00  0.13380671E+04
 0.39442061E+02  0.34393993E+00  0.16567450E+04
 0.44306215E+02  0.31089162E+00  0.20524211E+04
 0.49770236E+02  0.28104752E+00  0.25441785E+04
 0.55908102E+02  0.25437914E+00  0.31548287E+04
 0.62802914E+02  0.23022218E+00  0.39126134E+04
 0.70548023E+02  0.20791257E+00  0.48542760E+04
 0.79248290E+02  0.18777242E+00  0.60256883E+04
 0.89021509E+02  0.16974982E+00  0.74819219E+04
 0.10000000E+03  0.15345842E+00  0.92914693E+04
