#   nzt = 2
#    zt = 4.7000E+01 8.0000E+00
#    wt = 2.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  3.01725000E+00
#    Te =  2.50000000E-02
#   rho =  7.20000000E+00
#  zbar =  1.74547007E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  5.27431817E+00  4.63794663E-02
 1.12332400E-03  5.58218973E+00  4.93109983E-02
 1.26185690E-03  5.90789293E+00  5.24224808E-02
 1.41747420E-03  6.24957487E+00  5.57258014E-02
 1.59228280E-03  6.61095853E+00  5.92336460E-02
 1.78864950E-03  6.98892767E+00  6.29598527E-02
 2.00923300E-03  7.38845223E+00  6.69192419E-02
 2.25701970E-03  7.80507890E+00  7.11279770E-02
 2.53536450E-03  8.24505780E+00  7.56034306E-02
 2.84803590E-03  8.70274400E+00  8.03645007E-02
 3.19926710E-03  9.18554600E+00  8.54315393E-02
 3.59381370E-03  9.68656950E+00  9.08267021E-02
 4.03701730E-03  1.02144401E+01  9.65738858E-02
 4.53487850E-03  1.07601075E+01  1.02699351E-01
 5.09413800E-03  1.13341331E+01  1.09231520E-01
 5.72236770E-03  1.19251058E+01  1.16201670E-01
 6.42807310E-03  1.25457368E+01  1.23643733E-01
 7.22080900E-03  1.31798722E+01  1.31595744E-01
 8.11130830E-03  1.38440749E+01  1.40099244E-01
 9.11162760E-03  1.45192495E+01  1.49200253E-01
 1.02353100E-02  1.52247086E+01  1.58949079E-01
 1.14975700E-02  1.59345663E+01  1.69402750E-01
 1.29154970E-02  1.66730867E+01  1.80624029E-01
 1.45082880E-02  1.74111747E+01  1.92682974E-01
 1.62975080E-02  1.81757067E+01  2.05656983E-01
 1.83073830E-02  1.89917140E+01  2.19611249E-01
 2.05651230E-02  1.98534940E+01  2.34609713E-01
 2.31012970E-02  2.06655203E+01  2.50761719E-01
 2.59502420E-02  2.14820517E+01  2.68203860E-01
 2.91505310E-02  2.24167803E+01  2.87015376E-01
 3.27454920E-02  2.34303157E+01  3.07250833E-01
 3.67837980E-02  2.41320263E+01  3.29162065E-01
 4.13201240E-02  2.47113153E+01  3.53129224E-01
 4.64158880E-02  2.51239493E+01  3.79516289E-01
 5.21400830E-02  2.54944923E+01  4.08698929E-01
 5.85702080E-02  2.57084863E+01  4.41107362E-01
 6.57933220E-02  2.58676417E+01  4.77249273E-01
 7.39072200E-02  2.59087867E+01  5.17692522E-01
 8.30217570E-02  2.59265580E+01  5.63071569E-01
 9.32603350E-02  2.59031113E+01  6.14053101E-01
 1.04761580E-01  2.58792647E+01  6.71375382E-01
 1.17681200E-01  2.57593797E+01  7.35951010E-01
 1.32194110E-01  2.55962347E+01  8.08891364E-01
 1.48496830E-01  2.54224907E+01  8.91368142E-01
 1.66810050E-01  2.52484413E+01  9.84653028E-01
 1.87381740E-01  2.49795420E+01  1.09037300E+00
 2.10490410E-01  2.46283030E+01  1.21062162E+00
 2.36448940E-01  2.41909247E+01  1.34789010E+00
 2.65608780E-01  2.36791713E+01  1.50515475E+00
 2.98364720E-01  2.30606910E+01  1.68610436E+00
 3.35160270E-01  2.23359830E+01  1.89540441E+00
 3.76493580E-01  2.15652010E+01  2.13853859E+00
 4.22924290E-01  2.07567587E+01  2.42187138E+00
 4.75081020E-01  1.98571958E+01  2.75358411E+00
 5.33669920E-01  1.88621447E+01  3.14450418E+00
 5.99484250E-01  1.78563552E+01  3.60759791E+00
 6.73415070E-01  1.68453163E+01  4.15809041E+00
 7.56463330E-01  1.58235411E+01  4.81503635E+00
 8.49753440E-01  1.47687193E+01  5.60324467E+00
