#   nzt =   1
#    zt = 0.4700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31798900E+01
#    Te =  0.25000000E-01
#   rho =  0.72300000E+01
#  zbar =  0.42923705E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.61679960E+01  0.58089079E-01
 0.11233240E-02  0.65223230E+01  0.61570952E-01
 0.12618569E-02  0.68970172E+01  0.65269602E-01
 0.14174742E-02  0.72904231E+01  0.69199444E-01
 0.15922828E-02  0.77062270E+01  0.73375689E-01
 0.17886495E-02  0.81415187E+01  0.77815017E-01
 0.20092330E-02  0.86012412E+01  0.82535199E-01
 0.22570197E-02  0.90811576E+01  0.87555723E-01
 0.25353645E-02  0.95875097E+01  0.92897405E-01
 0.28480359E-02  0.10114793E+02  0.98583037E-01
 0.31992671E-02  0.10670481E+02  0.10463702E+00
 0.35938137E-02  0.11247964E+02  0.11108602E+00
 0.40370173E-02  0.11855804E+02  0.11795860E+00
 0.45348785E-02  0.12485831E+02  0.12528612E+00
 0.50941380E-02  0.13148017E+02  0.13310226E+00
 0.57223677E-02  0.13831590E+02  0.14144435E+00
 0.64280731E-02  0.14548697E+02  0.15035255E+00
 0.72208090E-02  0.15283598E+02  0.15987226E+00
 0.81113083E-02  0.16052308E+02  0.17005269E+00
 0.91116276E-02  0.16836155E+02  0.18094875E+00
 0.10235310E-01  0.17653801E+02  0.19262006E+00
 0.11497570E-01  0.18484650E+02  0.20513268E+00
 0.12915497E-01  0.19349277E+02  0.21855814E+00
 0.14508288E-01  0.20218142E+02  0.23297856E+00
 0.16297508E-01  0.21118395E+02  0.24848431E+00
 0.18307383E-01  0.22032701E+02  0.26517006E+00
 0.20565123E-01  0.22984294E+02  0.28313724E+00
 0.23101297E-01  0.23970003E+02  0.30248791E+00
 0.25950242E-01  0.25007511E+02  0.32333277E+00
 0.29150531E-01  0.26239825E+02  0.34571353E+00
 0.32745492E-01  0.27615852E+02  0.36962131E+00
 0.36783798E-01  0.28796795E+02  0.39525412E+00
 0.41320124E-01  0.29931525E+02  0.42292185E+00
 0.46415888E-01  0.31088120E+02  0.45283914E+00
 0.52140083E-01  0.32307740E+02  0.48516817E+00
 0.58570208E-01  0.33161866E+02  0.52032758E+00
 0.65793322E-01  0.33844627E+02  0.55892101E+00
 0.73907220E-01  0.34235362E+02  0.60159712E+00
 0.83021757E-01  0.34490496E+02  0.64909180E+00
 0.93260335E-01  0.34557077E+02  0.70220094E+00
 0.10476158E+00  0.34515169E+02  0.76183555E+00
 0.11768120E+00  0.34254906E+02  0.82912371E+00
 0.13219411E+00  0.33858578E+02  0.90545391E+00
 0.14849683E+00  0.33375416E+02  0.99233041E+00
 0.16681005E+00  0.32839499E+02  0.10914156E+01
 0.18738174E+00  0.32170672E+02  0.12047851E+01
 0.21049041E+00  0.31400678E+02  0.13350272E+01
 0.23644894E+00  0.30527645E+02  0.14852298E+01
 0.26560878E+00  0.29590330E+02  0.16590477E+01
 0.29836472E+00  0.28580449E+02  0.18608489E+01
 0.33516027E+00  0.27509270E+02  0.20959982E+01
 0.37649358E+00  0.26455730E+02  0.23705795E+01
 0.42292429E+00  0.25426689E+02  0.26913550E+01
 0.47508102E+00  0.24341291E+02  0.30669680E+01
 0.53366992E+00  0.23182198E+02  0.35089555E+01
 0.59948425E+00  0.22044788E+02  0.40307313E+01
 0.67341507E+00  0.20921945E+02  0.46476720E+01
 0.75646333E+00  0.19794186E+02  0.53789385E+01
 0.84975344E+00  0.18621627E+02  0.62498903E+01
 0.95454846E+00  0.17509860E+02  0.72902470E+01
 0.10722672E+01  0.16442958E+02  0.85339363E+01
 0.12045035E+01  0.15426626E+02  0.10022227E+02
 0.13530478E+01  0.14431449E+02  0.11807046E+02
 0.15199111E+01  0.13504131E+02  0.13949996E+02
 0.17073526E+01  0.12623373E+02  0.16523998E+02
 0.19179103E+01  0.11805574E+02  0.19616252E+02
 0.21544347E+01  0.11024559E+02  0.23333533E+02
 0.24201283E+01  0.10303884E+02  0.27803219E+02
 0.27185882E+01  0.96292912E+01  0.33175504E+02
 0.30538555E+01  0.90001133E+01  0.39631905E+02
 0.34304693E+01  0.83946636E+01  0.47400274E+02
 0.38535286E+01  0.78319862E+01  0.56754480E+02
 0.43287613E+01  0.72948308E+01  0.68027536E+02
 0.48626016E+01  0.67976750E+01  0.81619010E+02
 0.54622772E+01  0.63209500E+01  0.98021185E+02
 0.61359073E+01  0.58736789E+01  0.11783936E+03
 0.68926121E+01  0.54335352E+01  0.14185552E+03
 0.77426368E+01  0.50259079E+01  0.17101953E+03
 0.86974900E+01  0.46351142E+01  0.20649477E+03
 0.97700996E+01  0.42762006E+01  0.24969677E+03
 0.10974988E+02  0.39388503E+01  0.30234497E+03
 0.12328467E+02  0.36289537E+01  0.36653849E+03
 0.13848864E+02  0.33362153E+01  0.44489969E+03
 0.15556761E+02  0.30685174E+01  0.54062325E+03
 0.17475284E+02  0.28183359E+01  0.65762101E+03
 0.19630407E+02  0.25889561E+01  0.80068873E+03
 0.22051307E+02  0.23725309E+01  0.97586950E+03
 0.24770764E+02  0.21748642E+01  0.11905684E+04
 0.27825594E+02  0.19908694E+01  0.14538633E+04
 0.31257158E+02  0.18225392E+01  0.17769359E+04
 0.35111917E+02  0.16655528E+01  0.21737418E+04
 0.39442061E+02  0.15220489E+01  0.26614594E+04
 0.44306215E+02  0.13873969E+01  0.32618045E+04
 0.49770236E+02  0.12647078E+01  0.40016179E+04
 0.55908102E+02  0.11512025E+01  0.49140101E+04
 0.62802914E+02  0.10480160E+01  0.60399213E+04
 0.70548023E+02  0.95368097E+00  0.74295326E+04
 0.79248290E+02  0.86796364E+00  0.91446930E+04
 0.89021509E+02  0.78900808E+00  0.11263031E+05
 0.10000000E+03  0.71734947E+00  0.13880906E+05
