#   nzt =   1
#    zt = 0.1600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31127000E+01
#    Te =  0.25000000E-01
#   rho =  0.72300000E+01
#  zbar =  0.23730258E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.58028453E+01  0.18345927E-01
 0.11233240E-02  0.61343522E+01  0.19445756E-01
 0.12618569E-02  0.64848053E+01  0.20614404E-01
 0.14174742E-02  0.68522566E+01  0.21856510E-01
 0.15922828E-02  0.72404752E+01  0.23176966E-01
 0.17886495E-02  0.76460737E+01  0.24581169E-01
 0.20092330E-02  0.80742080E+01  0.26074869E-01
 0.22570197E-02  0.85198898E+01  0.27664420E-01
 0.25353645E-02  0.89897691E+01  0.29356617E-01
 0.28480359E-02  0.94774745E+01  0.31158932E-01
 0.31992671E-02  0.99909470E+01  0.33079382E-01
 0.35938137E-02  0.10522565E+02  0.35126761E-01
 0.40370173E-02  0.11081424E+02  0.37310515E-01
 0.45348785E-02  0.11657913E+02  0.39641096E-01
 0.50941380E-02  0.12262811E+02  0.42129760E-01
 0.57223677E-02  0.12883919E+02  0.44789036E-01
 0.64280731E-02  0.13534160E+02  0.47632439E-01
 0.72208090E-02  0.14196043E+02  0.50675361E-01
 0.81113083E-02  0.14886610E+02  0.53934526E-01
 0.91116276E-02  0.15585112E+02  0.57428734E-01
 0.10235310E-01  0.16311691E+02  0.61178420E-01
 0.11497570E-01  0.17041707E+02  0.65206596E-01
 0.12915497E-01  0.17798944E+02  0.69538236E-01
 0.14508288E-01  0.18548880E+02  0.74202326E-01
 0.16297508E-01  0.19322946E+02  0.79230985E-01
 0.18307383E-01  0.20110850E+02  0.84656170E-01
 0.20565123E-01  0.20932097E+02  0.90511453E-01
 0.23101297E-01  0.21769284E+02  0.96833447E-01
 0.25950242E-01  0.22643621E+02  0.10366427E+00
 0.29150531E-01  0.23750557E+02  0.11101080E+00
 0.32745492E-01  0.25006284E+02  0.11885498E+00
 0.36783798E-01  0.25901424E+02  0.12729101E+00
 0.41320124E-01  0.26651921E+02  0.13647329E+00
 0.46415888E-01  0.27204011E+02  0.14654070E+00
 0.52140083E-01  0.27694099E+02  0.15763322E+00
 0.58570208E-01  0.27908756E+02  0.16993629E+00
 0.65793322E-01  0.27988522E+02  0.18368437E+00
 0.73907220E-01  0.27828169E+02  0.19915318E+00
 0.83021757E-01  0.27561856E+02  0.21666582E+00
 0.93260335E-01  0.27149627E+02  0.23658482E+00
 0.10476158E+00  0.26657566E+02  0.25933266E+00
 0.11768120E+00  0.25944657E+02  0.28547396E+00
 0.13219411E+00  0.25100289E+02  0.31574563E+00
 0.14849683E+00  0.24203531E+02  0.35095893E+00
 0.16681005E+00  0.23286493E+02  0.39202175E+00
 0.18738174E+00  0.22278446E+02  0.44009994E+00
 0.21049041E+00  0.21208038E+02  0.49669613E+00
 0.23644894E+00  0.20083874E+02  0.56366264E+00
 0.26560878E+00  0.18935897E+02  0.64329342E+00
 0.29836472E+00  0.17830073E+02  0.73824153E+00
 0.33516027E+00  0.16768232E+02  0.85158567E+00
