#   nzt = 2
#    zt = 4.7000E+01 1.6000E+01
#    wt = 2.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  3.13048000E+00
#    Te =  2.50000000E-02
#   rho =  7.23000000E+00
#  zbar =  5.00259833E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  5.73195320E+00  4.50053266E-02
 1.12332400E-03  6.06090957E+00  4.78910524E-02
 1.26185690E-03  6.40876257E+00  5.09567198E-02
 1.41747420E-03  6.77392620E+00  5.42141851E-02
 1.59228280E-03  7.15986767E+00  5.76761273E-02
 1.78864950E-03  7.56387677E+00  6.13563514E-02
 2.00923300E-03  7.99055680E+00  6.52696588E-02
 2.25701970E-03  8.43601737E+00  6.94321565E-02
 2.53536450E-03  8.90603273E+00  7.38611596E-02
 2.84803590E-03  9.39553657E+00  7.85754973E-02
 3.19926710E-03  9.91146080E+00  8.35954459E-02
 3.59381370E-03  1.04477083E+01  8.89430167E-02
 4.03701730E-03  1.10122505E+01  9.46419368E-02
 4.53487850E-03  1.15975960E+01  1.00718052E-01
 5.09413800E-03  1.22130307E+01  1.07199284E-01
 5.72236770E-03  1.28485727E+01  1.14116342E-01
 6.42807310E-03  1.35156503E+01  1.21502521E-01
 7.22080900E-03  1.41996277E+01  1.29395058E-01
 8.11130830E-03  1.49156793E+01  1.37834588E-01
 9.11162760E-03  1.56465783E+01  1.46865986E-01
 1.02353100E-02  1.64100503E+01  1.56538221E-01
 1.14975700E-02  1.71876353E+01  1.66904931E-01
 1.29154970E-02  1.79986707E+01  1.78024354E-01
 1.45082880E-02  1.88168217E+01  1.89962227E-01
 1.62975080E-02  1.96672030E+01  2.02790892E-01
 1.83073830E-02  2.05332937E+01  2.16586260E-01
 2.05651230E-02  2.14369177E+01  2.31429440E-01
 2.31012970E-02  2.23742080E+01  2.47402464E-01
 2.59502420E-02  2.33612697E+01  2.64589938E-01
 2.91505310E-02  2.45197337E+01  2.83032171E-01
 3.27454920E-02  2.58074183E+01  3.02743530E-01
 3.67837980E-02  2.69341390E+01  3.23871703E-01
 4.13201240E-02  2.80218597E+01  3.46647897E-01
 4.64158880E-02  2.91625050E+01  3.71235510E-01
 5.21400830E-02  3.03724687E+01  3.97766528E-01
 5.85702080E-02  3.11822067E+01  4.26591726E-01
 6.57933220E-02  3.17870350E+01  4.58244029E-01
 7.39072200E-02  3.20718620E+01  4.93305726E-01
 8.30217570E-02  3.22035353E+01  5.32436739E-01
 9.32603350E-02  3.21205177E+01  5.76362550E-01
 1.04761580E-01  3.19168773E+01  6.25929600E-01
 1.17681200E-01  3.14900310E+01  6.82171513E-01
 1.32194110E-01  3.09261340E+01  7.46356925E-01
 1.48496830E-01  3.02867537E+01  8.19878513E-01
 1.66810050E-01  2.96066587E+01  9.04289518E-01
 1.87381740E-01  2.88234113E+01  1.00149314E+00
 2.10490410E-01  2.79653593E+01  1.11384775E+00
 2.36448940E-01  2.70268873E+01  1.24419196E+00
 2.65608780E-01  2.60422643E+01  1.39592566E+00
 2.98364720E-01  2.50222677E+01  1.57307408E+00
 3.35160270E-01  2.39720810E+01  1.78048915E+00
 3.76493580E-01  2.29504033E+01  2.02377158E+00
 4.22924290E-01  2.19625033E+01  2.30929003E+00
 4.75081020E-01  2.09529460E+01  2.64497855E+00
 5.33669920E-01  1.99056447E+01  3.04108843E+00
 5.99484250E-01  1.88854887E+01  3.50977459E+00
 6.73415070E-01  1.78864927E+01  4.06519777E+00
 7.56463330E-01  1.68992807E+01  4.72479079E+00
 8.49753440E-01  1.58930803E+01  5.51087035E+00
 9.54548460E-01  1.49414692E+01  6.44996143E+00
 1.07226720E+00  1.40325481E+01  7.57266487E+00
 1.20450350E+00  1.31665230E+01  8.91618615E+00
 1.35304780E+00  1.23182633E+01  1.05270643E+01
 1.51991110E+00  1.15250164E+01  1.24611709E+01
 1.70735260E+00  1.07716941E+01  1.47845740E+01
 1.91791030E+00  1.00661014E+01  1.75772700E+01
 2.15443470E+00  9.38321327E+00  2.09385946E+01
 2.42012830E+00  8.75081973E+00  2.49882261E+01
 2.71858820E+00  8.15477623E+00  2.98679545E+01
 3.05385550E+00  7.59984170E+00  3.57499692E+01
 3.43046930E+00  7.06606433E+00  4.28484275E+01
 3.85352860E+00  6.57103613E+00  5.14237874E+01
 4.32876130E+00  6.09952420E+00  6.17921434E+01
 4.86260160E+00  5.66499870E+00  7.43359154E+01
 5.46227720E+00  5.25185273E+00  8.95217705E+01
 6.13590730E+00  4.86669387E+00  1.07926674E+02
 6.89261210E+00  4.49167363E+00  1.30283928E+02
 7.74263680E+00  4.14574500E+00  1.57494409E+02
 8.69749000E+00  3.81635760E+00  1.90656345E+02
 9.77009960E+00  3.51461337E+00  2.31114185E+02
 1.09749880E+01  3.23236547E+00  2.80498238E+02
 1.23284670E+01  2.97341253E+00  3.40810107E+02
 1.38488640E+01  2.72971467E+00  4.14536851E+02
 1.55567610E+01  2.50695427E+00  5.04731602E+02
 1.74752840E+01  2.29915533E+00  6.15132341E+02
 1.96304070E+01  2.10861433E+00  7.50356555E+02
 2.20513070E+01  1.92891157E+00  9.16203050E+02
 2.47707640E+01  1.76499591E+00  1.11982968E+03
 2.78255940E+01  1.61305669E+00  1.36996793E+03
 3.12571580E+01  1.47429677E+00  1.67741146E+03
 3.51119170E+01  1.34532462E+00  2.05558737E+03
 3.94420610E+01  1.22765471E+00  2.52112578E+03
 4.43062150E+01  1.11753967E+00  3.09492634E+03
 4.97702360E+01  1.01741408E+00  3.80295668E+03
 5.59081020E+01  9.25297570E-01  4.67704544E+03
 6.28029140E+01  8.41643163E-01  5.75659747E+03
 7.05480230E+01  7.65074433E-01  7.09024912E+03
 7.92482900E+01  6.95573520E-01  8.73817968E+03
 8.90215090E+01  6.31773507E-01  1.07753286E+04
 1.00000000E+02  5.73909600E-01  1.32946051E+04
