#   nzt =   1
#    zt = 0.4700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.34406500E+01
#    Te =  0.25000000E-01
#   rho =  0.64700000E+01
#  zbar =  0.38840992E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.76131103E+01  0.47062658E-01
 0.11233240E-02  0.80484875E+01  0.49883961E-01
 0.12618569E-02  0.85088090E+01  0.52881626E-01
 0.14174742E-02  0.89915500E+01  0.56067513E-01
 0.15922828E-02  0.95016707E+01  0.59454123E-01
 0.17886495E-02  0.10034773E+02  0.63055236E-01
 0.20092330E-02  0.10597651E+02  0.66885532E-01
 0.22570197E-02  0.11183870E+02  0.70961200E-01
 0.25353645E-02  0.11802177E+02  0.75299540E-01
 0.28480359E-02  0.12444423E+02  0.79919535E-01
 0.31992671E-02  0.13121041E+02  0.84841514E-01
 0.35938137E-02  0.13822268E+02  0.90087744E-01
 0.40370173E-02  0.14560154E+02  0.95682078E-01
 0.45348785E-02  0.15322201E+02  0.10165089E+00
 0.50941380E-02  0.16122962E+02  0.10802248E+00
 0.57223677E-02  0.16946777E+02  0.11482824E+00
 0.64280731E-02  0.17811136E+02  0.12210183E+00
 0.72208090E-02  0.18693765E+02  0.12988142E+00
 0.81113083E-02  0.19617638E+02  0.13820820E+00
 0.91116276E-02  0.20556289E+02  0.14712824E+00
 0.10235310E-01  0.21536896E+02  0.15669125E+00
 0.11497570E-01  0.22525486E+02  0.16695355E+00
 0.12915497E-01  0.23555448E+02  0.17797615E+00
 0.14508288E-01  0.24582802E+02  0.18982896E+00
 0.16297508E-01  0.25648919E+02  0.20258966E+00
 0.18307383E-01  0.26764083E+02  0.21632790E+00
 0.20565123E-01  0.27940543E+02  0.23111232E+00
 0.23101297E-01  0.29104490E+02  0.24703825E+00
 0.25950242E-01  0.30305358E+02  0.26422321E+00
 0.29150531E-01  0.31779155E+02  0.28269829E+00
 0.32745492E-01  0.33431177E+02  0.30243587E+00
 0.36783798E-01  0.34568299E+02  0.32369027E+00
 0.41320124E-01  0.35491788E+02  0.34686947E+00
 0.46415888E-01  0.36091119E+02  0.37235945E+00
 0.52140083E-01  0.36582802E+02  0.40056373E+00
 0.58570208E-01  0.36793398E+02  0.43194658E+00
 0.65793322E-01  0.36888079E+02  0.46705376E+00
 0.73907220E-01  0.36728169E+02  0.50653158E+00
 0.83021757E-01  0.36476783E+02  0.55113529E+00
 0.93260335E-01  0.36136542E+02  0.60165354E+00
 0.10476158E+00  0.35766407E+02  0.65895415E+00
 0.11768120E+00  0.35218480E+02  0.72415594E+00
 0.13219411E+00  0.34574503E+02  0.79866475E+00
 0.14849683E+00  0.33897163E+02  0.88398737E+00
 0.16681005E+00  0.33213598E+02  0.98176427E+00
 0.18738174E+00  0.32427226E+02  0.10940582E+01
 0.21049041E+00  0.31566780E+02  0.12234543E+01
 0.23644894E+00  0.30629526E+02  0.13730240E+01
 0.26560878E+00  0.29650688E+02  0.15463899E+01
 0.29836472E+00  0.28625920E+02  0.17478388E+01
 0.33516027E+00  0.27557934E+02  0.19826002E+01
 0.37649358E+00  0.26511837E+02  0.22566516E+01
 0.42292429E+00  0.25494263E+02  0.25766707E+01
 0.47508102E+00  0.24431168E+02  0.29511032E+01
 0.53366992E+00  0.23300168E+02  0.33911578E+01
 0.59948425E+00  0.22189868E+02  0.39099012E+01
 0.67341507E+00  0.21093316E+02  0.45223130E+01
 0.75646333E+00  0.19991425E+02  0.52469869E+01
 0.84975344E+00  0.18839861E+02  0.61085825E+01
 0.95454846E+00  0.17748705E+02  0.71358954E+01
 0.10722672E+01  0.16700381E+02  0.83615860E+01
 0.12045035E+01  0.15696234E+02  0.98255364E+01
 0.13530478E+01  0.14702582E+02  0.11578479E+02
 0.15199111E+01  0.13771414E+02  0.13680820E+02
 0.17073526E+01  0.12885474E+02  0.16203548E+02
 0.19179103E+01  0.12055456E+02  0.19232099E+02
 0.21544347E+01  0.11253189E+02  0.22872970E+02
 0.24201283E+01  0.10510459E+02  0.27253241E+02
 0.27185882E+01  0.98118584E+01  0.32522778E+02
 0.30538555E+01  0.91611832E+01  0.38862374E+02
 0.34304693E+01  0.85339758E+01  0.46499198E+02
 0.38535286E+01  0.79529500E+01  0.55706222E+02
 0.43287613E+01  0.74007249E+01  0.66813260E+02
 0.48626016E+01  0.68915353E+01  0.80215156E+02
 0.54622772E+01  0.64036282E+01  0.96400096E+02
 0.61359073E+01  0.59474147E+01  0.11596772E+03
 0.68926121E+01  0.54986764E+01  0.13969329E+03
 0.77426368E+01  0.50847182E+01  0.16851664E+03
 0.86974900E+01  0.46891110E+01  0.20358305E+03
 0.97700996E+01  0.43264544E+01  0.24628564E+03
 0.10974988E+02  0.39857202E+01  0.29831826E+03
 0.12328467E+02  0.36724149E+01  0.36175332E+03
 0.13848864E+02  0.33755154E+01  0.43919414E+03
 0.15556761E+02  0.31039680E+01  0.53381267E+03
 0.17475284E+02  0.28495033E+01  0.64950194E+03
 0.19630407E+02  0.26161102E+01  0.79104462E+03
 0.22051307E+02  0.23957407E+01  0.96446888E+03
 0.24770764E+02  0.21945893E+01  0.11771631E+04
 0.27825594E+02  0.20071490E+01  0.14382104E+04
 0.31257158E+02  0.18359478E+01  0.17587984E+04
 0.35111917E+02  0.16764744E+01  0.21528719E+04
 0.39442061E+02  0.15310662E+01  0.26375768E+04
 0.44306215E+02  0.13949743E+01  0.32345350E+04
 0.49770236E+02  0.12711728E+01  0.39704654E+04
 0.55908102E+02  0.11567084E+01  0.48783760E+04
 0.62802914E+02  0.10527736E+01  0.59990760E+04
 0.70548023E+02  0.95785353E+00  0.73825297E+04
 0.79248290E+02  0.87163844E+00  0.90903238E+04
 0.89021509E+02  0.79207394E+00  0.11200097E+05
 0.10000000E+03  0.71989107E+00  0.13808315E+05
