#   nzt =   1
#    zt = 0.3500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.34465600E+01
#    Te =  0.25000000E-01
#   rho =  0.52209300E+01
#  zbar =  0.20620640E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.76589987E+01  0.34641119E-01
 0.11233240E-02  0.80997632E+01  0.36717429E-01
 0.12618569E-02  0.85658749E+01  0.38922766E-01
 0.14174742E-02  0.90538768E+01  0.41265926E-01
 0.15922828E-02  0.95697510E+01  0.43756150E-01
 0.17886495E-02  0.10108267E+02  0.46403589E-01
 0.20092330E-02  0.10677150E+02  0.49219050E-01
 0.22570197E-02  0.11269378E+02  0.52214396E-01
 0.25353645E-02  0.11894402E+02  0.55402292E-01
 0.28480359E-02  0.12543393E+02  0.58796638E-01
 0.31992671E-02  0.13227499E+02  0.62412308E-01
 0.35938137E-02  0.13935643E+02  0.66265696E-01
 0.40370173E-02  0.14680945E+02  0.70374379E-01
 0.45348785E-02  0.15448298E+02  0.74758034E-01
 0.50941380E-02  0.16254054E+02  0.79437865E-01
 0.57223677E-02  0.17078837E+02  0.84437667E-01
 0.64280731E-02  0.17942365E+02  0.89783157E-01
 0.72208090E-02  0.18817246E+02  0.95503885E-01
 0.81113083E-02  0.19729128E+02  0.10163210E+00
 0.91116276E-02  0.20645929E+02  0.10820427E+00
 0.10235310E-01  0.21597219E+02  0.11526018E+00
 0.11497570E-01  0.22536935E+02  0.12284663E+00
 0.12915497E-01  0.23504576E+02  0.13101555E+00
 0.14508288E-01  0.24459023E+02  0.13982423E+00
 0.16297508E-01  0.25438657E+02  0.14933775E+00
 0.18307383E-01  0.26530509E+02  0.15959904E+00
 0.20565123E-01  0.27696503E+02  0.17064052E+00
 0.23101297E-01  0.28681138E+02  0.18256925E+00
 0.25950242E-01  0.29623909E+02  0.19553053E+00
 0.29150531E-01  0.30610167E+02  0.20962574E+00
 0.32745492E-01  0.31651910E+02  0.22493308E+00
 0.36783798E-01  0.32278495E+02  0.24167772E+00
 0.41320124E-01  0.32751223E+02  0.26017518E+00
 0.46415888E-01  0.33044598E+02  0.28071685E+00
 0.52140083E-01  0.33309776E+02  0.30359502E+00
 0.58570208E-01  0.33352400E+02  0.32917756E+00
 0.65793322E-01  0.33315663E+02  0.35791429E+00
 0.73907220E-01  0.33124538E+02  0.39031057E+00
 0.83021757E-01  0.32900823E+02  0.42693267E+00
 0.93260335E-01  0.32589647E+02  0.46840989E+00
 0.10476158E+00  0.32252218E+02  0.51546098E+00
 0.11768120E+00  0.31744429E+02  0.56901465E+00
 0.13219411E+00  0.31147276E+02  0.63024339E+00
 0.14849683E+00  0.30523181E+02  0.70039311E+00
 0.16681005E+00  0.29891754E+02  0.78081821E+00
 0.18738174E+00  0.29141764E+02  0.87327272E+00
 0.21049041E+00  0.28294181E+02  0.98002578E+00
 0.23644894E+00  0.27350635E+02  0.11038154E+01
 0.26560878E+00  0.26329540E+02  0.12479793E+01
 0.29836472E+00  0.25257429E+02  0.14165058E+01
 0.33516027E+00  0.24132840E+02  0.16142598E+01
 0.37649358E+00  0.22985389E+02  0.18471378E+01
 0.42292429E+00  0.21822975E+02  0.21222397E+01
 0.47508102E+00  0.20648517E+02  0.24482970E+01
 0.53366992E+00  0.19467936E+02  0.28361310E+01
 0.59948425E+00  0.18313067E+02  0.32987830E+01
 0.67341507E+00  0.17193031E+02  0.38518479E+01
 0.75646333E+00  0.16120940E+02  0.45140188E+01
 0.84975344E+00  0.15087553E+02  0.53082045E+01
 0.95454846E+00  0.14139497E+02  0.62608808E+01
 0.10722672E+01  0.13271475E+02  0.74017806E+01
 0.12045035E+01  0.12451974E+02  0.87671926E+01
 0.13530478E+01  0.11647837E+02  0.10404803E+02
 0.15199111E+01  0.10918669E+02  0.12369487E+02
 0.17073526E+01  0.10250646E+02  0.14721699E+02
 0.19179103E+01  0.96175940E+01  0.17536138E+02
 0.21544347E+01  0.89741875E+01  0.20915920E+02
 0.24201283E+01  0.83790299E+01  0.24983659E+02
 0.27185882E+01  0.78095490E+01  0.29882107E+02
 0.30538555E+01  0.72772144E+01  0.35785447E+02
 0.34304693E+01  0.67507117E+01  0.42919202E+02
 0.38535286E+01  0.62616706E+01  0.51557925E+02
 0.43287613E+01  0.57902466E+01  0.62037558E+02
 0.48626016E+01  0.53566231E+01  0.74764983E+02
 0.54622772E+01  0.49464504E+01  0.90234432E+02
 0.61359073E+01  0.45679344E+01  0.10905030E+03
 0.68926121E+01  0.42071277E+01  0.13197159E+03
 0.77426368E+01  0.38762512E+01  0.15992124E+03
 0.86974900E+01  0.35639443E+01  0.19403777E+03
 0.97700996E+01  0.32799355E+01  0.23570107E+03
 0.10974988E+02  0.30185316E+01  0.28655492E+03
 0.12328467E+02  0.27791295E+01  0.34860516E+03
 0.13848864E+02  0.25528075E+01  0.42440824E+03
 0.15556761E+02  0.23462159E+01  0.51707756E+03
 0.17475284E+02  0.21521772E+01  0.63045880E+03
 0.19630407E+02  0.19743842E+01  0.76928185E+03
 0.22051307E+02  0.18056122E+01  0.93955928E+03
 0.24770764E+02  0.16517677E+01  0.11486777E+04
 0.27825594E+02  0.15081364E+01  0.14057319E+04
 0.31257158E+02  0.13772041E+01  0.17219485E+04
 0.35111917E+02  0.12554456E+01  0.21113030E+04
 0.39442061E+02  0.11446182E+01  0.25910245E+04
 0.44306215E+02  0.10414515E+01  0.31827444E+04
 0.49770236E+02  0.94781500E+00  0.39132154E+04
 0.55908102E+02  0.86228312E+00  0.48150193E+04
 0.62802914E+02  0.78465309E+00  0.59283345E+04
 0.70548023E+02  0.71337059E+00  0.73033588E+04
 0.79248290E+02  0.64871563E+00  0.90019953E+04
 0.89021509E+02  0.58911277E+00  0.11101873E+05
 0.10000000E+03  0.53513654E+00  0.13699418E+05
