#   nzt =   1
#    zt = 0.1300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.29893100E+01
#    Te =  0.50000000E+00
#   rho =  0.27020000E+01
#  zbar =  0.27041643E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.47792198E+01  0.18759614E-01
 0.11233240E-02  0.50542505E+01  0.19884019E-01
 0.12618569E-02  0.53452257E+01  0.21078298E-01
 0.14174742E-02  0.56506165E+01  0.22347099E-01
 0.15922828E-02  0.59737142E+01  0.23695302E-01
 0.17886495E-02  0.63117396E+01  0.25128270E-01
 0.20092330E-02  0.66691798E+01  0.26651700E-01
 0.22570197E-02  0.70417567E+01  0.28271887E-01
 0.25353645E-02  0.74352432E+01  0.29995556E-01
 0.28480359E-02  0.78440935E+01  0.31830116E-01
 0.31992671E-02  0.82751193E+01  0.33783525E-01
 0.35938137E-02  0.87217448E+01  0.35864524E-01
 0.40370173E-02  0.91916292E+01  0.38082529E-01
 0.45348785E-02  0.96765591E+01  0.40447977E-01
 0.50941380E-02  0.10185524E+02  0.42972137E-01
 0.57223677E-02  0.10708157E+02  0.45667583E-01
 0.64280731E-02  0.11255222E+02  0.48547899E-01
 0.72208090E-02  0.11811680E+02  0.51628630E-01
 0.81113083E-02  0.12391893E+02  0.54926696E-01
 0.91116276E-02  0.12977869E+02  0.58461189E-01
 0.10235310E-01  0.13586579E+02  0.62252927E-01
 0.11497570E-01  0.14196615E+02  0.66325438E-01
 0.12915497E-01  0.14827663E+02  0.70704376E-01
 0.14508288E-01  0.15447628E+02  0.75420080E-01
 0.16297508E-01  0.16083338E+02  0.80506516E-01
 0.18307383E-01  0.16719229E+02  0.85998821E-01
 0.20565123E-01  0.17373683E+02  0.91935151E-01
 0.23101297E-01  0.18043483E+02  0.98354330E-01
 0.25950242E-01  0.18737650E+02  0.10530087E+00
 0.29150531E-01  0.19637911E+02  0.11278085E+00
 0.32745492E-01  0.20658078E+02  0.12077328E+00
 0.36783798E-01  0.21338195E+02  0.12938428E+00
 0.41320124E-01  0.21869022E+02  0.13878958E+00
 0.46415888E-01  0.22229026E+02  0.14914388E+00
 0.52140083E-01  0.22518444E+02  0.16060206E+00
 0.58570208E-01  0.22476400E+02  0.17340350E+00
 0.65793322E-01  0.22269843E+02  0.18786398E+00
 0.73907220E-01  0.21767561E+02  0.20437464E+00
 0.83021757E-01  0.21129813E+02  0.22342392E+00
 0.93260335E-01  0.20427790E+02  0.24551872E+00
 0.10476158E+00  0.19711926E+02  0.27121574E+00
 0.11768120E+00  0.18954266E+02  0.30118523E+00
 0.13219411E+00  0.18192600E+02  0.33623233E+00
 0.14849683E+00  0.17442008E+02  0.37727589E+00
 0.16681005E+00  0.16715583E+02  0.42537772E+00
 0.18738174E+00  0.16021577E+02  0.48175674E+00
 0.21049041E+00  0.15357385E+02  0.54781973E+00
 0.23644894E+00  0.14679943E+02  0.62534411E+00
 0.26560878E+00  0.13999239E+02  0.71656790E+00
 0.29836472E+00  0.13341009E+02  0.82406650E+00
 0.33516027E+00  0.12701777E+02  0.95084094E+00
 0.37649358E+00  0.12082868E+02  0.11004835E+01
 0.42292429E+00  0.11485649E+02  0.12772404E+01
 0.47508102E+00  0.10889293E+02  0.14863830E+01
 0.53366992E+00  0.10290971E+02  0.17346179E+01
 0.59948425E+00  0.97170719E+01  0.20298349E+01
 0.67341507E+00  0.91685483E+01  0.23811452E+01
 0.75646333E+00  0.86301160E+01  0.27998453E+01
 0.84975344E+00  0.80887580E+01  0.33007306E+01
 0.95454846E+00  0.75872875E+01  0.39008888E+01
 0.10722672E+01  0.71202851E+01  0.46193403E+01
 0.12045035E+01  0.66687700E+01  0.54799629E+01
 0.13530478E+01  0.62103241E+01  0.65154343E+01
 0.15199111E+01  0.57849254E+01  0.77644419E+01
 0.17073526E+01  0.53828841E+01  0.92713994E+01
 0.19179103E+01  0.50018348E+01  0.11091515E+02
 0.21544347E+01  0.46228448E+01  0.13298280E+02
 0.24201283E+01  0.42702850E+01  0.15981220E+02
 0.27185882E+01  0.39334656E+01  0.19248928E+02
 0.30538555E+01  0.36236631E+01  0.23233710E+02
 0.34304693E+01  0.33335822E+01  0.28096152E+02
 0.38535286E+01  0.30653745E+01  0.34034352E+02
 0.43287613E+01  0.28114198E+01  0.41299106E+02
 0.48626016E+01  0.25801045E+01  0.50194668E+02
 0.54622772E+01  0.23679107E+01  0.61082524E+02
 0.61359073E+01  0.21725200E+01  0.74409370E+02
 0.68926121E+01  0.19882389E+01  0.90748719E+02
 0.77426368E+01  0.18198655E+01  0.11080260E+03
 0.86974900E+01  0.16634326E+01  0.13543287E+03
 0.97700996E+01  0.15210691E+01  0.16569652E+03
 0.10974988E+02  0.13903916E+01  0.20288107E+03
 0.12328467E+02  0.12709862E+01  0.24857177E+03
 0.13848864E+02  0.11595773E+01  0.30477977E+03
 0.15556761E+02  0.10583960E+01  0.37397320E+03
 0.17475284E+02  0.96595417E+00  0.45913240E+03
 0.19630407E+02  0.88137755E+00  0.56394347E+03
 0.22051307E+02  0.80166553E+00  0.69320239E+03
 0.24770764E+02  0.72927475E+00  0.85283515E+03
 0.27825594E+02  0.66294641E+00  0.10500303E+04
 0.31257158E+02  0.60265295E+00  0.12936966E+04
 0.35111917E+02  0.54724993E+00  0.15949739E+04
 0.39442061E+02  0.49691389E+00  0.19676580E+04
 0.44306215E+02  0.45050448E+00  0.24291045E+04
 0.49770236E+02  0.40845279E+00  0.30008650E+04
 0.55908102E+02  0.37030722E+00  0.37092799E+04
 0.62802914E+02  0.33572121E+00  0.45869872E+04
 0.70548023E+02  0.30405564E+00  0.56751144E+04
 0.79248290E+02  0.27538284E+00  0.70246960E+04
 0.89021509E+02  0.24921955E+00  0.86992730E+04
 0.10000000E+03  0.22554737E+00  0.10778079E+05
