#   nzt =   1
#    zt = 0.1300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.24630500E+01
#    Te =  0.25000000E-01
#   rho =  0.39700000E+01
#  zbar =  0.32595148E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.26175379E+01  0.34226784E-01
 0.11233240E-02  0.27678500E+01  0.36278366E-01
 0.12618569E-02  0.29268026E+01  0.38457720E-01
 0.14174742E-02  0.30937180E+01  0.40773331E-01
 0.15922828E-02  0.32701416E+01  0.43234159E-01
 0.17886495E-02  0.34550080E+01  0.45849958E-01
 0.20092330E-02  0.36502769E+01  0.48631124E-01
 0.22570197E-02  0.38545033E+01  0.51588967E-01
 0.25353645E-02  0.40700538E+01  0.54735553E-01
 0.28480359E-02  0.42950036E+01  0.58084053E-01
 0.31992671E-02  0.45322065E+01  0.61648545E-01
 0.35938137E-02  0.47793152E+01  0.65444360E-01
 0.40370173E-02  0.50396302E+01  0.69487910E-01
 0.45348785E-02  0.53103497E+01  0.73797071E-01
 0.50941380E-02  0.55952508E+01  0.78390978E-01
 0.57223677E-02  0.58903219E+01  0.83290836E-01
 0.64280731E-02  0.62003808E+01  0.88519387E-01
 0.72208090E-02  0.65193606E+01  0.94102273E-01
 0.81113083E-02  0.68537729E+01  0.10006718E+00
 0.91116276E-02  0.71966274E+01  0.10644471E+00
 0.10235310E-01  0.75554646E+01  0.11326797E+00
 0.11497570E-01  0.79238204E+01  0.12057265E+00
 0.12915497E-01  0.83093140E+01  0.12839701E+00
 0.14508288E-01  0.87033086E+01  0.13678361E+00
 0.16297508E-01  0.91151271E+01  0.14577842E+00
 0.18307383E-01  0.95371177E+01  0.15543091E+00
 0.20565123E-01  0.99789376E+01  0.16579407E+00
 0.23101297E-01  0.10437770E+02  0.17692192E+00
 0.25950242E-01  0.10921553E+02  0.18887134E+00
 0.29150531E-01  0.11443582E+02  0.20169124E+00
 0.32745492E-01  0.12004924E+02  0.21542565E+00
 0.36783798E-01  0.12586467E+02  0.23013645E+00
