#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.23227400E+01
#    Te =  0.25000000E-01
#   rho =  0.39700000E+01
#  zbar =  0.26199920E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.26051167E+01  0.20394353E-01
 0.11233240E-02  0.27550659E+01  0.21616728E-01
 0.12618569E-02  0.29136486E+01  0.22915070E-01
 0.14174742E-02  0.30802290E+01  0.24294407E-01
 0.15922828E-02  0.32563118E+01  0.25760051E-01
 0.17886495E-02  0.34409037E+01  0.27317776E-01
 0.20092330E-02  0.36358949E+01  0.28973739E-01
 0.22570197E-02  0.38399746E+01  0.30734621E-01
 0.25353645E-02  0.40553820E+01  0.32607553E-01
 0.28480359E-02  0.42803438E+01  0.34600312E-01
 0.31992671E-02  0.45175594E+01  0.36721215E-01
 0.35938137E-02  0.47647996E+01  0.38979329E-01
 0.40370173E-02  0.50252148E+01  0.41384372E-01
 0.45348785E-02  0.52961160E+01  0.43946936E-01
 0.50941380E-02  0.55810974E+01  0.46678377E-01
 0.57223677E-02  0.58762467E+01  0.49591304E-01
 0.64280731E-02  0.61861412E+01  0.52699276E-01
 0.72208090E-02  0.65049516E+01  0.56017569E-01
 0.81113083E-02  0.68387395E+01  0.59562740E-01
 0.91116276E-02  0.71808047E+01  0.63353125E-01
 0.10235310E-01  0.75380057E+01  0.67408659E-01
 0.11497570E-01  0.79043239E+01  0.71750892E-01
 0.12915497E-01  0.82863204E+01  0.76403119E-01
 0.14508288E-01  0.86763357E+01  0.81391226E-01
 0.16297508E-01  0.90819578E+01  0.86743384E-01
 0.18307383E-01  0.94949328E+01  0.92490669E-01
 0.20565123E-01  0.99236225E+01  0.98666975E-01
 0.23101297E-01  0.10363690E+02  0.10530792E+00
 0.25950242E-01  0.10821834E+02  0.11245175E+00
 0.29150531E-01  0.11299041E+02  0.12013735E+00
 0.32745492E-01  0.11799007E+02  0.12840570E+00
 0.36783798E-01  0.12325460E+02  0.13729864E+00
 0.41320124E-01  0.12879706E+02  0.14686400E+00
 0.46415888E-01  0.13586515E+02  0.15709893E+00
 0.52140083E-01  0.14400140E+02  0.16795891E+00
 0.58570208E-01  0.14997054E+02  0.17956607E+00
