#   nzt = 2
#    zt = 1.3000E+01 8.0000E+00
#    wt = 2.0000E+00 3.0000E+00
#    zp = 1.0000E+00
#    rs =  2.39506800E+00
#    Te =  2.50000000E-02
#   rho =  3.97000000E+00
#  zbar =  2.95307252E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  2.67814706E+00  2.38016706E-02
 1.12332400E-03  2.83206546E+00  2.53260072E-02
 1.26185690E-03  2.99483356E+00  2.69452705E-02
 1.41747420E-03  3.16576892E+00  2.86656948E-02
 1.59228280E-03  3.34644042E+00  3.04939454E-02
 1.78864950E-03  3.53578336E+00  3.24372407E-02
 2.00923300E-03  3.73577482E+00  3.45033136E-02
 2.25701970E-03  3.94499350E+00  3.67005238E-02
 2.53536450E-03  4.16580026E+00  3.90378445E-02
 2.84803590E-03  4.39628580E+00  4.15250119E-02
 3.19926710E-03  4.63929558E+00  4.41724968E-02
 3.59381370E-03  4.89246328E+00  4.69916549E-02
 4.03701730E-03  5.15909136E+00  4.99947153E-02
 4.53487850E-03  5.43633816E+00  5.31949455E-02
 5.09413800E-03  5.72796898E+00  5.66066620E-02
 5.72236770E-03  6.02987194E+00  6.02456378E-02
 6.42807310E-03  6.34684334E+00  6.41289819E-02
 7.22080900E-03  6.67270394E+00  6.82758153E-02
 8.11130830E-03  7.01386432E+00  7.27070182E-02
 9.11162760E-03  7.36319984E+00  7.74455841E-02
 1.02353100E-02  7.72801420E+00  8.25166243E-02
 1.14975700E-02  8.10179028E+00  8.79472687E-02
 1.29154970E-02  8.49162910E+00  9.37669104E-02
 1.45082880E-02  8.88901810E+00  1.00008115E-01
 1.62975080E-02  9.30233244E+00  1.06706564E-01
 1.83073830E-02  9.72305458E+00  1.13901193E-01
 2.05651230E-02  1.01600510E+01  1.21634431E-01
 2.31012970E-02  1.06091738E+01  1.29950698E-01
 2.59502420E-02  1.10774578E+01  1.38897322E-01
 2.91505310E-02  1.15705110E+01  1.48520676E-01
 3.27454920E-02  1.20907322E+01  1.58867920E-01
 3.67837980E-02  1.26330066E+01  1.69991715E-01
 4.13201240E-02  1.32034038E+01  1.81948622E-01
 4.64158880E-02  1.39415408E+01  1.94733239E-01
 5.21400830E-02  1.47996640E+01  2.08299303E-01
 5.85702080E-02  1.54078932E+01  2.22797458E-01
 6.57933220E-02  1.58804726E+01  2.38520039E-01
 7.39072200E-02  1.61712110E+01  2.55760926E-01
 8.30217570E-02  1.63632888E+01  2.74840810E-01
 9.32603350E-02  1.63739110E+01  2.96142499E-01
 1.04761580E-01  1.62805660E+01  3.20133911E-01
 1.17681200E-01  1.60453506E+01  3.47362855E-01
 1.32194110E-01  1.57267962E+01  3.78485750E-01
 1.48496830E-01  1.53568362E+01  4.14223509E-01
 1.66810050E-01  1.49634964E+01  4.55381007E-01
 1.87381740E-01  1.45110978E+01  5.02945602E-01
 2.10490410E-01  1.40188476E+01  5.58149627E-01
 2.36448940E-01  1.34838386E+01  6.22484110E-01
 2.65608780E-01  1.29247438E+01  6.97752814E-01
 2.98364720E-01  1.23329136E+01  7.86167097E-01
 3.35160270E-01  1.17144978E+01  8.90494032E-01
 3.76493580E-01  1.11153814E+01  1.01393788E+00
 4.22924290E-01  1.05364024E+01  1.16015540E+00
 4.75081020E-01  9.95534772E+00  1.33372100E+00
 5.33669920E-01  9.36784946E+00  1.54050501E+00
 5.99484250E-01  8.80097916E+00  1.78755827E+00
 6.73415070E-01  8.25060272E+00  2.08328156E+00
 7.56463330E-01  7.72410946E+00  2.43788261E+00
 8.49753440E-01  7.21298658E+00  2.86391806E+00
 9.54548460E-01  6.73436864E+00  3.37645597E+00
 1.07226720E+00  6.28304542E+00  3.99336063E+00
 1.20450350E+00  5.85449648E+00  4.73662446E+00
 1.35304780E+00  5.43727364E+00  5.63419113E+00
 1.51991110E+00  5.04576596E+00  6.72026203E+00
 1.70735260E+00  4.67314394E+00  8.03628564E+00
 1.91791030E+00  4.32390632E+00  9.63328166E+00
 2.15443470E+00  3.98892400E+00  1.15750897E+01
 2.42012830E+00  3.67803758E+00  1.39401581E+01
 2.71858820E+00  3.38529530E+00  1.68241267E+01
 3.05385550E+00  3.11512192E+00  2.03443280E+01
 3.43046930E+00  2.86239968E+00  2.46448056E+01
 3.85352860E+00  2.62874662E+00  2.99036545E+01
 4.32876130E+00  2.40895908E+00  3.63432721E+01
 4.86260160E+00  2.20839132E+00  4.42354039E+01
 5.46227720E+00  2.02458566E+00  5.39058649E+01
 6.13590730E+00  1.85520574E+00  6.57581291E+01
 6.89261210E+00  1.69614240E+00  8.03046753E+01
 7.74263680E+00  1.55023884E+00  9.81803671E+01
 8.69749000E+00  1.41428072E+00  1.20171371E+02
 9.77009960E+00  1.29013242E+00  1.47250321E+02
 1.09749880E+01  1.17567806E+00  1.80613856E+02
 1.23284670E+01  1.07128812E+00  2.21742313E+02
 1.38488640E+01  9.75243992E-01  2.72469750E+02
 1.55567610E+01  8.87802306E-01  3.35065164E+02
 1.74752840E+01  8.07737886E-01  4.12328649E+02
 1.96304070E+01  7.34611500E-01  5.07743489E+02
 2.20513070E+01  6.66349804E-01  6.25755167E+02
 2.47707640E+01  6.04511232E-01  7.71888810E+02
 2.78255940E+01  5.48713516E-01  9.52784916E+02
 3.12571580E+01  4.98016944E-01  1.17666661E+03
 3.51119170E+01  4.51520348E-01  1.45391328E+03
 3.94420610E+01  4.09313184E-01  1.79744610E+03
 4.43062150E+01  3.70442464E-01  2.22349945E+03
 4.97702360E+01  3.35285284E-01  2.75229140E+03
 5.59081020E+01  3.03647862E-01  3.40837717E+03
 6.28029140E+01  2.74977146E-01  4.22219840E+03
 7.05480230E+01  2.48537234E-01  5.23270342E+03
 7.92482900E+01  2.24651180E-01  6.48854179E+03
 8.90215090E+01  2.03298848E-01  8.04830202E+03
 1.00000000E+02  1.83977632E-01  9.98443628E+03
