#   nzt =   1
#    zt = 0.1300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28822400E+01
#    Te =  0.25000000E-01
#   rho =  0.23600000E+01
#  zbar =  0.27253140E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.38657012E+01  0.23175590E-01
 0.11233240E-02  0.40869201E+01  0.24564889E-01
 0.12618569E-02  0.43208273E+01  0.26040983E-01
 0.14174742E-02  0.45662052E+01  0.27609688E-01
 0.15922828E-02  0.48255254E+01  0.29277139E-01
 0.17886495E-02  0.50965891E+01  0.31050100E-01
 0.20092330E-02  0.53828307E+01  0.32935771E-01
 0.22570197E-02  0.56809351E+01  0.34942112E-01
 0.25353645E-02  0.59954059E+01  0.37077623E-01
 0.28480359E-02  0.63220328E+01  0.39351635E-01
 0.31992671E-02  0.66662142E+01  0.41774136E-01
 0.35938137E-02  0.70230148E+01  0.44356041E-01
 0.40370173E-02  0.73986085E+01  0.47109038E-01
 0.45348785E-02  0.77868685E+01  0.50045987E-01
 0.50941380E-02  0.81951355E+01  0.53180668E-01
 0.57223677E-02  0.86157624E+01  0.56528311E-01
 0.64280731E-02  0.90575980E+01  0.60105212E-01
 0.72208090E-02  0.95096266E+01  0.63929800E-01
 0.81113083E-02  0.99836481E+01  0.68021890E-01
 0.91116276E-02  0.10466581E+02  0.72403550E-01
 0.10235310E-01  0.10972612E+02  0.77098457E-01
 0.11497570E-01  0.11486233E+02  0.82132953E-01
 0.12915497E-01  0.12024381E+02  0.87535143E-01
 0.14508288E-01  0.12563607E+02  0.93337688E-01
 0.16297508E-01  0.13127208E+02  0.99576246E-01
 0.18307383E-01  0.13705457E+02  0.10628612E+00
 0.20565123E-01  0.14315985E+02  0.11350404E+00
 0.23101297E-01  0.14959763E+02  0.12126493E+00
 0.25950242E-01  0.15648057E+02  0.12960754E+00
 0.29150531E-01  0.16547420E+02  0.13851866E+00
 0.32745492E-01  0.17595096E+02  0.14794610E+00
 0.36783798E-01  0.18363819E+02  0.15799540E+00
 0.41320124E-01  0.19012336E+02  0.16885794E+00
 0.46415888E-01  0.19447210E+02  0.18071802E+00
 0.52140083E-01  0.19771908E+02  0.19378194E+00
 0.58570208E-01  0.19859111E+02  0.20830641E+00
 0.65793322E-01  0.19819104E+02  0.22460229E+00
 0.73907220E-01  0.19540956E+02  0.24306035E+00
 0.83021757E-01  0.19146953E+02  0.26416443E+00
 0.93260335E-01  0.18699198E+02  0.28840431E+00
 0.10476158E+00  0.18232752E+02  0.31630531E+00
 0.11768120E+00  0.17692363E+02  0.34852841E+00
 0.13219411E+00  0.17120715E+02  0.38588894E+00
 0.14849683E+00  0.16544525E+02  0.42929290E+00
 0.16681005E+00  0.15978383E+02  0.47976189E+00
 0.18738174E+00  0.15409624E+02  0.53850510E+00
 0.21049041E+00  0.14840812E+02  0.60697023E+00
 0.23644894E+00  0.14249048E+02  0.68695144E+00
 0.26560878E+00  0.13649590E+02  0.78064635E+00
 0.29836472E+00  0.13062378E+02  0.89057659E+00
 0.33516027E+00  0.12482731E+02  0.10197141E+01
 0.37649358E+00  0.11923931E+02  0.11715509E+01
 0.42292429E+00  0.11386166E+02  0.13501239E+01
 0.47508102E+00  0.10852270E+02  0.15603741E+01
 0.53366992E+00  0.10313818E+02  0.18085541E+01
 0.59948425E+00  0.97923760E+01  0.21020548E+01
 0.67341507E+00  0.92835985E+01  0.24495536E+01
 0.75646333E+00  0.87828672E+01  0.28616903E+01
 0.84975344E+00  0.82752147E+01  0.33521625E+01
 0.95454846E+00  0.77989417E+01  0.39369061E+01
 0.10722672E+01  0.73478739E+01  0.46338767E+01
 0.12045035E+01  0.69035430E+01  0.54658311E+01
 0.13530478E+01  0.64449793E+01  0.64639916E+01
 0.15199111E+01  0.60125278E+01  0.76656001E+01
 0.17073526E+01  0.55975397E+01  0.91139916E+01
 0.19179103E+01  0.52027484E+01  0.10862823E+02
 0.21544347E+01  0.48135605E+01  0.12981673E+02
 0.24201283E+01  0.44498441E+01  0.15555400E+02
 0.27185882E+01  0.41028375E+01  0.18687332E+02
 0.30538555E+01  0.37823026E+01  0.22503398E+02
 0.34304693E+01  0.34819809E+01  0.27156719E+02
 0.38535286E+01  0.32036894E+01  0.32835972E+02
 0.43287613E+01  0.29405806E+01  0.39779096E+02
 0.48626016E+01  0.27003013E+01  0.48274884E+02
 0.54622772E+01  0.24797323E+01  0.58666962E+02
 0.61359073E+01  0.22758916E+01  0.71380900E+02
 0.68926121E+01  0.20830544E+01  0.86965359E+02
 0.77426368E+01  0.19062764E+01  0.10609386E+03
 0.86974900E+01  0.17417947E+01  0.12959407E+03
 0.97700996E+01  0.15917173E+01  0.15848379E+03
 0.10974988E+02  0.14538902E+01  0.19400444E+03
 0.12328467E+02  0.13276173E+01  0.23769045E+03
 0.13848864E+02  0.12097714E+01  0.29149383E+03
 0.15556761E+02  0.11026060E+01  0.35781703E+03
 0.17475284E+02  0.10049590E+01  0.43955716E+03
 0.19630407E+02  0.91560423E+00  0.54030393E+03
 0.22051307E+02  0.83175738E+00  0.66471937E+03
 0.24770764E+02  0.75563616E+00  0.81857309E+03
 0.27825594E+02  0.68631083E+00  0.10088355E+04
 0.31257158E+02  0.62329811E+00  0.12441474E+04
 0.35111917E+02  0.56545114E+00  0.15353746E+04
 0.39442061E+02  0.51293161E+00  0.18959851E+04
 0.44306215E+02  0.46467794E+00  0.23428667E+04
 0.49770236E+02  0.42098286E+00  0.28969999E+04
 0.55908102E+02  0.38143940E+00  0.35840352E+04
 0.62802914E+02  0.34560088E+00  0.44357603E+04
 0.70548023E+02  0.31277204E+00  0.54923985E+04
 0.79248290E+02  0.28306746E+00  0.68039290E+04
 0.89021509E+02  0.25608150E+00  0.84321609E+04
