#   nzt =   1
#    zt = 0.6000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28345400E+01
#    Te =  0.25000000E-01
#   rho =  0.23600000E+01
#  zbar =  0.25929681E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.43714277E+01  0.91229825E-02
 0.11233240E-02  0.46209802E+01  0.96699115E-02
 0.12618569E-02  0.48847872E+01  0.10251086E-01
 0.14174742E-02  0.51613656E+01  0.10868815E-01
 0.15922828E-02  0.54535677E+01  0.11525537E-01
 0.17886495E-02  0.57587832E+01  0.12223940E-01
 0.20092330E-02  0.60809462E+01  0.12966892E-01
 0.22570197E-02  0.64161727E+01  0.13757565E-01
 0.25353645E-02  0.67695807E+01  0.14599353E-01
 0.28480359E-02  0.71362143E+01  0.15495989E-01
 0.31992671E-02  0.75221931E+01  0.16451478E-01
 0.35938137E-02  0.79216415E+01  0.17470215E-01
 0.40370173E-02  0.83415399E+01  0.18556918E-01
 0.45348785E-02  0.87745496E+01  0.19716808E-01
 0.50941380E-02  0.92289043E+01  0.20955502E-01
 0.57223677E-02  0.96953078E+01  0.22279253E-01
 0.64280731E-02  0.10183621E+02  0.23694805E-01
 0.72208090E-02  0.10680428E+02  0.25209845E-01
 0.81113083E-02  0.11198749E+02  0.26832731E-01
 0.91116276E-02  0.11722548E+02  0.28572874E-01
 0.10235310E-01  0.12267134E+02  0.30440524E-01
 0.11497570E-01  0.12813587E+02  0.32447240E-01
 0.12915497E-01  0.13379552E+02  0.34605605E-01
 0.14508288E-01  0.13936932E+02  0.36930444E-01
 0.16297508E-01  0.14509610E+02  0.39438304E-01
 0.18307383E-01  0.15083446E+02  0.42146343E-01
 0.20565123E-01  0.15675401E+02  0.45073151E-01
 0.23101297E-01  0.16282496E+02  0.48237600E-01
 0.25950242E-01  0.16913748E+02  0.51661243E-01
 0.29150531E-01  0.17733506E+02  0.55346557E-01
 0.32745492E-01  0.18667821E+02  0.59282152E-01
 0.36783798E-01  0.19296307E+02  0.63519266E-01
 0.41320124E-01  0.19790055E+02  0.68143682E-01
 0.46415888E-01  0.20105174E+02  0.73234341E-01
 0.52140083E-01  0.20350409E+02  0.78872394E-01
 0.58570208E-01  0.20340247E+02  0.85169711E-01
 0.65793322E-01  0.20201394E+02  0.92269963E-01
 0.73907220E-01  0.19840599E+02  0.10034759E+00
 0.83021757E-01  0.19379866E+02  0.10961388E+00
 0.93260335E-01  0.18818599E+02  0.12030381E+00
 0.10476158E+00  0.18211900E+02  0.13268923E+00
 0.11768120E+00  0.17471810E+02  0.14712945E+00
 0.13219411E+00  0.16662781E+02  0.16409308E+00
 0.14849683E+00  0.15840111E+02  0.18411000E+00
 0.16681005E+00  0.15026491E+02  0.20778749E+00
 0.18738174E+00  0.14200547E+02  0.23587917E+00
 0.21049041E+00  0.13375652E+02  0.26932503E+00
 0.23644894E+00  0.12536439E+02  0.30931375E+00
 0.26560878E+00  0.11700020E+02  0.35735651E+00
 0.29836472E+00  0.10911392E+02  0.41521019E+00
 0.33516027E+00  0.10167596E+02  0.48492344E+00
 0.37649358E+00  0.94631521E+01  0.56901356E+00
 0.42292429E+00  0.87968688E+01  0.67057376E+00
 0.47508102E+00  0.81745910E+01  0.79332274E+00
 0.53366992E+00  0.75906211E+01  0.94175642E+00
 0.59948425E+00  0.70385158E+01  0.11214442E+01
 0.67341507E+00  0.65141842E+01  0.13393537E+01
 0.75646333E+00  0.60269463E+01  0.16038873E+01
 0.84975344E+00  0.55706907E+01  0.19252378E+01
 0.95454846E+00  0.51481224E+01  0.23158190E+01
 0.10722672E+01  0.47550376E+01  0.27907091E+01
 0.12045035E+01  0.43896973E+01  0.33683863E+01
 0.13530478E+01  0.40463306E+01  0.40718842E+01
 0.15199111E+01  0.37286884E+01  0.49293414E+01
 0.17073526E+01  0.34331109E+01  0.59750295E+01
 0.19179103E+01  0.31582228E+01  0.72512694E+01
 0.21544347E+01  0.28984062E+01  0.88117254E+01
 0.24201283E+01  0.26594179E+01  0.10722009E+02
 0.27185882E+01  0.24378839E+01  0.13061833E+02
 0.30538555E+01  0.22336823E+01  0.15929608E+02
 0.34304693E+01  0.20426480E+01  0.19449202E+02
 0.38535286E+01  0.18672307E+01  0.23773397E+02
 0.43287613E+01  0.17043274E+01  0.29091551E+02
 0.48626016E+01  0.15554698E+01  0.35636923E+02
 0.54622772E+01  0.14183684E+01  0.43696728E+02
 0.61359073E+01  0.12925844E+01  0.53627856E+02
 0.68926121E+01  0.11753358E+01  0.65884254E+02
 0.77426368E+01  0.10685349E+01  0.81027316E+02
 0.86974900E+01  0.97058073E+00  0.99747153E+02
 0.97700996E+01  0.88156985E+00  0.12289852E+03
 0.10974988E+02  0.80043887E+00  0.15153608E+03
