#   nzt = 2
#    zt = 1.3000E+01 6.0000E+00
#    wt = 4.0000E+00 3.0000E+00
#    zp = 1.0000E+00
#    rs =  2.85812429E+00
#    Te =  2.50000000E-02
#   rho =  2.36000000E+00
#  zbar =  2.85808446E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.21753659E+00  1.51657566E-02
 1.12332400E-03  4.45842300E+00  1.61420589E-02
 1.26185690E-03  4.71307661E+00  1.71795090E-02
 1.41747420E-03  4.98011106E+00  1.82821765E-02
 1.59228280E-03  5.26224256E+00  1.94544174E-02
 1.78864950E-03  5.55706083E+00  2.07009983E-02
 2.00923300E-03  5.86827374E+00  2.20270381E-02
 2.25701970E-03  6.19231767E+00  2.34381433E-02
 2.53536450E-03  6.53398281E+00  2.49403554E-02
 2.84803590E-03  6.88870567E+00  2.65402675E-02
 3.19926710E-03  7.26221827E+00  2.82449984E-02
 3.59381370E-03  7.64912201E+00  3.00622964E-02
 4.03701730E-03  8.05594437E+00  3.20005380E-02
 4.53487850E-03  8.47598869E+00  3.40688963E-02
 5.09413800E-03  8.91691243E+00  3.62773186E-02
 5.72236770E-03  9.37012191E+00  3.86367770E-02
 6.42807310E-03  9.84485630E+00  4.11592130E-02
 7.22080900E-03  1.03285874E+01  4.38580746E-02
 8.11130830E-03  1.08335953E+01  4.67481142E-02
 9.11162760E-03  1.13449457E+01  4.98457588E-02
 1.02353100E-02  1.18770761E+01  5.31690520E-02
 1.14975700E-02  1.24127376E+01  5.67380846E-02
 1.29154970E-02  1.29683697E+01  6.05748923E-02
 1.45082880E-02  1.35184646E+01  6.47049114E-02
 1.62975080E-02  1.40851600E+01  6.91565514E-02
 1.83073830E-02  1.46551774E+01  7.39593804E-02
 2.05651230E-02  1.52450149E+01  7.91452068E-02
 2.31012970E-02  1.58521030E+01  8.47463317E-02
 2.59502420E-02  1.64862504E+01  9.07964472E-02
 2.91505310E-02  1.72892966E+01  9.73036162E-02
 3.27454920E-02  1.82014240E+01  1.04261008E-01
 3.67837980E-02  1.88678373E+01  1.11743430E-01
 4.13201240E-02  1.94335487E+01  1.19877807E-01
 4.64158880E-02  1.98949670E+01  1.28776578E-01
 5.21400830E-02  2.03170069E+01  1.38553546E-01
 5.85702080E-02  2.04424494E+01  1.49389724E-01
 6.57933220E-02  2.04142586E+01  1.61533871E-01
 7.39072200E-02  2.01260136E+01  1.75284165E-01
 8.30217570E-02  1.97084676E+01  1.91005048E-01
 9.32603350E-02  1.91907901E+01  2.09090776E-01
 1.04761580E-01  1.86267644E+01  2.29989990E-01
 1.17681200E-01  1.79658484E+01  2.54257243E-01
 1.32194110E-01  1.72562797E+01  2.82580607E-01
 1.48496830E-01  1.65359539E+01  3.15744906E-01
 1.66810050E-01  1.58235449E+01  3.54649760E-01
 1.87381740E-01  1.51130879E+01  4.00364600E-01
 2.10490410E-01  1.44129581E+01  4.54172905E-01
 2.36448940E-01  1.36927153E+01  5.17678522E-01
 2.65608780E-01  1.29705657E+01  5.92879942E-01
 2.98364720E-01  1.22760599E+01  6.82096678E-01
 3.35160270E-01  1.16081071E+01  7.88035134E-01
 3.76493580E-01  1.09723230E+01  9.13909968E-01
 4.22924290E-01  1.03668181E+01  1.06353543E+00
 4.75081020E-01  9.78322134E+00  1.24153897E+00
 5.33669920E-01  9.21464940E+00  1.45363290E+00
 5.99484250E-01  8.67133480E+00  1.70669985E+00
 6.73415070E-01  8.14972116E+00  2.00898504E+00
 7.56463330E-01  7.64903389E+00  2.37053758E+00
 8.49753440E-01  7.15909693E+00  2.80388439E+00
 9.54548460E-01  6.70119799E+00  3.32395817E+00
 1.07226720E+00  6.27043703E+00  3.94820843E+00
 1.20450350E+00  5.85638503E+00  4.69835278E+00
 1.35304780E+00  5.44526411E+00  5.60267316E+00
 1.51991110E+00  5.05984714E+00  6.69556361E+00
 1.70735260E+00  4.69349164E+00  8.01794547E+00
 1.91791030E+00  4.34745830E+00  9.62055728E+00
 2.15443470E+00  4.01125623E+00  1.15680176E+01
 2.42012830E+00  3.69868241E+00  1.39397759E+01
 2.71858820E+00  3.40333927E+00  1.68323024E+01
 3.05385550E+00  3.13070754E+00  2.03640203E+01
 3.43046930E+00  2.87559187E+00  2.46801199E+01
 3.85352860E+00  2.63985337E+00  2.99601141E+01
 4.32876130E+00  2.41823526E+00  3.64280675E+01
 4.86260160E+00  2.21591781E+00  4.43581678E+01
 5.46227720E+00  2.03029241E+00  5.40801744E+01
 6.13590730E+00  1.85927133E+00  6.60028536E+01
 6.89261210E+00  1.69848577E+00  8.06463565E+01
 7.74263680E+00  1.55141671E+00  9.86539723E+01
 8.69749000E+00  1.41526245E+00  1.20814671E+02
 9.77009960E+00  1.29112359E+00  1.48102418E+02
 1.09749880E+01  1.17721060E+00  1.81712663E+02
 1.23284670E+01  1.07312059E+00  2.23125908E+02
 1.38488640E+01  9.76667963E-01  2.74201231E+02
 1.55567610E+01  8.89002550E-01  3.37236844E+02
 1.74752840E+01  8.09234224E-01  4.15027592E+02
 1.96304070E+01  7.36309096E-01  5.11047969E+02
 2.20513070E+01  6.67997227E-01  6.29772528E+02
 2.47707640E+01  6.06081721E-01  7.76768043E+02
 2.78255940E+01  5.50049669E-01  9.58735325E+02
 3.12571580E+01  4.99165923E-01  1.18397463E+03
 3.51119170E+01  4.52635464E-01  1.46289630E+03
 3.94420610E+01  4.10380941E-01  1.80845368E+03
 4.43062150E+01  3.71363673E-01  2.23701622E+03
 4.97702360E+01  3.36081936E-01  2.76898318E+03
 5.59081020E+01  3.04368130E-01  3.42904473E+03
 6.28029140E+01  2.75633996E-01  4.24779119E+03
 7.05480230E+01  2.49241934E-01  5.26416908E+03
 7.92482900E+01  2.25382621E-01  6.52676533E+03
 8.90215090E+01  2.03794591E-01  8.09526467E+03
 1.00000000E+02  1.84277297E-01  1.00438236E+04
