#   nzt =   1
#    zt = 0.1800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.39128500E+02
#    Te =  0.25000000E-01
#   rho =  0.17840000E-02
#  zbar =  0.32885744E-35
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.21097105E+01  0.62958483E-01
 0.11233240E-02  0.22356338E+01  0.66728155E-01
 0.12618569E-02  0.23689148E+01  0.70724231E-01
 0.14174742E-02  0.25092651E+01  0.74961323E-01
 0.15922828E-02  0.26578129E+01  0.79454814E-01
 0.17886495E-02  0.28140580E+01  0.84221300E-01
 0.20092330E-02  0.29794749E+01  0.89278323E-01
 0.22570197E-02  0.31534457E+01  0.94644647E-01
 0.25353645E-02  0.33377595E+01  0.10034003E+00
 0.28480359E-02  0.35315832E+01  0.10638563E+00
 0.31992671E-02  0.37371268E+01  0.11280367E+00
 0.35938137E-02  0.39533076E+01  0.11961787E+00
 0.40370173E-02  0.41827925E+01  0.12685313E+00
 0.45348785E-02  0.44242432E+01  0.13453599E+00
 0.50941380E-02  0.46807539E+01  0.14269429E+00
 0.57223677E-02  0.49502729E+01  0.15135818E+00
 0.64280731E-02  0.52365287E+01  0.16055945E+00
 0.72208090E-02  0.55363804E+01  0.17033310E+00
 0.81113083E-02  0.58542705E+01  0.18071656E+00
 0.91116276E-02  0.61863722E+01  0.19175084E+00
 0.10235310E-01  0.65374180E+01  0.20348034E+00
 0.11497570E-01  0.69037962E+01  0.21595302E+00
 0.12915497E-01  0.72898888E+01  0.22922093E+00
 0.14508288E-01  0.76912259E+01  0.24334160E+00
 0.16297508E-01  0.81125471E+01  0.25837777E+00
 0.18307383E-01  0.85482796E+01  0.27439927E+00
 0.20565123E-01  0.90040142E+01  0.29148254E+00
 0.23101297E-01  0.94761639E+01  0.30970905E+00
 0.25950242E-01  0.99697947E+01  0.32916669E+00
 0.29150531E-01  0.10484356E+02  0.34994668E+00
 0.32745492E-01  0.11023633E+02  0.37214584E+00
 0.36783798E-01  0.11588844E+02  0.39586480E+00
 0.41320124E-01  0.12182734E+02  0.42121316E+00
 0.46415888E-01  0.12843413E+02  0.44826183E+00
 0.52140083E-01  0.13558570E+02  0.47705271E+00
 0.58570208E-01  0.14236737E+02  0.50776750E+00
 0.65793322E-01  0.14906989E+02  0.54067959E+00
 0.73907220E-01  0.15597374E+02  0.57600479E+00
 0.83021757E-01  0.16315054E+02  0.61392319E+00
 0.93260335E-01  0.16936069E+02  0.65479621E+00
 0.10476158E+00  0.17499816E+02  0.69912283E+00
 0.11768120E+00  0.17897624E+02  0.74756241E+00
 0.13219411E+00  0.18187599E+02  0.80095444E+00
 0.14849683E+00  0.18415338E+02  0.86009272E+00
 0.16681005E+00  0.18598263E+02  0.92576456E+00
 0.18738174E+00  0.18584577E+02  0.99919152E+00
 0.21049041E+00  0.18409776E+02  0.10821189E+01
 0.23644894E+00  0.18126912E+02  0.11764601E+01
 0.26560878E+00  0.17753788E+02  0.12843594E+01
 0.29836472E+00  0.17217483E+02  0.14087174E+01
 0.33516027E+00  0.16527079E+02  0.15535581E+01
 0.37649358E+00  0.15781641E+02  0.17235401E+01
 0.42292429E+00  0.14989250E+02  0.19240577E+01
 0.47508102E+00  0.14164803E+02  0.21618233E+01
 0.53366992E+00  0.13310437E+02  0.24452951E+01
 0.59948425E+00  0.12455914E+02  0.27848977E+01
 0.67341507E+00  0.11604028E+02  0.31935647E+01
 0.75646333E+00  0.10796801E+02  0.36866963E+01
 0.84975344E+00  0.10031184E+02  0.42825631E+01
 0.95454846E+00  0.93242076E+01  0.50028768E+01
 0.10722672E+01  0.86721271E+01  0.58730877E+01
 0.12045035E+01  0.80659540E+01  0.69240134E+01
 0.13530478E+01  0.74936808E+01  0.81941507E+01
 0.15199111E+01  0.69735244E+01  0.97286850E+01
 0.17073526E+01  0.64981388E+01  0.11579633E+02
 0.19179103E+01  0.60562988E+01  0.13810254E+02
 0.21544347E+01  0.56269707E+01  0.16503387E+02
 0.24201283E+01  0.52323191E+01  0.19758195E+02
 0.27185882E+01  0.48607910E+01  0.23692029E+02
 0.30538555E+01  0.45150327E+01  0.28448152E+02
 0.34304693E+01  0.41765417E+01  0.34212866E+02
 0.38535286E+01  0.38636090E+01  0.41213110E+02
 0.43287613E+01  0.35654544E+01  0.49724794E+02
 0.48626016E+01  0.32908769E+01  0.60084257E+02
 0.54622772E+01  0.30307381E+01  0.72706877E+02
 0.61359073E+01  0.27896659E+01  0.88105610E+02
 0.68926121E+01  0.25584646E+01  0.10693529E+03
 0.77426368E+01  0.23459982E+01  0.13000029E+03
 0.86974900E+01  0.21460300E+01  0.15829385E+03
 0.97700996E+01  0.19639748E+01  0.19303232E+03
 0.10974988E+02  0.17972618E+01  0.23567291E+03
 0.12328467E+02  0.16446958E+01  0.28800967E+03
 0.13848864E+02  0.15021874E+01  0.35232265E+03
 0.15556761E+02  0.13724411E+01  0.43140928E+03
 0.17475284E+02  0.12530615E+01  0.52868261E+03
 0.19630407E+02  0.11441281E+01  0.64834749E+03
 0.22051307E+02  0.10425717E+01  0.79573156E+03
 0.24770764E+02  0.95036139E+00  0.97739104E+03
 0.27825594E+02  0.86594303E+00  0.12013030E+04
 0.31257158E+02  0.78910735E+00  0.14773102E+04
 0.35111917E+02  0.71787067E+00  0.18178598E+04
 0.39442061E+02  0.65314014E+00  0.22383173E+04
 0.44306215E+02  0.59308597E+00  0.27579911E+04
 0.49770236E+02  0.53863417E+00  0.34008412E+04
 0.55908102E+02  0.48907851E+00  0.41960612E+04
 0.62802914E+02  0.44409809E+00  0.51797530E+04
 0.70548023E+02  0.40256022E+00  0.63978236E+04
 0.79248290E+02  0.36493451E+00  0.79072931E+04
 0.89021509E+02  0.33074162E+00  0.97779980E+04
 0.10000000E+03  0.29976419E+00  0.12096829E+05
