#   nzt =   1
#    zt = 0.3300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32709600E+01
#    Te =  0.25000000E-01
#   rho =  0.57270000E+01
#  zbar =  0.30629424E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.65265104E+01  0.38118330E-01
 0.11233240E-02  0.68996470E+01  0.40403455E-01
 0.12618569E-02  0.72941258E+01  0.42831468E-01
 0.14174742E-02  0.77078357E+01  0.45411977E-01
 0.15922828E-02  0.81449520E+01  0.48155118E-01
 0.17886495E-02  0.86017211E+01  0.51072073E-01
 0.20092330E-02  0.90839001E+01  0.54174759E-01
 0.22570197E-02  0.95858631E+01  0.57476354E-01
 0.25353645E-02  0.10115108E+02  0.60990949E-01
 0.28480359E-02  0.10664449E+02  0.64734046E-01
 0.31992671E-02  0.11242841E+02  0.68722271E-01
 0.35938137E-02  0.11841789E+02  0.72973845E-01
 0.40370173E-02  0.12471472E+02  0.77508343E-01
 0.45348785E-02  0.13121272E+02  0.82347392E-01
 0.50941380E-02  0.13803171E+02  0.87514277E-01
 0.57223677E-02  0.14503724E+02  0.93034894E-01
 0.64280731E-02  0.15237229E+02  0.98937171E-01
 0.72208090E-02  0.15984226E+02  0.10525293E+00
 0.81113083E-02  0.16763566E+02  0.11201676E+00
 0.91116276E-02  0.17551896E+02  0.11926762E+00
 0.10235310E-01  0.18371364E+02  0.12704798E+00
 0.11497570E-01  0.19194230E+02  0.13540574E+00
 0.12915497E-01  0.20046070E+02  0.14439317E+00
 0.14508288E-01  0.20885592E+02  0.15407177E+00
 0.16297508E-01  0.21747560E+02  0.16451031E+00
 0.18307383E-01  0.22611589E+02  0.17578010E+00
 0.20565123E-01  0.23502499E+02  0.18795838E+00
 0.23101297E-01  0.24416798E+02  0.20112342E+00
 0.25950242E-01  0.25369142E+02  0.21536385E+00
 0.29150531E-01  0.26599988E+02  0.23069066E+00
 0.32745492E-01  0.28005604E+02  0.24705774E+00
 0.36783798E-01  0.28986421E+02  0.26466637E+00
 0.41320124E-01  0.29798425E+02  0.28384958E+00
 0.46415888E-01  0.30393515E+02  0.30489990E+00
 0.52140083E-01  0.30928875E+02  0.32810505E+00
 0.58570208E-01  0.31121285E+02  0.35386740E+00
 0.65793322E-01  0.31157158E+02  0.38270106E+00
 0.73907220E-01  0.30878804E+02  0.41522413E+00
 0.83021757E-01  0.30465137E+02  0.45218042E+00
 0.93260335E-01  0.29934251E+02  0.49435080E+00
 0.10476158E+00  0.29348849E+02  0.54260929E+00
 0.11768120E+00  0.28604683E+02  0.59806778E+00
 0.13219411E+00  0.27776505E+02  0.66211794E+00
 0.14849683E+00  0.26919066E+02  0.73629454E+00
 0.16681005E+00  0.26056954E+02  0.82232367E+00
 0.18738174E+00  0.25168989E+02  0.92226795E+00
 0.21049041E+00  0.24272987E+02  0.10385838E+01
 0.23644894E+00  0.23330175E+02  0.11742972E+01
 0.26560878E+00  0.22360896E+02  0.13331567E+01
 0.29836472E+00  0.21413303E+02  0.15194346E+01
 0.33516027E+00  0.20482078E+02  0.17380805E+01
 0.37649358E+00  0.19581262E+02  0.19949347E+01
 0.42292429E+00  0.18715900E+02  0.22967583E+01
 0.47508102E+00  0.17864991E+02  0.26516997E+01
 0.53366992E+00  0.17020842E+02  0.30698309E+01
 0.59948425E+00  0.16209245E+02  0.35629510E+01
 0.67341507E+00  0.15424269E+02  0.41448343E+01
 0.75646333E+00  0.14659464E+02  0.48321139E+01
 0.84975344E+00  0.13897232E+02  0.56456093E+01
 0.95454846E+00  0.13187502E+02  0.66091572E+01
 0.10722672E+01  0.12521860E+02  0.77492627E+01
 0.12045035E+01  0.11869514E+02  0.90989113E+01
 0.13530478E+01  0.11197635E+02  0.10702567E+02
 0.15199111E+01  0.10571047E+02  0.12611656E+02
 0.17073526E+01  0.99781704E+01  0.14883150E+02
 0.19179103E+01  0.93985513E+01  0.17588432E+02
 0.21544347E+01  0.87898484E+01  0.20827203E+02
 0.24201283E+01  0.82147999E+01  0.24718984E+02
 0.27185882E+01  0.76520949E+01  0.29405058E+02
 0.30538555E+01  0.71251147E+01  0.35056935E+02
 0.34304693E+01  0.66134617E+01  0.41887009E+02
 0.38535286E+01  0.61366484E+01  0.50153918E+02
 0.43287613E+01  0.56786477E+01  0.60177077E+02
 0.48626016E+01  0.52576066E+01  0.72341322E+02
 0.54622772E+01  0.48629712E+01  0.87107633E+02
 0.61359073E+01  0.44979627E+01  0.10503902E+03
 0.68926121E+01  0.41495999E+01  0.12684707E+03
 0.77426368E+01  0.38289672E+01  0.15339716E+03
 0.86974900E+01  0.35251878E+01  0.18575904E+03
 0.97700996E+01  0.32472868E+01  0.22523432E+03
 0.10974988E+02  0.29895403E+01  0.27338693E+03
 0.12328467E+02  0.27519576E+01  0.33213701E+03
 0.13848864E+02  0.25264474E+01  0.40393518E+03
 0.15556761E+02  0.23196786E+01  0.49178078E+03
 0.17475284E+02  0.21264118E+01  0.59934678E+03
 0.19630407E+02  0.19485122E+01  0.73116873E+03
 0.22051307E+02  0.17794678E+01  0.89306626E+03
 0.24770764E+02  0.16251735E+01  0.10922086E+04
 0.27825594E+02  0.14826159E+01  0.13372955E+04
 0.31257158E+02  0.13526009E+01  0.16390635E+04
 0.35111917E+02  0.12324370E+01  0.20108853E+04
 0.39442061E+02  0.11230092E+01  0.24692415E+04
 0.44306215E+02  0.10214183E+01  0.30348649E+04
 0.49770236E+02  0.92918782E+00  0.37334008E+04
 0.55908102E+02  0.84513783E+00  0.45960533E+04
 0.62802914E+02  0.76878930E+00  0.56613419E+04
 0.70548023E+02  0.69872835E+00  0.69774729E+04
 0.79248290E+02  0.63511034E+00  0.86039870E+04
 0.89021509E+02  0.57646878E+00  0.10615657E+05
 0.10000000E+03  0.52327792E+00  0.13105594E+05
