#   nzt =   1
#    zt = 0.8500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.38299400E+01
#    Te =  0.25000000E-01
#   rho =  0.10000000E+02
#  zbar =  0.30410703E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.10081863E+02  0.69166473E-01
 0.11233240E-02  0.10653132E+02  0.73313907E-01
 0.12618569E-02  0.11256806E+02  0.77722759E-01
 0.14174742E-02  0.11888442E+02  0.82410995E-01
 0.15922828E-02  0.12555438E+02  0.87397561E-01
 0.17886495E-02  0.13250949E+02  0.92703338E-01
 0.20092330E-02  0.13984679E+02  0.98350616E-01
 0.22570197E-02  0.14747290E+02  0.10436395E+00
 0.25353645E-02  0.15550832E+02  0.11076964E+00
 0.28480359E-02  0.16383614E+02  0.11759659E+00
 0.31992671E-02  0.17259880E+02  0.12487581E+00
 0.35938137E-02  0.18165159E+02  0.13264151E+00
 0.40370173E-02  0.19116190E+02  0.14093041E+00
 0.45348785E-02  0.20093507E+02  0.14978359E+00
 0.50941380E-02  0.21118015E+02  0.15924535E+00
 0.57223677E-02  0.22165076E+02  0.16936526E+00
 0.64280731E-02  0.23259961E+02  0.18019688E+00
 0.72208090E-02  0.24367984E+02  0.19180151E+00
 0.81113083E-02  0.25522215E+02  0.20424590E+00
 0.91116276E-02  0.26681962E+02  0.21760537E+00
 0.10235310E-01  0.27885718E+02  0.23196182E+00
 0.11497570E-01  0.29075262E+02  0.24741119E+00
 0.12915497E-01  0.30301940E+02  0.26405942E+00
 0.14508288E-01  0.31510726E+02  0.28202412E+00
 0.16297508E-01  0.32754517E+02  0.30143817E+00
 0.18307383E-01  0.34136778E+02  0.32239145E+00
 0.20565123E-01  0.35620556E+02  0.34495194E+00
 0.23101297E-01  0.36906783E+02  0.36932462E+00
 0.25950242E-01  0.38168179E+02  0.39578424E+00
 0.29150531E-01  0.39565609E+02  0.42449443E+00
 0.32745492E-01  0.41096138E+02  0.45554986E+00
 0.36783798E-01  0.42062101E+02  0.48938262E+00
 0.41320124E-01  0.42843940E+02  0.52661669E+00
 0.46415888E-01  0.43365814E+02  0.56782024E+00
 0.52140083E-01  0.43861620E+02  0.61356379E+00
 0.58570208E-01  0.44119096E+02  0.66451209E+00
 0.65793322E-01  0.44314179E+02  0.72145011E+00
 0.73907220E-01  0.44297628E+02  0.78528643E+00
 0.83021757E-01  0.44211230E+02  0.85708625E+00
 0.93260335E-01  0.44034987E+02  0.93798555E+00
 0.10476158E+00  0.43817183E+02  0.10292547E+01
 0.11768120E+00  0.43378054E+02  0.11325505E+01
 0.13219411E+00  0.42782549E+02  0.12499983E+01
 0.14849683E+00  0.42096106E+02  0.13839376E+01
