#   nzt =   1
#    zt = 0.7900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.30107400E+01
#    Te =  0.25000000E-01
#   rho =  0.19310000E+02
#  zbar =  0.34540077E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.53640132E+01  0.12195329E+00
 0.11233240E-02  0.56729223E+01  0.12926269E+00
 0.12618569E-02  0.59996312E+01  0.13702613E+00
 0.14174742E-02  0.63428532E+01  0.14527363E+00
 0.15922828E-02  0.67056748E+01  0.15403688E+00
 0.17886495E-02  0.70859039E+01  0.16335047E+00
 0.20092330E-02  0.74875674E+01  0.17325126E+00
 0.22570197E-02  0.79075587E+01  0.18377945E+00
 0.25353645E-02  0.83508427E+01  0.19497798E+00
 0.28480359E-02  0.88133092E+01  0.20689372E+00
 0.31992671E-02  0.93009207E+01  0.21957681E+00
 0.35938137E-02  0.98086779E+01  0.23308191E+00
 0.40370173E-02  0.10343441E+02  0.24746759E+00
 0.45348785E-02  0.10899094E+02  0.26279782E+00
 0.50941380E-02  0.11483550E+02  0.27914126E+00
 0.57223677E-02  0.12088433E+02  0.29657389E+00
 0.64280731E-02  0.12723537E+02  0.31517738E+00
 0.72208090E-02  0.13376492E+02  0.33504376E+00
 0.81113083E-02  0.14060234E+02  0.35627259E+00
 0.91116276E-02  0.14760250E+02  0.37897446E+00
 0.10235310E-01  0.15491584E+02  0.40326925E+00
 0.11497570E-01  0.16239530E+02  0.42928796E+00
 0.12915497E-01  0.17020537E+02  0.45717138E+00
 0.14508288E-01  0.17815251E+02  0.48707698E+00
 0.16297508E-01  0.18646318E+02  0.51917337E+00
 0.18307383E-01  0.19503148E+02  0.55363384E+00
 0.20565123E-01  0.20410816E+02  0.59063466E+00
 0.23101297E-01  0.21373051E+02  0.63034040E+00
 0.25950242E-01  0.22414729E+02  0.67290980E+00
 0.29150531E-01  0.23618697E+02  0.71840058E+00
 0.32745492E-01  0.24973605E+02  0.76679521E+00
 0.36783798E-01  0.26326009E+02  0.81828262E+00
 0.41320124E-01  0.27756499E+02  0.87316201E+00
 0.46415888E-01  0.29406179E+02  0.93149533E+00
 0.52140083E-01  0.31246642E+02  0.99320504E+00
 0.58570208E-01  0.32779297E+02  0.10588456E+01
 0.65793322E-01  0.34168597E+02  0.11293695E+01
 0.73907220E-01  0.35301882E+02  0.12057194E+01
 0.83021757E-01  0.36293230E+02  0.12889406E+01
 0.93260335E-01  0.37024615E+02  0.13802308E+01
 0.10476158E+00  0.37570211E+02  0.14810216E+01
 0.11768120E+00  0.37821050E+02  0.15930518E+01
 0.13219411E+00  0.37845547E+02  0.17184628E+01
 0.14849683E+00  0.37689913E+02  0.18596047E+01
 0.16681005E+00  0.37394511E+02  0.20190979E+01
 0.18738174E+00  0.36871453E+02  0.22002434E+01
 0.21049041E+00  0.36167048E+02  0.24071756E+01
 0.23644894E+00  0.35305228E+02  0.26447566E+01
 0.26560878E+00  0.34334321E+02  0.29186792E+01
 0.29836472E+00  0.33241403E+02  0.32358053E+01
 0.33516027E+00  0.32049154E+02  0.36046004E+01
 0.37649358E+00  0.30859587E+02  0.40346229E+01
 0.42292429E+00  0.29685900E+02  0.45364761E+01
 0.47508102E+00  0.28451205E+02  0.51235398E+01
 0.53366992E+00  0.27140936E+02  0.58133751E+01
 0.59948425E+00  0.25859347E+02  0.66262834E+01
 0.67341507E+00  0.24601363E+02  0.75854000E+01
 0.75646333E+00  0.23356577E+02  0.87189454E+01
 0.84975344E+00  0.22085659E+02  0.10063153E+02
 0.95454846E+00  0.20890345E+02  0.11659956E+02
 0.10722672E+01  0.19757111E+02  0.13556338E+02
 0.12045035E+01  0.18667765E+02  0.15809506E+02
 0.13530478E+01  0.17578185E+02  0.18493350E+02
 0.15199111E+01  0.16564084E+02  0.21694114E+02
 0.17073526E+01  0.15603584E+02  0.25510329E+02
 0.19179103E+01  0.14701495E+02  0.30060012E+02
 0.21544347E+01  0.13815636E+02  0.35492217E+02
 0.24201283E+01  0.12996566E+02  0.41982506E+02
 0.27185882E+01  0.12224496E+02  0.49733208E+02
 0.30538555E+01  0.11505232E+02  0.58985274E+02
 0.34304693E+01  0.10797998E+02  0.70045032E+02
 0.38535286E+01  0.10143376E+02  0.83276098E+02
 0.43287613E+01  0.95137747E+01  0.99111314E+02
 0.48626016E+01  0.89294523E+01  0.11806670E+03
 0.54622772E+01  0.83509516E+01  0.14079615E+03
 0.61359073E+01  0.78077777E+01  0.16809665E+03
 0.68926121E+01  0.72615356E+01  0.20099164E+03
 0.77426368E+01  0.67557315E+01  0.24071539E+03
 0.86974900E+01  0.62646876E+01  0.28876522E+03
 0.97700996E+01  0.58143091E+01  0.34694618E+03
 0.10974988E+02  0.53889754E+01  0.41741699E+03
 0.12328467E+02  0.49978452E+01  0.50279058E+03
 0.13848864E+02  0.46243159E+01  0.60633084E+03
 0.15556761E+02  0.42821100E+01  0.73197565E+03
 0.17475284E+02  0.39570498E+01  0.88456413E+03
 0.19630407E+02  0.36579935E+01  0.10699967E+04
 0.22051307E+02  0.33718262E+01  0.12956801E+04
 0.24770764E+02  0.31092573E+01  0.15706364E+04
 0.27825594E+02  0.28593748E+01  0.19060755E+04
 0.31257158E+02  0.26300785E+01  0.23157500E+04
 0.35111917E+02  0.24135535E+01  0.28167031E+04
 0.39442061E+02  0.22154482E+01  0.34297874E+04
 0.44306215E+02  0.20284855E+01  0.41810979E+04
 0.49770236E+02  0.18579988E+01  0.51026533E+04
 0.55908102E+02  0.16992222E+01  0.62338087E+04
 0.62802914E+02  0.15547427E+01  0.76228745E+04
 0.70548023E+02  0.14219824E+01  0.93286220E+04
