#   nzt =   1
#    zt = 0.7900E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.36294900E+01
#    Te =  0.25000000E-01
#   rho =  0.76000000E+01
#  zbar =  0.43972357E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.86110371E+01  0.75967511E-01
 0.11233240E-02  0.91022723E+01  0.80521908E-01
 0.12618569E-02  0.96215910E+01  0.85361635E-01
 0.14174742E-02  0.10165866E+02  0.90505992E-01
 0.15922828E-02  0.10740927E+02  0.95975324E-01
 0.17886495E-02  0.11341632E+02  0.10179203E+00
 0.20092330E-02  0.11975795E+02  0.10797997E+00
 0.22570197E-02  0.12636141E+02  0.11456542E+00
 0.25353645E-02  0.13332552E+02  0.12157645E+00
 0.28480359E-02  0.14055838E+02  0.12904387E+00
 0.31992671E-02  0.14817776E+02  0.13700063E+00
 0.35938137E-02  0.15607197E+02  0.14548291E+00
 0.40370173E-02  0.16437842E+02  0.15452941E+00
 0.45348785E-02  0.17295140E+02  0.16418307E+00
 0.50941380E-02  0.18195936E+02  0.17448994E+00
 0.57223677E-02  0.19121852E+02  0.18550115E+00
 0.64280731E-02  0.20093298E+02  0.19727158E+00
 0.72208090E-02  0.21084266E+02  0.20986347E+00
 0.81113083E-02  0.22121592E+02  0.22334399E+00
 0.91116276E-02  0.23174676E+02  0.23778818E+00
 0.10235310E-01  0.24275188E+02  0.25327685E+00
 0.11497570E-01  0.25382118E+02  0.26990228E+00
 0.12915497E-01  0.26535619E+02  0.28776456E+00
 0.14508288E-01  0.27689650E+02  0.30697597E+00
 0.16297508E-01  0.28889965E+02  0.32766130E+00
 0.18307383E-01  0.30180962E+02  0.34991859E+00
 0.20565123E-01  0.31558929E+02  0.37383412E+00
 0.23101297E-01  0.32864791E+02  0.39957814E+00
 0.25950242E-01  0.34187811E+02  0.42737326E+00
 0.29150531E-01  0.35718343E+02  0.45732505E+00
 0.32745492E-01  0.37393986E+02  0.48946590E+00
 0.36783798E-01  0.38531405E+02  0.52422323E+00
 0.41320124E-01  0.39448578E+02  0.56224812E+00
 0.46415888E-01  0.40049857E+02  0.60415645E+00
 0.52140083E-01  0.40554597E+02  0.65058744E+00
 0.58570208E-01  0.40779475E+02  0.70228282E+00
 0.65793322E-01  0.40911832E+02  0.76010180E+00
 0.73907220E-01  0.40830063E+02  0.82502036E+00
 0.83021757E-01  0.40697403E+02  0.89814610E+00
 0.93260335E-01  0.40494243E+02  0.98063577E+00
 0.10476158E+00  0.40278896E+02  0.10737633E+01
 0.11768120E+00  0.39879143E+02  0.11791787E+01
 0.13219411E+00  0.39375152E+02  0.12989649E+01
 0.14849683E+00  0.38822928E+02  0.14353543E+01
 0.16681005E+00  0.38248127E+02  0.15907843E+01
 0.18738174E+00  0.37533090E+02  0.17683510E+01
 0.21049041E+00  0.36707619E+02  0.19719672E+01
 0.23644894E+00  0.35769775E+02  0.22062817E+01
 0.26560878E+00  0.34757923E+02  0.24767856E+01
 0.29836472E+00  0.33667427E+02  0.27900000E+01
 0.33516027E+00  0.32505921E+02  0.31538782E+01
 0.37649358E+00  0.31348402E+02  0.35775208E+01
 0.42292429E+00  0.30203886E+02  0.40711599E+01
 0.47508102E+00  0.29006252E+02  0.46475753E+01
 0.53366992E+00  0.27734931E+02  0.53233961E+01
 0.59948425E+00  0.26477567E+02  0.61180606E+01
 0.67341507E+00  0.25228502E+02  0.70540249E+01
 0.75646333E+00  0.23988403E+02  0.81585338E+01
 0.84975344E+00  0.22719355E+02  0.94662597E+01
 0.95454846E+00  0.21522331E+02  0.11017302E+02
 0.10722672E+01  0.20383026E+02  0.12856645E+02
 0.12045035E+01  0.19279062E+02  0.15039398E+02
 0.13530478E+01  0.18166019E+02  0.17637201E+02
 0.15199111E+01  0.17127916E+02  0.20733474E+02
