#   nzt =   1
#    zt = 0.1700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32554500E+01
#    Te =  0.25000000E-01
#   rho =  0.76000000E+01
#  zbar =  0.16460562E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.65531407E+01  0.17963207E-01
 0.11233240E-02  0.69233458E+01  0.19040426E-01
 0.12618569E-02  0.73144894E+01  0.20185724E-01
 0.14174742E-02  0.77234475E+01  0.21403812E-01
 0.15922828E-02  0.81552177E+01  0.22699659E-01
 0.17886495E-02  0.86051891E+01  0.24078733E-01
 0.20092330E-02  0.90797931E+01  0.25546875E-01
 0.22570197E-02  0.95729679E+01  0.27110506E-01
 0.25353645E-02  0.10092533E+02  0.28776498E-01
 0.28480359E-02  0.10630908E+02  0.30552406E-01
 0.31992671E-02  0.11197341E+02  0.32446334E-01
 0.35938137E-02  0.11782305E+02  0.34467228E-01
 0.40370173E-02  0.12396792E+02  0.36624697E-01
 0.45348785E-02  0.13027806E+02  0.38929506E-01
 0.50941380E-02  0.13689229E+02  0.41393263E-01
 0.57223677E-02  0.14364456E+02  0.44028993E-01
 0.64280731E-02  0.15070405E+02  0.46850766E-01
 0.72208090E-02  0.15783806E+02  0.49874714E-01
 0.81113083E-02  0.16526841E+02  0.53118402E-01
 0.91116276E-02  0.17272605E+02  0.56601627E-01
 0.10235310E-01  0.18046971E+02  0.60345863E-01
 0.11497570E-01  0.18811037E+02  0.64376315E-01
 0.12915497E-01  0.19600087E+02  0.68720750E-01
 0.14508288E-01  0.20382150E+02  0.73409262E-01
 0.16297508E-01  0.21190936E+02  0.78475697E-01
 0.18307383E-01  0.22113762E+02  0.83939723E-01
 0.20565123E-01  0.23115102E+02  0.89813225E-01
 0.23101297E-01  0.23951645E+02  0.96152607E-01
 0.25950242E-01  0.24755096E+02  0.10303620E+00
 0.29150531E-01  0.25570719E+02  0.11052088E+00
 0.32745492E-01  0.26427511E+02  0.11865319E+00
 0.36783798E-01  0.26954118E+02  0.12755086E+00
 0.41320124E-01  0.27359543E+02  0.13737718E+00
 0.46415888E-01  0.27619829E+02  0.14828402E+00
 0.52140083E-01  0.27849160E+02  0.16042625E+00
 0.58570208E-01  0.27883794E+02  0.17400196E+00
 0.65793322E-01  0.27835024E+02  0.18925659E+00
 0.73907220E-01  0.27638860E+02  0.20647051E+00
 0.83021757E-01  0.27386128E+02  0.22596594E+00
 0.93260335E-01  0.27028445E+02  0.24811302E+00
 0.10476158E+00  0.26616907E+02  0.27334448E+00
 0.11768120E+00  0.26033882E+02  0.30222508E+00
 0.13219411E+00  0.25352103E+02  0.33547430E+00
 0.14849683E+00  0.24624749E+02  0.37388326E+00
 0.16681005E+00  0.23880867E+02  0.41832793E+00
 0.18738174E+00  0.22998424E+02  0.46998616E+00
 0.21049041E+00  0.22013687E+02  0.53043512E+00
 0.23644894E+00  0.20960456E+02  0.60157335E+00
 0.26560878E+00  0.19868495E+02  0.68570122E+00
 0.29836472E+00  0.18773695E+02  0.78556421E+00
 0.33516027E+00  0.17680478E+02  0.90449629E+00
 0.37649358E+00  0.16620784E+02  0.10464958E+01
 0.42292429E+00  0.15597187E+02  0.12163415E+01
 0.47508102E+00  0.14627699E+02  0.14197211E+01
 0.53366992E+00  0.13704445E+02  0.16634474E+01
 0.59948425E+00  0.12824571E+02  0.19558394E+01
 0.67341507E+00  0.11980204E+02  0.23071696E+01
 0.75646333E+00  0.11192068E+02  0.27296360E+01
 0.84975344E+00  0.10448086E+02  0.32378390E+01
 0.95454846E+00  0.97595700E+01  0.38491948E+01
 0.10722672E+01  0.91210423E+01  0.45841540E+01
 0.12045035E+01  0.85189014E+01  0.54677183E+01
 0.13530478E+01  0.79374406E+01  0.65318286E+01
 0.15199111E+01  0.73995766E+01  0.78144548E+01
 0.17073526E+01  0.68970326E+01  0.93600254E+01
 0.19179103E+01  0.64229992E+01  0.11223219E+02
 0.21544347E+01  0.59597989E+01  0.13475128E+02
 0.24201283E+01  0.55296238E+01  0.16201549E+02
 0.27185882E+01  0.51230776E+01  0.19504911E+02
 0.30538555E+01  0.47428707E+01  0.23511115E+02
 0.34304693E+01  0.43749665E+01  0.28381690E+02
 0.38535286E+01  0.40339350E+01  0.34314225E+02
 0.43287613E+01  0.37107233E+01  0.41551089E+02
 0.48626016E+01  0.34132895E+01  0.50388550E+02
 0.54622772E+01  0.31348026E+01  0.61189791E+02
 0.61359073E+01  0.28776566E+01  0.74402981E+02
 0.68926121E+01  0.26343139E+01  0.90596413E+02
 0.77426368E+01  0.24113338E+01  0.11046799E+03
 0.86974900E+01  0.22035650E+01  0.13487694E+03
 0.97700996E+01  0.20144296E+01  0.16487695E+03
 0.10974988E+02  0.18414707E+01  0.20174075E+03
 0.12328467E+02  0.16831907E+01  0.24703794E+03
 0.13848864E+02  0.15356702E+01  0.30276303E+03
 0.15556761E+02  0.14013730E+01  0.37136798E+03
 0.17475284E+02  0.12782630E+01  0.45583716E+03
 0.19630407E+02  0.11656600E+01  0.55986300E+03
 0.22051307E+02  0.10602415E+01  0.68818768E+03
 0.24770764E+02  0.96451271E+00  0.84666928E+03
 0.27825594E+02  0.87745441E+00  0.10423593E+04
 0.31257158E+02  0.79817105E+00  0.12839858E+04
 0.35111917E+02  0.72497754E+00  0.15826110E+04
 0.39442061E+02  0.65842186E+00  0.19519287E+04
 0.44306215E+02  0.59680272E+00  0.24092196E+04
 0.49770236E+02  0.54097561E+00  0.29759664E+04
 0.55908102E+02  0.49043842E+00  0.36782511E+04
 0.62802914E+02  0.44460874E+00  0.45483850E+04
 0.70548023E+02  0.40256332E+00  0.56273102E+04
 0.79248290E+02  0.36450432E+00  0.69658736E+04
 0.89021509E+02  0.32990144E+00  0.86269038E+04
 0.10000000E+03  0.29859041E+00  0.10688682E+05
