#   nzt = 2
#    zt = 7.9000E+01 1.7000E+01
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  3.38354500E+00
#    Te =  2.50000000E-02
#   rho =  7.60000000E+00
#  zbar =  1.79985410E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  7.32719325E+00  4.99328914E-02
 1.12332400E-03  7.75194465E+00  5.31076756E-02
 1.26185690E-03  8.20107440E+00  5.64786360E-02
 1.41747420E-03  8.67110450E+00  6.00590098E-02
 1.59228280E-03  9.16788460E+00  6.38629594E-02
 1.78864950E-03  9.68628625E+00  6.79059264E-02
 2.00923300E-03  1.02337760E+01  7.22044825E-02
 2.25701970E-03  1.08036334E+01  7.67766619E-02
 2.53536450E-03  1.14048780E+01  8.16418709E-02
 2.84803590E-03  1.20291100E+01  8.68212392E-02
 3.19926710E-03  1.26869705E+01  9.23375474E-02
 3.59381370E-03  1.33678395E+01  9.82157169E-02
 4.03701730E-03  1.40843935E+01  1.04482685E-01
 4.53487850E-03  1.48219825E+01  1.11168319E-01
 5.09413800E-03  1.55966695E+01  1.18305080E-01
 5.72236770E-03  1.63896975E+01  1.25928975E-01
 6.42807310E-03  1.72205800E+01  1.34079285E-01
 7.22080900E-03  1.80629655E+01  1.42800439E-01
 8.11130830E-03  1.89422030E+01  1.52141307E-01
 9.11162760E-03  1.98276190E+01  1.62156413E-01
 1.02353100E-02  2.07483350E+01  1.72905826E-01
 1.14975700E-02  2.16586215E+01  1.84459552E-01
 1.29154970E-02  2.25981795E+01  1.96895661E-01
 1.45082880E-02  2.35303690E+01  2.10298498E-01
 1.62975080E-02  2.44909090E+01  2.24760536E-01
 1.83073830E-02  2.55857215E+01  2.40339400E-01
 2.05651230E-02  2.67644220E+01  2.57080476E-01
 2.31012970E-02  2.77311005E+01  2.75145584E-01
 2.59502420E-02  2.86442425E+01  2.94761184E-01
 2.91505310E-02  2.95412245E+01  3.16110030E-01
 3.27454920E-02  3.04682870E+01  3.39364030E-01
 3.67837980E-02  3.10353485E+01  3.64852294E-01
 4.13201240E-02  3.14763205E+01  3.93021652E-01
 4.64158880E-02  3.17749920E+01  4.24295155E-01
 5.21400830E-02  3.20632035E+01  4.59102558E-01
 5.85702080E-02  3.21766260E+01  4.97959764E-01
 6.57933220E-02  3.22416410E+01  5.41488094E-01
 7.39072200E-02  3.22003370E+01  5.90367700E-01
 8.30217570E-02  3.21573295E+01  6.45346821E-01
 9.32603350E-02  3.20644680E+01  7.07237723E-01
 1.04761580E-01  3.19730835E+01  7.76962579E-01
 1.17681200E-01  3.17587595E+01  8.55668000E-01
 1.32194110E-01  3.14860705E+01  9.44762395E-01
 1.48496830E-01  3.11947030E+01  1.04574542E+00
 1.66810050E-01  3.08963005E+01  1.16026134E+00
 1.87381740E-01  3.04551935E+01  1.29046141E+00
 2.10490410E-01  2.98894600E+01  1.43916921E+00
 2.36448940E-01  2.92059945E+01  1.60976062E+00
 2.65608780E-01  2.84201995E+01  1.80629194E+00
 2.98364720E-01  2.75208625E+01  2.03373440E+00
 3.35160270E-01  2.65087870E+01  2.29829354E+00
 3.76493580E-01  2.54421950E+01  2.60739300E+00
 4.22924290E-01  2.43312185E+01  2.96983620E+00
 4.75081020E-01  2.31504820E+01  3.39668710E+00
 5.33669920E-01  2.19028935E+01  3.90209595E+00
 5.99484250E-01  2.06554205E+01  4.50316701E+00
 6.73415070E-01  1.94181800E+01  5.22029255E+00
 7.56463330E-01  1.82067915E+01  6.07835066E+00
 8.49753440E-01  1.70089160E+01  7.10828294E+00
 9.54548460E-01  1.58934373E+01  8.34655747E+00
 1.07226720E+00  1.48545321E+01  9.83502723E+00
 1.20450350E+00  1.38753514E+01  1.16245742E+01
 1.35304780E+00  1.29275425E+01  1.37795162E+01
 1.51991110E+00  1.20638101E+01  1.63755117E+01
 1.70735260E+00  1.12692995E+01  1.94987890E+01
 1.91791030E+00  1.05320600E+01  2.32537338E+01
 2.15443470E+00  9.81713560E+00  2.77731228E+01
 2.42012830E+00  9.16604220E+00  3.32148104E+01
 2.71858820E+00  8.56018220E+00  3.97609992E+01
