#   nzt =   1
#    zt = 0.5000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.23086600E+01
#    Te =  0.25000000E-01
#   rho =  0.23500000E+01
#  zbar =  0.27070526E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.24057967E+01  0.14920518E-01
 0.11233240E-02  0.25433980E+01  0.15814965E-01
 0.12618569E-02  0.26888713E+01  0.16765323E-01
 0.14174742E-02  0.28415022E+01  0.17775337E-01
 0.15922828E-02  0.30027741E+01  0.18848964E-01
 0.17886495E-02  0.31716275E+01  0.19990510E-01
 0.20092330E-02  0.33499098E+01  0.21204571E-01
 0.22570197E-02  0.35362296E+01  0.22496145E-01
 0.25353645E-02  0.37327833E+01  0.23870570E-01
 0.28480359E-02  0.39377071E+01  0.25333683E-01
 0.31992671E-02  0.41536537E+01  0.26891731E-01
 0.35938137E-02  0.43783171E+01  0.28551537E-01
 0.40370173E-02  0.46147785E+01  0.30320421E-01
 0.45348785E-02  0.48602904E+01  0.32206372E-01
 0.50941380E-02  0.51183514E+01  0.34217963E-01
 0.57223677E-02  0.53849265E+01  0.36364757E-01
 0.64280731E-02  0.56645331E+01  0.38657047E-01
 0.72208090E-02  0.59510445E+01  0.41106524E-01
 0.81113083E-02  0.62505831E+01  0.43725882E-01
 0.91116276E-02  0.65561101E+01  0.46529249E-01
 0.10235310E-01  0.68745852E+01  0.49532017E-01
 0.11497570E-01  0.71997455E+01  0.52750849E-01
 0.12915497E-01  0.75381839E+01  0.56203776E-01
 0.14508288E-01  0.78817639E+01  0.59910973E-01
 0.16297508E-01  0.82381603E+01  0.63894479E-01
 0.18307383E-01  0.85987653E+01  0.68178694E-01
 0.20565123E-01  0.89717907E+01  0.72790375E-01
 0.23101297E-01  0.93528554E+01  0.77757648E-01
 0.25950242E-01  0.97481016E+01  0.83110866E-01
 0.29150531E-01  0.10158485E+02  0.88880974E-01
 0.32745492E-01  0.10587131E+02  0.95100726E-01
 0.36783798E-01  0.11040097E+02  0.10180281E+00
