#   nzt =   1
#    zt = 0.5600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.47123800E+01
#    Te =  0.25000000E-01
#   rho =  0.35100000E+01
#  zbar =  0.24717389E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.16115365E+02  0.28290950E-01
 0.11233240E-02  0.16983122E+02  0.29989677E-01
 0.12618569E-02  0.17897836E+02  0.31800244E-01
 0.14174742E-02  0.18846669E+02  0.33730947E-01
 0.15922828E-02  0.19845828E+02  0.35790536E-01
 0.17886495E-02  0.20878224E+02  0.37988707E-01
 0.20092330E-02  0.21964003E+02  0.40335848E-01
 0.22570197E-02  0.23081035E+02  0.42843512E-01
 0.25353645E-02  0.24254039E+02  0.45524102E-01
 0.28480359E-02  0.25453706E+02  0.48391544E-01
 0.31992671E-02  0.26711070E+02  0.51460843E-01
 0.35938137E-02  0.27990693E+02  0.54748762E-01
 0.40370173E-02  0.29329167E+02  0.58273366E-01
 0.45348785E-02  0.30677704E+02  0.62055359E-01
 0.50941380E-02  0.32084064E+02  0.66117118E-01
 0.57223677E-02  0.33478051E+02  0.70484925E-01
 0.64280731E-02  0.34925144E+02  0.75187341E-01
 0.72208090E-02  0.36324171E+02  0.80258714E-01
 0.81113083E-02  0.37766260E+02  0.85737192E-01
 0.91116276E-02  0.39189747E+02  0.91662267E-01
 0.10235310E-01  0.40662916E+02  0.98077914E-01
 0.11497570E-01  0.42309991E+02  0.10501402E+00
 0.12915497E-01  0.44075815E+02  0.11249278E+00
 0.14508288E-01  0.45383275E+02  0.12060461E+00
 0.16297508E-01  0.46604203E+02  0.12947076E+00
 0.18307383E-01  0.47895038E+02  0.13916699E+00
 0.20565123E-01  0.49277661E+02  0.14975140E+00
 0.23101297E-01  0.49956948E+02  0.16139383E+00
 0.25950242E-01  0.50444430E+02  0.17432113E+00
 0.29150531E-01  0.50395570E+02  0.18878346E+00
 0.32745492E-01  0.50240396E+02  0.20506506E+00
 0.36783798E-01  0.49827748E+02  0.22346179E+00
 0.41320124E-01  0.49394379E+02  0.24430639E+00
 0.46415888E-01  0.48912839E+02  0.26794149E+00
 0.52140083E-01  0.48469585E+02  0.29473956E+00
 0.58570208E-01  0.47874633E+02  0.32516812E+00
