#   nzt =   1
#    zt = 0.5600E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.37546100E+01
#    Te =  0.25000000E-01
#   rho =  0.57200000E+01
#  zbar =  0.33334254E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.86841692E+01  0.52500011E-01
 0.11233240E-02  0.91788519E+01  0.55647614E-01
 0.12618569E-02  0.97017539E+01  0.58992675E-01
 0.14174742E-02  0.10249568E+02  0.62548603E-01
 0.15922828E-02  0.10828274E+02  0.66329536E-01
 0.17886495E-02  0.11432482E+02  0.70351052E-01
 0.20092330E-02  0.12070197E+02  0.74629760E-01
 0.22570197E-02  0.12733806E+02  0.79183966E-01
 0.25353645E-02  0.13433428E+02  0.84033247E-01
 0.28480359E-02  0.14159468E+02  0.89199104E-01
 0.31992671E-02  0.14923949E+02  0.94704580E-01
 0.35938137E-02  0.15715166E+02  0.10057499E+00
 0.40370173E-02  0.16547140E+02  0.10683750E+00
 0.45348785E-02  0.17404509E+02  0.11352229E+00
 0.50941380E-02  0.18304482E+02  0.12066181E+00
 0.57223677E-02  0.19227730E+02  0.12829222E+00
 0.64280731E-02  0.20194992E+02  0.13645241E+00
 0.72208090E-02  0.21178978E+02  0.14518663E+00
 0.81113083E-02  0.22206873E+02  0.15454284E+00
 0.91116276E-02  0.23246545E+02  0.16457485E+00
 0.10235310E-01  0.24329965E+02  0.17534085E+00
 0.11497570E-01  0.25413880E+02  0.18690766E+00
 0.12915497E-01  0.26539287E+02  0.19934816E+00
 0.14508288E-01  0.27658580E+02  0.21274422E+00
 0.16297508E-01  0.28819368E+02  0.22718685E+00
 0.18307383E-01  0.30070050E+02  0.24274705E+00
 0.20565123E-01  0.31409213E+02  0.25948595E+00
 0.23101297E-01  0.32682221E+02  0.27752210E+00
 0.25950242E-01  0.33994024E+02  0.29700512E+00
 0.29150531E-01  0.35560756E+02  0.31798814E+00
 0.32745492E-01  0.37326728E+02  0.34046024E+00
 0.36783798E-01  0.38589740E+02  0.36468926E+00
 0.41320124E-01  0.39681964E+02  0.39109340E+00
 0.46415888E-01  0.40475098E+02  0.42006131E+00
 0.52140083E-01  0.41175928E+02  0.45200638E+00
 0.58570208E-01  0.41603384E+02  0.48740466E+00
 0.65793322E-01  0.41915583E+02  0.52681593E+00
 0.73907220E-01  0.41965134E+02  0.57090000E+00
 0.83021757E-01  0.41876142E+02  0.62045063E+00
 0.93260335E-01  0.41646462E+02  0.67633027E+00
 0.10476158E+00  0.41336974E+02  0.73949917E+00
 0.11768120E+00  0.40763933E+02  0.81122423E+00
 0.13219411E+00  0.40030565E+02  0.89311662E+00
 0.14849683E+00  0.39216338E+02  0.98691724E+00
 0.16681005E+00  0.38351515E+02  0.10945529E+01
 0.18738174E+00  0.37310891E+02  0.12185103E+01
 0.21049041E+00  0.36143023E+02  0.13619562E+01
 0.23644894E+00  0.34855759E+02  0.15286867E+01
 0.26560878E+00  0.33494194E+02  0.17232675E+01
 0.29836472E+00  0.32098773E+02  0.19510547E+01
 0.33516027E+00  0.30683315E+02  0.22184246E+01
 0.37649358E+00  0.29291075E+02  0.25328524E+01
 0.42292429E+00  0.27926867E+02  0.29030880E+01
 0.47508102E+00  0.26597168E+02  0.33395250E+01
 0.53366992E+00  0.25281019E+02  0.38548283E+01
 0.59948425E+00  0.24006845E+02  0.44641253E+01
 0.67341507E+00  0.22766173E+02  0.51853936E+01
 0.75646333E+00  0.21567778E+02  0.60401697E+01
 0.84975344E+00  0.20389886E+02  0.70549213E+01
 0.95454846E+00  0.19291359E+02  0.82602726E+01
 0.10722672E+01  0.18260254E+02  0.96908316E+01
 0.12045035E+01  0.17248032E+02  0.11389967E+02
 0.13530478E+01  0.16208439E+02  0.13416385E+02
