#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.26405500E+01
#    Te =  0.50000000E+00
#   rho =  0.23248600E+01
#  zbar =  0.10213378E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.35229341E+01  0.15081085E-01
 0.11233240E-02  0.37246703E+01  0.15985133E-01
 0.12618569E-02  0.39380169E+01  0.16945616E-01
 0.14174742E-02  0.41615930E+01  0.17966348E-01
 0.15922828E-02  0.43979474E+01  0.19051338E-01
 0.17886495E-02  0.46448813E+01  0.20204996E-01
 0.20092330E-02  0.49057501E+01  0.21432011E-01
 0.22570197E-02  0.51775148E+01  0.22737537E-01
 0.25353645E-02  0.54643424E+01  0.24127074E-01
 0.28480359E-02  0.57623979E+01  0.25606654E-01
 0.31992671E-02  0.60766188E+01  0.27182730E-01
 0.35938137E-02  0.64022663E+01  0.28862391E-01
 0.40370173E-02  0.67451305E+01  0.30653230E-01
 0.45348785E-02  0.70989000E+01  0.32563691E-01
 0.50941380E-02  0.74707199E+01  0.34602848E-01
 0.57223677E-02  0.78525549E+01  0.36780819E-01
 0.64280731E-02  0.82530060E+01  0.39108492E-01
 0.72208090E-02  0.86606753E+01  0.41598289E-01
 0.81113083E-02  0.90866863E+01  0.44263701E-01
 0.91116276E-02  0.95175510E+01  0.47119916E-01
 0.10235310E-01  0.99660182E+01  0.50183460E-01
 0.11497570E-01  0.10413312E+02  0.53473540E-01
 0.12915497E-01  0.10875686E+02  0.57011379E-01
 0.14508288E-01  0.11334028E+02  0.60820775E-01
 0.16297508E-01  0.11805154E+02  0.64928704E-01
 0.18307383E-01  0.12314312E+02  0.69355847E-01
 0.20565123E-01  0.12851632E+02  0.74120546E-01
 0.23101297E-01  0.13331736E+02  0.79264464E-01
 0.25950242E-01  0.13801197E+02  0.84842379E-01
 0.29150531E-01  0.14315034E+02  0.90889684E-01
 0.32745492E-01  0.14861786E+02  0.97430957E-01
 0.36783798E-01  0.15213031E+02  0.10455840E+00
 0.41320124E-01  0.15485762E+02  0.11240436E+00
 0.46415888E-01  0.15663477E+02  0.12109248E+00
 0.52140083E-01  0.15816883E+02  0.13074848E+00
 0.58570208E-01  0.15856992E+02  0.14152976E+00
 0.65793322E-01  0.15850419E+02  0.15362860E+00
 0.73907220E-01  0.15761392E+02  0.16726280E+00
 0.83021757E-01  0.15648742E+02  0.18267781E+00
 0.93260335E-01  0.15488941E+02  0.20014678E+00
 0.10476158E+00  0.15312575E+02  0.21998149E+00
 0.11768120E+00  0.15054498E+02  0.24258229E+00
 0.13219411E+00  0.14755212E+02  0.26845079E+00
 0.14849683E+00  0.14443140E+02  0.29812164E+00
 0.16681005E+00  0.14131187E+02  0.33217256E+00
 0.18738174E+00  0.13755300E+02  0.37136521E+00
 0.21049041E+00  0.13331761E+02  0.41669606E+00
 0.23644894E+00  0.12868247E+02  0.46934792E+00
 0.26560878E+00  0.12377956E+02  0.53072723E+00
 0.29836472E+00  0.11842351E+02  0.60259895E+00
 0.33516027E+00  0.11263296E+02  0.68725392E+00
 0.37649358E+00  0.10682109E+02  0.78739350E+00
 0.42292429E+00  0.10101176E+02  0.90616672E+00
 0.47508102E+00  0.95013707E+01  0.10476243E+01
 0.53366992E+00  0.88779798E+01  0.12171550E+01
 0.59948425E+00  0.82629690E+01  0.14213869E+01
 0.67341507E+00  0.76547438E+01  0.16685101E+01
 0.75646333E+00  0.70794174E+01  0.19684436E+01
 0.84975344E+00  0.65322935E+01  0.23332087E+01
 0.95454846E+00  0.60243862E+01  0.27774110E+01
 0.10722672E+01  0.55514496E+01  0.33186854E+01
 0.12045035E+01  0.51115615E+01  0.39787451E+01
 0.13530478E+01  0.46980093E+01  0.47848287E+01
 0.15199111E+01  0.43183124E+01  0.57700077E+01
 0.17073526E+01  0.39673031E+01  0.69743119E+01
 0.19179103E+01  0.36446523E+01  0.84467820E+01
 0.21544347E+01  0.33439535E+01  0.10248581E+02
 0.24201283E+01  0.30697220E+01  0.12454019E+02
 0.27185882E+01  0.28177296E+01  0.15152857E+02
 0.30538555E+01  0.25866334E+01  0.18455213E+02
 0.34304693E+01  0.23706358E+01  0.22499879E+02
 0.38535286E+01  0.21733701E+01  0.27456502E+02
 0.43287613E+01  0.19910453E+01  0.33532336E+02
 0.48626016E+01  0.18250388E+01  0.40980180E+02
 0.54622772E+01  0.16721447E+01  0.50109276E+02
 0.61359073E+01  0.15313057E+01  0.61303090E+02
 0.68926121E+01  0.13980770E+01  0.75056677E+02
 0.77426368E+01  0.12763680E+01  0.91979230E+02
 0.86974900E+01  0.11633936E+01  0.11281962E+03
 0.97700996E+01  0.10605052E+01  0.13850241E+03
 0.10974988E+02  0.96594056E+00  0.17016481E+03
 0.12328467E+02  0.87960338E+00  0.20921585E+03
 0.13848864E+02  0.79955925E+00  0.25743563E+03
 0.15556761E+02  0.72682413E+00  0.31702518E+03
 0.17475284E+02  0.66039322E+00  0.39067994E+03
 0.19630407E+02  0.59986631E+00  0.48174536E+03
 0.22051307E+02  0.54376269E+00  0.59449146E+03
 0.24770764E+02  0.49296607E+00  0.73421244E+03
 0.27825594E+02  0.44712244E+00  0.90729210E+03
 0.31257158E+02  0.40551692E+00  0.11216448E+04
 0.35111917E+02  0.36746900E+00  0.13872593E+04
 0.39442061E+02  0.33295808E+00  0.17165234E+04
 0.44306215E+02  0.30126470E+00  0.21250458E+04
 0.49770236E+02  0.27260364E+00  0.26322448E+04
 0.55908102E+02  0.24678180E+00  0.32617366E+04
 0.62802914E+02  0.22339351E+00  0.40427900E+04
 0.70548023E+02  0.20189823E+00  0.50128734E+04
 0.79248290E+02  0.18247852E+00  0.62186865E+04
 0.89021509E+02  0.16503474E+00  0.77168203E+04
 0.10000000E+03  0.14926031E+00  0.95776651E+04
