#   nzt = 2
#    zt = 5.6000E+01 8.0000E+00
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  3.24328500E+00
#    Te =  2.50000000E-02
#   rho =  5.72000000E+00
#  zbar =  3.05858865E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  6.31552480E+00  3.77080288E-02
 1.12332400E-03  6.67574205E+00  4.01382654E-02
 1.26185690E-03  7.05655600E+00  4.27208983E-02
 1.41747420E-03  7.45566845E+00  4.54661072E-02
 1.59228280E-03  7.87736615E+00  4.83847892E-02
 1.78864950E-03  8.31790110E+00  5.14888473E-02
 2.00923300E-03  8.78299600E+00  5.47910580E-02
 2.25701970E-03  9.26737515E+00  5.83053680E-02
 2.53536450E-03  9.77825870E+00  6.20467862E-02
 2.84803590E-03  1.03089786E+01  6.60316529E-02
 3.19926710E-03  1.08681519E+01  7.02775745E-02
 3.59381370E-03  1.14476650E+01  7.48037206E-02
 4.03701730E-03  1.20576039E+01  7.96307638E-02
 4.53487850E-03  1.26874439E+01  8.47813872E-02
 5.09413800E-03  1.33495352E+01  9.02801175E-02
 5.72236770E-03  1.40305434E+01  9.61539259E-02
 6.42807310E-03  1.47455230E+01  1.02432019E-01
 7.22080900E-03  1.54755735E+01  1.09147076E-01
 8.11130830E-03  1.62405680E+01  1.16334672E-01
 9.11162760E-03  1.70183070E+01  1.24034075E-01
 1.02353100E-02  1.78322585E+01  1.32287981E-01
 1.14975700E-02  1.86534660E+01  1.41144268E-01
 1.29154970E-02  1.95113765E+01  1.50655070E-01
 1.45082880E-02  2.03731270E+01  1.60878059E-01
 1.62975080E-02  2.12726170E+01  1.71876033E-01
 1.83073830E-02  2.22401200E+01  1.83700245E-01
 2.05651230E-02  2.32771675E+01  1.96398025E-01
 2.31012970E-02  2.42731215E+01  2.10051784E-01
 2.59502420E-02  2.52924845E+01  2.24765170E-01
 2.91505310E-02  2.64692980E+01  2.40591888E-01
 3.27454920E-02  2.77597685E+01  2.57563381E-01
 3.67837980E-02  2.86760355E+01  2.75882194E-01
 4.13201240E-02  2.94361455E+01  2.95865884E-01
 4.64158880E-02  2.99719665E+01  3.17824387E-01
