#   nzt =   1
#    zt = 0.4000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.23541000E+01
#    Te =  0.25000000E-01
#   rho =  0.18480000E+01
#  zbar =  0.21071481E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.23804132E+01  0.12571467E-01
 0.11233240E-02  0.25159631E+01  0.13325186E-01
 0.12618569E-02  0.26592337E+01  0.14126208E-01
 0.14174742E-02  0.28094265E+01  0.14977728E-01
 0.15922828E-02  0.29680781E+01  0.15883121E-01
 0.17886495E-02  0.31339457E+01  0.16846080E-01
 0.20092330E-02  0.33090097E+01  0.17870546E-01
 0.22570197E-02  0.34915521E+01  0.18960837E-01
 0.25353645E-02  0.36840152E+01  0.20121569E-01
 0.28480359E-02  0.38841482E+01  0.21357807E-01
 0.31992671E-02  0.40948932E+01  0.22674981E-01
 0.35938137E-02  0.43135809E+01  0.24079027E-01
 0.40370173E-02  0.45435555E+01  0.25576317E-01
 0.45348785E-02  0.47816174E+01  0.27173839E-01
 0.50941380E-02  0.50315832E+01  0.28879102E-01
 0.57223677E-02  0.52889938E+01  0.30700489E-01
 0.64280731E-02  0.55586614E+01  0.32647034E-01
 0.72208090E-02  0.58337836E+01  0.34729064E-01
 0.81113083E-02  0.61209471E+01  0.36957813E-01
 0.91116276E-02  0.64122005E+01  0.39345874E-01
 0.10235310E-01  0.67151492E+01  0.41906989E-01
 0.11497570E-01  0.70217966E+01  0.44656286E-01
 0.12915497E-01  0.73399352E+01  0.47610200E-01
 0.14508288E-01  0.76583069E+01  0.50787579E-01
 0.16297508E-01  0.79867480E+01  0.54209246E-01
 0.18307383E-01  0.83167451E+01  0.57897683E-01
 0.20565123E-01  0.86570169E+01  0.61877470E-01
 0.23101297E-01  0.90042868E+01  0.66174078E-01
 0.25950242E-01  0.93642864E+01  0.70815444E-01
 0.29150531E-01  0.97650516E+01  0.75822107E-01
 0.32745492E-01  0.10196359E+02  0.81210018E-01
 0.36783798E-01  0.10596713E+02  0.87019683E-01
 0.41320124E-01  0.10992858E+02  0.93309215E-01
 0.46415888E-01  0.11520294E+02  0.10008627E+00
 0.52140083E-01  0.12135416E+02  0.10731916E+00
 0.58570208E-01  0.12430557E+02  0.11513744E+00
 0.65793322E-01  0.12548543E+02  0.12377647E+00
 0.73907220E-01  0.12399087E+02  0.13349736E+00
