#   nzt =   1
#    zt = 0.8300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.38496900E+01
#    Te =  0.25000000E-01
#   rho =  0.98000000E+01
#  zbar =  0.25662278E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.97289922E+01  0.71333833E-01
 0.11233240E-02  0.10296405E+02  0.75607837E-01
 0.12618569E-02  0.10896386E+02  0.80144205E-01
 0.14174742E-02  0.11523922E+02  0.84961015E-01
 0.15922828E-02  0.12187155E+02  0.90077250E-01
 0.17886495E-02  0.12878815E+02  0.95513779E-01
 0.20092330E-02  0.13609205E+02  0.10129284E+00
 0.22570197E-02  0.14368880E+02  0.10743885E+00
 0.25353645E-02  0.15170195E+02  0.11397791E+00
 0.28480359E-02  0.16001397E+02  0.12093868E+00
 0.31992671E-02  0.16876988E+02  0.12835188E+00
 0.35938137E-02  0.17782031E+02  0.13625146E+00
 0.40370173E-02  0.18733873E+02  0.14467384E+00
 0.45348785E-02  0.19711693E+02  0.15366002E+00
 0.50941380E-02  0.20737767E+02  0.16325415E+00
 0.57223677E-02  0.21785590E+02  0.17350584E+00
 0.64280731E-02  0.22882345E+02  0.18446860E+00
 0.72208090E-02  0.23991032E+02  0.19620389E+00
 0.81113083E-02  0.25147141E+02  0.20877857E+00
 0.91116276E-02  0.26307858E+02  0.22226803E+00
 0.10235310E-01  0.27514139E+02  0.23675395E+00
 0.11497570E-01  0.28700205E+02  0.25233383E+00
 0.12915497E-01  0.29923499E+02  0.26911589E+00
 0.14508288E-01  0.31135238E+02  0.28721601E+00
 0.16297508E-01  0.32385141E+02  0.30676624E+00
 0.18307383E-01  0.33846512E+02  0.32782989E+00
 0.20565123E-01  0.35434609E+02  0.35043380E+00
 0.23101297E-01  0.36685106E+02  0.37482182E+00
 0.25950242E-01  0.37844847E+02  0.40133997E+00
 0.29150531E-01  0.38936303E+02  0.43025938E+00
 0.32745492E-01  0.40050882E+02  0.46182156E+00
 0.36783798E-01  0.40667350E+02  0.49651499E+00
 0.41320124E-01  0.41111689E+02  0.53499296E+00
 0.46415888E-01  0.41351438E+02  0.57786777E+00
 0.52140083E-01  0.41572903E+02  0.62575952E+00
 0.58570208E-01  0.41588511E+02  0.67940834E+00
 0.65793322E-01  0.41560945E+02  0.73968486E+00
 0.73907220E-01  0.41406256E+02  0.80755228E+00
 0.83021757E-01  0.41263399E+02  0.88407038E+00
 0.93260335E-01  0.41109927E+02  0.97033865E+00
 0.10476158E+00  0.41001355E+02  0.10675429E+01
 0.11768120E+00  0.40804782E+02  0.11771406E+01
 0.13219411E+00  0.40584086E+02  0.13008983E+01
 0.14849683E+00  0.40373113E+02  0.14406634E+01
 0.16681005E+00  0.40173294E+02  0.15984404E+01
 0.18738174E+00  0.39858087E+02  0.17768014E+01
 0.21049041E+00  0.39427010E+02  0.19790422E+01
 0.23644894E+00  0.38848199E+02  0.22091602E+01
 0.26560878E+00  0.38128080E+02  0.24720203E+01
 0.29836472E+00  0.37235264E+02  0.27736238E+01
 0.33516027E+00  0.36166267E+02  0.31215352E+01
 0.37649358E+00  0.34993234E+02  0.35247203E+01
 0.42292429E+00  0.33731824E+02  0.39936546E+01
 0.47508102E+00  0.32322508E+02  0.45417366E+01
 0.53366992E+00  0.30772521E+02  0.51864877E+01
 0.59948425E+00  0.29200183E+02  0.59486160E+01
 0.67341507E+00  0.27625115E+02  0.68522041E+01
 0.75646333E+00  0.26040696E+02  0.79269896E+01
 0.84975344E+00  0.24423757E+02  0.92113944E+01
 0.95454846E+00  0.22905390E+02  0.10750017E+02
 0.10722672E+01  0.21478379E+02  0.12592959E+02
 0.12045035E+01  0.20111254E+02  0.14801955E+02
 0.13530478E+01  0.18754758E+02  0.17458142E+02
 0.15199111E+01  0.17509128E+02  0.20656251E+02
 0.17073526E+01  0.16349617E+02  0.24503926E+02
 0.19179103E+01  0.15277681E+02  0.29130362E+02
 0.21544347E+01  0.14248631E+02  0.34698206E+02
 0.24201283E+01  0.13314433E+02  0.41398110E+02
 0.27185882E+01  0.12449277E+02  0.49449765E+02
 0.30538555E+01  0.11656844E+02  0.59114424E+02
 0.34304693E+01  0.10895298E+02  0.70720749E+02
 0.38535286E+01  0.10200876E+02  0.84657383E+02
 0.43287613E+01  0.95466472E+01  0.10138260E+03
 0.48626016E+01  0.89461099E+01  0.12144079E+03
 0.54622772E+01  0.83582819E+01  0.14552330E+03
 0.61359073E+01  0.78113064E+01  0.17446943E+03
 0.68926121E+01  0.72671972E+01  0.20934778E+03
 0.77426368E+01  0.67647603E+01  0.25144532E+03
 0.86974900E+01  0.62729311E+01  0.30235306E+03
 0.97700996E+01  0.58206708E+01  0.36399831E+03
 0.10974988E+02  0.53853945E+01  0.43874407E+03
 0.12328467E+02  0.49855683E+01  0.52946104E+03
 0.13848864E+02  0.46037480E+01  0.63969218E+03
 0.15556761E+02  0.42548729E+01  0.77372105E+03
 0.17475284E+02  0.39253293E+01  0.93678606E+03
 0.19630407E+02  0.36242110E+01  0.11352394E+04
 0.22051307E+02  0.33387329E+01  0.13769875E+04
 0.24770764E+02  0.30787214E+01  0.16716000E+04
 0.27825594E+02  0.28329887E+01  0.20309097E+04
 0.31257158E+02  0.26089790E+01  0.24693255E+04
 0.35111917E+02  0.23976215E+01  0.30047132E+04
 0.39442061E+02  0.22050008E+01  0.36587935E+04
 0.44306215E+02  0.20205393E+01  0.44592953E+04
 0.49770236E+02  0.18525431E+01  0.54402883E+04
 0.55908102E+02  0.16943882E+01  0.66438060E+04
 0.62802914E+02  0.15508062E+01  0.81214628E+04
 0.70548023E+02  0.14188786E+01  0.99354118E+04
