#   nzt =   1
#    zt = 0.8300E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.35416600E+01
#    Te =  0.25000000E-01
#   rho =  0.89000000E+01
#  zbar =  0.36825022E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.82444865E+01  0.84178234E-01
 0.11233240E-02  0.87171335E+01  0.89224184E-01
 0.12618569E-02  0.92168900E+01  0.94584873E-01
 0.14174742E-02  0.97412940E+01  0.10028135E+00
 0.15922828E-02  0.10295467E+02  0.10633582E+00
 0.17886495E-02  0.10874929E+02  0.11277275E+00
 0.20092330E-02  0.11486758E+02  0.11961822E+00
 0.22570197E-02  0.12124207E+02  0.12690102E+00
 0.25353645E-02  0.12796484E+02  0.13465194E+00
 0.28480359E-02  0.13494959E+02  0.14290477E+00
 0.31992671E-02  0.14230620E+02  0.15169576E+00
 0.35938137E-02  0.14993221E+02  0.16106460E+00
 0.40370173E-02  0.15795274E+02  0.17105388E+00
 0.45348785E-02  0.16623917E+02  0.18171064E+00
 0.50941380E-02  0.17493901E+02  0.19308547E+00
 0.57223677E-02  0.18388994E+02  0.20523454E+00
 0.64280731E-02  0.19326739E+02  0.21821838E+00
 0.72208090E-02  0.20283793E+02  0.23210571E+00
 0.81113083E-02  0.21283109E+02  0.24697119E+00
 0.91116276E-02  0.22296624E+02  0.26289865E+00
 0.10235310E-01  0.23351289E+02  0.27997937E+00
 0.11497570E-01  0.24413341E+02  0.29831626E+00
 0.12915497E-01  0.25514160E+02  0.31802144E+00
 0.14508288E-01  0.26604082E+02  0.33922628E+00
 0.16297508E-01  0.27725432E+02  0.36207730E+00
 0.18307383E-01  0.28856234E+02  0.38672507E+00
 0.20565123E-01  0.30025527E+02  0.41333155E+00
 0.23101297E-01  0.31224061E+02  0.44206432E+00
 0.25950242E-01  0.32473124E+02  0.47311337E+00
 0.29150531E-01  0.34063332E+02  0.50650791E+00
 0.32745492E-01  0.35872712E+02  0.54215897E+00
 0.36783798E-01  0.37172740E+02  0.58048765E+00
 0.41320124E-01  0.38283785E+02  0.62217947E+00
 0.46415888E-01  0.39123121E+02  0.66784354E+00
 0.52140083E-01  0.39907543E+02  0.71808130E+00
 0.58570208E-01  0.40384123E+02  0.77363222E+00
 0.65793322E-01  0.40757254E+02  0.83538123E+00
 0.73907220E-01  0.40862978E+02  0.90434776E+00
 0.83021757E-01  0.40884852E+02  0.98171192E+00
 0.93260335E-01  0.40817091E+02  0.10686730E+01
 0.10476158E+00  0.40714464E+02  0.11665473E+01
 0.11768120E+00  0.40405593E+02  0.12770499E+01
 0.13219411E+00  0.39970220E+02  0.14023506E+01
 0.14849683E+00  0.39460980E+02  0.15447909E+01
 0.16681005E+00  0.38898907E+02  0.17069712E+01
 0.18738174E+00  0.38193686E+02  0.18921475E+01
 0.21049041E+00  0.37373280E+02  0.21043678E+01
 0.23644894E+00  0.36419293E+02  0.23485148E+01
 0.26560878E+00  0.35373977E+02  0.26304350E+01
 0.29836472E+00  0.34249020E+02  0.29570167E+01
 0.33516027E+00  0.33056005E+02  0.33365696E+01
 0.37649358E+00  0.31862157E+02  0.37786513E+01
 0.42292429E+00  0.30677930E+02  0.42940968E+01
 0.47508102E+00  0.29445613E+02  0.48963557E+01
 0.53366992E+00  0.28150413E+02  0.56027192E+01
 0.59948425E+00  0.26874167E+02  0.64333666E+01
 0.67341507E+00  0.25614978E+02  0.74115123E+01
 0.75646333E+00  0.24354676E+02  0.85656107E+01
 0.84975344E+00  0.23055682E+02  0.99324354E+01
 0.95454846E+00  0.21831383E+02  0.11554318E+02
 0.10722672E+01  0.20666646E+02  0.13478482E+02
 0.12045035E+01  0.19532900E+02  0.15763211E+02
 0.13530478E+01  0.18384481E+02  0.18484942E+02
 0.15199111E+01  0.17309562E+02  0.21733053E+02
 0.17073526E+01  0.16289117E+02  0.25609358E+02
 0.19179103E+01  0.15329918E+02  0.30235731E+02
 0.21544347E+01  0.14389657E+02  0.35765891E+02
 0.24201283E+01  0.13522814E+02  0.42380320E+02
 0.27185882E+01  0.12706074E+02  0.50287411E+02
 0.30538555E+01  0.11945345E+02  0.59736640E+02
 0.34304693E+01  0.11205044E+02  0.71041097E+02
 0.38535286E+01  0.10519925E+02  0.84572273E+02
 0.43287613E+01  0.98646856E+01  0.10077269E+03
 0.48626016E+01  0.92553192E+01  0.12017173E+03
 0.54622772E+01  0.86580986E+01  0.14343393E+03
 0.61359073E+01  0.80976244E+01  0.17136625E+03
 0.68926121E+01  0.75386458E+01  0.20499874E+03
 0.77426368E+01  0.70189258E+01  0.24557587E+03
 0.86974900E+01  0.65112449E+01  0.29462969E+03
 0.97700996E+01  0.60429894E+01  0.35401435E+03
 0.10974988E+02  0.55956534E+01  0.42598100E+03
 0.12328467E+02  0.51840073E+01  0.51325716E+03
 0.13848864E+02  0.47915243E+01  0.61921773E+03
 0.15556761E+02  0.44326579E+01  0.74793361E+03
 0.17475284E+02  0.40949500E+01  0.90434783E+03
 0.19630407E+02  0.37851386E+01  0.10944653E+04
 0.22051307E+02  0.34902272E+01  0.13258180E+04
