#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25376300E+01
#    Te =  0.50000000E+00
#   rho =  0.26193500E+01
#  zbar =  0.11891695E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.31892194E+01  0.16659145E-01
 0.11233240E-02  0.33731793E+01  0.17657588E-01
 0.12618569E-02  0.35677939E+01  0.18717948E-01
 0.14174742E-02  0.37720902E+01  0.19844339E-01
 0.15922828E-02  0.39881766E+01  0.21041088E-01
 0.17886495E-02  0.42143294E+01  0.22312944E-01
 0.20092330E-02  0.44534128E+01  0.23664952E-01
 0.22570197E-02  0.47028841E+01  0.25102657E-01
 0.25353645E-02  0.49663998E+01  0.26631971E-01
 0.28480359E-02  0.52407034E+01  0.28259366E-01
 0.31992671E-02  0.55301494E+01  0.29991761E-01
 0.35938137E-02  0.58308142E+01  0.31836718E-01
 0.40370173E-02  0.61477106E+01  0.33802332E-01
 0.45348785E-02  0.64758350E+01  0.35897528E-01
 0.50941380E-02  0.68211664E+01  0.38131880E-01
 0.57223677E-02  0.71773460E+01  0.40515999E-01
 0.64280731E-02  0.75515066E+01  0.43061284E-01
 0.72208090E-02  0.79345043E+01  0.45780663E-01
 0.81113083E-02  0.83355579E+01  0.48688144E-01
 0.91116276E-02  0.87436830E+01  0.51799442E-01
 0.10235310E-01  0.91695042E+01  0.55131651E-01
 0.11497570E-01  0.95992898E+01  0.58704152E-01
 0.12915497E-01  0.10045455E+02  0.62538159E-01
 0.14508288E-01  0.10489614E+02  0.66658245E-01
 0.16297508E-01  0.10947154E+02  0.71091982E-01
 0.18307383E-01  0.11416418E+02  0.75866168E-01
 0.20565123E-01  0.11903147E+02  0.81008923E-01
 0.23101297E-01  0.12385234E+02  0.86555393E-01
 0.25950242E-01  0.12877525E+02  0.92547680E-01
 0.29150531E-01  0.13467705E+02  0.99003044E-01
 0.32745492E-01  0.14116782E+02  0.10592236E+00
 0.36783798E-01  0.14577964E+02  0.11339209E+00
 0.41320124E-01  0.14960621E+02  0.12154556E+00
 0.46415888E-01  0.15243102E+02  0.13050480E+00
 0.52140083E-01  0.15495635E+02  0.14039262E+00
 0.58570208E-01  0.15619103E+02  0.15136622E+00
 0.65793322E-01  0.15684430E+02  0.16361957E+00
 0.73907220E-01  0.15648847E+02  0.17737335E+00
 0.83021757E-01  0.15577643E+02  0.19287767E+00
 0.93260335E-01  0.15449495E+02  0.21040770E+00
 0.10476158E+00  0.15297853E+02  0.23027613E+00
 0.11768120E+00  0.15055795E+02  0.25288572E+00
 0.13219411E+00  0.14766462E+02  0.27874240E+00
 0.14849683E+00  0.14460425E+02  0.30838355E+00
 0.16681005E+00  0.14151662E+02  0.34238897E+00
 0.18738174E+00  0.13777004E+02  0.38152196E+00
 0.21049041E+00  0.13353126E+02  0.42678038E+00
 0.23644894E+00  0.12887660E+02  0.47935003E+00
 0.26560878E+00  0.12394174E+02  0.54064292E+00
 0.29836472E+00  0.11855611E+02  0.61242766E+00
 0.33516027E+00  0.11273874E+02  0.69699537E+00
 0.37649358E+00  0.10689161E+02  0.79705447E+00
 0.42292429E+00  0.10104041E+02  0.91577269E+00
 0.47508102E+00  0.95016393E+01  0.10572105E+01
 0.53366992E+00  0.88773446E+01  0.12267459E+01
 0.59948425E+00  0.82615453E+01  0.14310031E+01
 0.67341507E+00  0.76526982E+01  0.16781812E+01
 0.75646333E+00  0.70769132E+01  0.19782086E+01
 0.84975344E+00  0.65295476E+01  0.23431157E+01
 0.95454846E+00  0.60215011E+01  0.27875188E+01
 0.10722672E+01  0.55485564E+01  0.33290653E+01
 0.12045035E+01  0.51087934E+01  0.39894779E+01
 0.13530478E+01  0.46955475E+01  0.47959910E+01
 0.15199111E+01  0.43160355E+01  0.57816858E+01
 0.17073526E+01  0.39650743E+01  0.69866464E+01
 0.19179103E+01  0.36425224E+01  0.84599641E+01
 0.21544347E+01  0.33420103E+01  0.10262815E+02
 0.24201283E+01  0.30679468E+01  0.12469532E+02
 0.27185882E+01  0.28161078E+01  0.15169932E+02
 0.30538555E+01  0.25852203E+01  0.18474154E+02
 0.34304693E+01  0.23695479E+01  0.22520848E+02
 0.38535286E+01  0.21724996E+01  0.27479573E+02
 0.43287613E+01  0.19902242E+01  0.33557868E+02
 0.48626016E+01  0.18242762E+01  0.41008812E+02
 0.54622772E+01  0.16714533E+01  0.50141710E+02
 0.61359073E+01  0.15306914E+01  0.61340099E+02
 0.68926121E+01  0.13975627E+01  0.75098977E+02
 0.77426368E+01  0.12759392E+01  0.92027472E+02
 0.86974900E+01  0.11630325E+01  0.11287457E+03
 0.97700996E+01  0.10601917E+01  0.13856507E+03
 0.10974988E+02  0.96562819E+00  0.17023726E+03
 0.12328467E+02  0.87930658E+00  0.20930137E+03
 0.13848864E+02  0.79932483E+00  0.25753640E+03
 0.15556761E+02  0.72663973E+00  0.31714212E+03
 0.17475284E+02  0.66023665E+00  0.39081485E+03
 0.19630407E+02  0.59972985E+00  0.48190118E+03
 0.22051307E+02  0.54362161E+00  0.59467469E+03
 0.24770764E+02  0.49282443E+00  0.73443418E+03
 0.27825594E+02  0.44699398E+00  0.90756385E+03
 0.31257158E+02  0.40540529E+00  0.11219782E+04
 0.35111917E+02  0.36741066E+00  0.13876503E+04
 0.39442061E+02  0.33293688E+00  0.17169460E+04
 0.44306215E+02  0.30120438E+00  0.21255207E+04
 0.49770236E+02  0.27251596E+00  0.26328597E+04
 0.55908102E+02  0.24672575E+00  0.32625271E+04
 0.62802914E+02  0.22336271E+00  0.40437168E+04
 0.70548023E+02  0.20186644E+00  0.50139406E+04
 0.79248290E+02  0.18244619E+00  0.62199552E+04
 0.89021509E+02  0.16500049E+00  0.77183775E+04
 0.10000000E+03  0.14922485E+00  0.95796381E+04
