#   nzt = 2
#    zt = 8.3000E+01 8.0000E+00
#    wt = 2.0000E+00 3.0000E+00
#    zp = 1.0000E+00
#    rs =  2.91194800E+00
#    Te =  2.50000000E-02
#   rho =  8.90000000E+00
#  zbar =  2.00446372E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.75148776E+00  6.27263083E-02
 1.12332400E-03  5.03219504E+00  6.66501252E-02
 1.26185690E-03  5.32923412E+00  7.08120772E-02
 1.41747420E-03  5.64119306E+00  7.52277468E-02
 1.59228280E-03  5.97128404E+00  7.99137290E-02
 1.78864950E-03  6.31694066E+00  8.48881127E-02
 2.00923300E-03  6.68253760E+00  9.01702320E-02
 2.25701970E-03  7.06421428E+00  9.57811820E-02
 2.53536450E-03  7.46757628E+00  1.01743606E-01
 2.84803590E-03  7.88766228E+00  1.08082121E-01
 3.19926710E-03  8.33113192E+00  1.14823218E-01
 3.59381370E-03  8.79203066E+00  1.21995665E-01
 4.03701730E-03  9.27798868E+00  1.29630464E-01
 4.53487850E-03  9.78144242E+00  1.37761538E-01
 5.09413800E-03  1.03114747E+01  1.46425563E-01
 5.72236770E-03  1.08585345E+01  1.55662817E-01
 6.42807310E-03  1.14334689E+01  1.65516973E-01
 7.22080900E-03  1.20225744E+01  1.76036937E-01
 8.11130830E-03  1.26399814E+01  1.87276119E-01
 9.11162760E-03  1.32692873E+01  1.99293721E-01
 1.02353100E-02  1.39270099E+01  2.12154504E-01
 1.14975700E-02  1.45928553E+01  2.25930876E-01
 1.29154970E-02  1.52862990E+01  2.40702213E-01
 1.45082880E-02  1.59792488E+01  2.56559285E-01
 1.62975080E-02  1.66965174E+01  2.73603082E-01
 1.83073830E-02  1.74331458E+01  2.91933119E-01
 2.05651230E-02  1.82009714E+01  3.11654410E-01
 2.31012970E-02  1.89755294E+01  3.32888601E-01
 2.59502420E-02  1.97762460E+01  3.55770894E-01
 2.91505310E-02  2.07515276E+01  3.80349148E-01
 3.27454920E-02  2.18348408E+01  4.06627219E-01
 3.67837980E-02  2.26238048E+01  4.34902142E-01
 4.13201240E-02  2.32951294E+01  4.65652636E-01
 4.64158880E-02  2.38058912E+01  4.99328123E-01
 5.21400830E-02  2.42742278E+01  5.36386402E-01
 5.85702080E-02  2.45585928E+01  5.77374630E-01
 6.57933220E-02  2.47701496E+01  6.22955043E-01
 7.39072200E-02  2.48355710E+01  6.73872614E-01
 8.30217570E-02  2.48601284E+01  7.30965944E-01
 9.32603350E-02  2.48292458E+01  7.95109431E-01
 1.04761580E-01  2.47886876E+01  8.67268986E-01
 1.17681200E-01  2.46429040E+01  9.48640238E-01
 1.32194110E-01  2.44470712E+01  1.04068469E+00
 1.48496830E-01  2.42364424E+01  1.14494410E+00
 1.66810050E-01  2.40214154E+01  1.26309551E+00
 1.87381740E-01  2.37162758E+01  1.39727290E+00
 2.10490410E-01  2.33310828E+01  1.55021805E+00
 2.36448940E-01  2.28581084E+01  1.72522939E+00
 2.65608780E-01  2.23081776E+01  1.92629128E+00
 2.98364720E-01  2.16601738E+01  2.15832738E+00
 3.35160270E-01  2.09139342E+01  2.42754463E+00
 3.76493580E-01  2.01196404E+01  2.74133885E+00
 4.22924290E-01  1.92857646E+01  3.10842994E+00
 4.75081020E-01  1.83826442E+01  3.53987251E+00
 5.33669920E-01  1.74106885E+01  4.04999244E+00
 5.99484250E-01  1.64329869E+01  4.65608435E+00
 6.73415070E-01  1.54567729E+01  5.37870751E+00
 7.56463330E-01  1.44952710E+01  6.24303895E+00
 8.49753440E-01  1.35367206E+01  7.28059708E+00
 9.54548460E-01  1.26401308E+01  8.52870504E+00
 1.07226720E+00  1.18002965E+01  1.00303986E+01
 1.20450350E+00  1.10028226E+01  1.18385191E+01
 1.35304780E+00  1.02238428E+01  1.40207216E+01
 1.51991110E+00  9.50815380E+00  1.66576211E+01
 1.70735260E+00  8.84273432E+00  1.98426296E+01
 1.91791030E+00  8.22849698E+00  2.36885643E+01
 2.15443470E+00  7.64368844E+00  2.83354036E+01
 2.42012830E+00  7.11190042E+00  3.39499437E+01
 2.71858820E+00  6.62023264E+00  4.07268297E+01
 3.05385550E+00  6.16991496E+00  4.88998882E+01
 3.43046930E+00  5.74103630E+00  5.87590733E+01
 3.85352860E+00  5.34950004E+00  7.06527800E+01
 4.32876130E+00  4.98210052E+00  8.49949441E+01
 4.86260160E+00  4.64566248E+00  1.02283063E+02
 5.46227720E+00  4.32189662E+00  1.23134668E+02
 6.13590730E+00  4.02143506E+00  1.48310230E+02
 6.89261210E+00  3.72646614E+00  1.78768202E+02
 7.74263680E+00  3.45478096E+00  2.15681324E+02
 8.69749000E+00  3.19221812E+00  2.60484833E+02
 9.77009960E+00  2.95129386E+00  3.14936965E+02
 1.09749880E+01  2.72182274E+00  3.81182836E+02
 1.23284670E+01  2.51135584E+00  4.61853186E+02
 1.38488640E+01  2.31183689E+00  5.60183566E+02
 1.55567610E+01  2.12974084E+00  6.80127296E+02
 1.74752840E+01  1.95901670E+00  8.26497736E+02
 1.96304070E+01  1.80309550E+00  1.00519165E+03
 2.20513070E+01  1.65594327E+00  1.22352821E+03
 2.47707640E+01  1.52209239E+00  1.49046838E+03
 2.78255940E+01  1.39685979E+00  1.81696346E+03
 3.12571580E+01  1.28281623E+00  2.21646259E+03
 3.51119170E+01  1.17601613E+00  2.70556933E+03
 3.94420610E+01  1.07874642E+00  3.30471309E+03
 4.43062150E+01  9.86185188E-01  4.03971524E+03
 4.97702360E+01  9.02023216E-01  4.94261136E+03
 5.59081020E+01  8.23614128E-01  6.05248373E+03
 6.28029140E+01  7.52449768E-01  7.41751319E+03
 7.05480230E+01  6.86988936E-01  9.09646888E+03
 7.92482900E+01  6.27559952E-01  1.11616204E+04
 8.90215090E+01  5.72397740E-01  1.37031476E+04
 1.00000000E+02  5.22418412E-01  1.68321962E+04
