#   nzt =   1
#    zt = 0.3500E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.40578600E+01
#    Te =  0.25000000E-01
#   rho =  0.31990000E+01
#  zbar =  0.92972752E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.11683863E+02  0.22707926E-01
 0.11233240E-02  0.12309250E+02  0.24071633E-01
 0.12618569E-02  0.12968234E+02  0.25525563E-01
 0.14174742E-02  0.13650904E+02  0.27076479E-01
 0.15922828E-02  0.14369544E+02  0.28731506E-01
 0.17886495E-02  0.15110127E+02  0.30498614E-01
 0.20092330E-02  0.15888692E+02  0.32386331E-01
 0.22570197E-02  0.16685971E+02  0.34404269E-01
 0.25353645E-02  0.17522658E+02  0.36562744E-01
 0.28480359E-02  0.18372915E+02  0.38873465E-01
 0.31992671E-02  0.19263127E+02  0.41349065E-01
 0.35938137E-02  0.20161932E+02  0.44003782E-01
 0.40370173E-02  0.21100488E+02  0.46853026E-01
 0.45348785E-02  0.22039667E+02  0.49914351E-01
 0.50941380E-02  0.23016925E+02  0.53206808E-01
 0.57223677E-02  0.23978442E+02  0.56752742E-01
 0.64280731E-02  0.24973240E+02  0.60576768E-01
 0.72208090E-02  0.25954448E+02  0.64705759E-01
 0.81113083E-02  0.26966821E+02  0.69168767E-01
 0.91116276E-02  0.27909071E+02  0.74003640E-01
 0.10235310E-01  0.28865112E+02  0.79254902E-01
 0.11497570E-01  0.29967379E+02  0.84947643E-01
 0.12915497E-01  0.31144563E+02  0.91098675E-01
 0.14508288E-01  0.31888679E+02  0.97797226E-01
 0.16297508E-01  0.32531612E+02  0.10516271E+00
 0.18307383E-01  0.33043861E+02  0.11329237E+00
 0.20565123E-01  0.33559801E+02  0.12228144E+00
 0.23101297E-01  0.33803741E+02  0.13226597E+00
 0.25950242E-01  0.33992796E+02  0.14341165E+00
 0.29150531E-01  0.34045425E+02  0.15588954E+00
 0.32745492E-01  0.34114257E+02  0.16987970E+00
 0.36783798E-01  0.34015641E+02  0.18560326E+00
 0.41320124E-01  0.33899547E+02  0.20332437E+00
 0.46415888E-01  0.33758369E+02  0.22330916E+00
 0.52140083E-01  0.33678086E+02  0.24582724E+00
 0.58570208E-01  0.33461243E+02  0.27123454E+00
 0.65793322E-01  0.33222720E+02  0.29997224E+00
 0.73907220E-01  0.32930286E+02  0.33251658E+00
 0.83021757E-01  0.32663769E+02  0.36938259E+00
 0.93260335E-01  0.32316412E+02  0.41118700E+00
 0.10476158E+00  0.31952868E+02  0.45866159E+00
 0.11768120E+00  0.31464373E+02  0.51270915E+00
 0.13219411E+00  0.30914197E+02  0.57444296E+00
 0.14849683E+00  0.30343796E+02  0.64506453E+00
 0.16681005E+00  0.29769967E+02  0.72588811E+00
 0.18738174E+00  0.29057026E+02  0.81866085E+00
 0.21049041E+00  0.28230717E+02  0.92568849E+00
