#   nzt =   1
#    zt = 0.6000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.24250100E+01
#    Te =  0.25000000E-01
#   rho =  0.22530000E+01
#  zbar =  0.22793872E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.28851549E+01  0.13811131E-01
 0.11233240E-02  0.30511504E+01  0.14638939E-01
 0.12618569E-02  0.32267145E+01  0.15518210E-01
 0.14174742E-02  0.34110530E+01  0.16452362E-01
 0.15922828E-02  0.36060233E+01  0.17444990E-01
 0.17886495E-02  0.38104276E+01  0.18499988E-01
 0.20092330E-02  0.40266399E+01  0.19621482E-01
 0.22570197E-02  0.42530627E+01  0.20813936E-01
 0.25353645E-02  0.44925438E+01  0.22082079E-01
 0.28480359E-02  0.47429117E+01  0.23431058E-01
 0.31992671E-02  0.50075541E+01  0.24866348E-01
 0.35938137E-02  0.52837240E+01  0.26393915E-01
 0.40370173E-02  0.55752797E+01  0.28020142E-01
 0.45348785E-02  0.58788240E+01  0.29752005E-01
 0.50941380E-02  0.61986923E+01  0.31597001E-01
 0.57223677E-02  0.65299366E+01  0.33563503E-01
 0.64280731E-02  0.68780060E+01  0.35660553E-01
 0.72208090E-02  0.72354322E+01  0.37898453E-01
 0.81113083E-02  0.76095001E+01  0.40288425E-01
 0.91116276E-02  0.79915492E+01  0.42843010E-01
 0.10235310E-01  0.83898624E+01  0.45575916E-01
 0.11497570E-01  0.87962671E+01  0.48502104E-01
 0.12915497E-01  0.92188329E+01  0.51637843E-01
 0.14508288E-01  0.96467378E+01  0.55001487E-01
 0.16297508E-01  0.10089567E+02  0.58613216E-01
 0.18307383E-01  0.10536978E+02  0.62495252E-01
 0.20565123E-01  0.10998500E+02  0.66672034E-01
 0.23101297E-01  0.11468873E+02  0.71169333E-01
 0.25950242E-01  0.11954725E+02  0.76015364E-01
 0.29150531E-01  0.12469710E+02  0.81236080E-01
 0.32745492E-01  0.13010046E+02  0.86857068E-01
 0.36783798E-01  0.13546914E+02  0.92914901E-01
 0.41320124E-01  0.14093488E+02  0.99456268E-01
 0.46415888E-01  0.14791775E+02  0.10648902E+00
 0.52140083E-01  0.15591018E+02  0.11399003E+00
 0.58570208E-01  0.16098414E+02  0.12206403E+00
 0.65793322E-01  0.16444800E+02  0.13089836E+00
 0.73907220E-01  0.16590282E+02  0.14067731E+00
 0.83021757E-01  0.16632002E+02  0.15160028E+00
 0.93260335E-01  0.16477641E+02  0.16391424E+00
 0.10476158E+00  0.16212588E+02  0.17792509E+00
 0.11768120E+00  0.15777811E+02  0.19401176E+00
 0.13219411E+00  0.15241608E+02  0.21265569E+00
 0.14849683E+00  0.14656647E+02  0.23439004E+00
 0.16681005E+00  0.14049833E+02  0.25981797E+00
 0.18738174E+00  0.13391961E+02  0.28970085E+00
 0.21049041E+00  0.12700985E+02  0.32500839E+00
 0.23644894E+00  0.11977457E+02  0.36695060E+00
 0.26560878E+00  0.11237897E+02  0.41704902E+00
 0.29836472E+00  0.10513379E+02  0.47712307E+00
 0.33516027E+00  0.98062228E+01  0.54937248E+00
 0.37649358E+00  0.91317140E+01  0.63646106E+00
 0.42292429E+00  0.84888717E+01  0.74160690E+00
 0.47508102E+00  0.78742952E+01  0.86880220E+00
 0.53366992E+00  0.72869725E+01  0.10230272E+01
 0.59948425E+00  0.67314570E+01  0.12104087E+01
 0.67341507E+00  0.62061134E+01  0.14385167E+01
 0.75646333E+00  0.57185418E+01  0.17165369E+01
 0.84975344E+00  0.52654490E+01  0.20556070E+01
 0.95454846E+00  0.48473695E+01  0.24693097E+01
 0.10722672E+01  0.44608515E+01  0.29742309E+01
 0.12045035E+01  0.41072470E+01  0.35904016E+01
 0.13530478E+01  0.37815184E+01  0.43421692E+01
 0.15199111E+01  0.34827333E+01  0.52592174E+01
 0.17073526E+01  0.32066881E+01  0.63778711E+01
 0.19179103E+01  0.29516903E+01  0.77426895E+01
 0.21544347E+01  0.27103777E+01  0.94105133E+01
 0.24201283E+01  0.24897247E+01  0.11450491E+02
 0.27185882E+01  0.22856069E+01  0.13945936E+02
 0.30538555E+01  0.20979737E+01  0.16999355E+02
 0.34304693E+01  0.19216044E+01  0.20740425E+02
 0.38535286E+01  0.17596728E+01  0.25328944E+02
 0.43287613E+01  0.16084254E+01  0.30963348E+02
 0.48626016E+01  0.14702957E+01  0.37887413E+02
 0.54622772E+01  0.13424784E+01  0.46401270E+02
 0.61359073E+01  0.12254224E+01  0.56876584E+02
 0.68926121E+01  0.11165588E+01  0.69780283E+02
 0.77426368E+01  0.10170257E+01  0.85690748E+02
 0.86974900E+01  0.92473892E+00  0.10533133E+03
 0.97700996E+01  0.84073915E+00  0.12959737E+03
 0.10974988E+02  0.76372913E+00  0.15959335E+03
 0.12328467E+02  0.69382207E+00  0.19668545E+03
 0.13848864E+02  0.63023879E+00  0.24255277E+03
 0.15556761E+02  0.57244777E+00  0.29927492E+03
 0.17475284E+02  0.51964958E+00  0.36944573E+03
 0.19630407E+02  0.47152082E+00  0.45628673E+03
 0.22051307E+02  0.42664744E+00  0.56396244E+03
 0.24770764E+02  0.38615470E+00  0.69764262E+03
 0.27825594E+02  0.35011088E+00  0.86339726E+03
 0.31257158E+02  0.31742085E+00  0.10687494E+04
 0.35111917E+02  0.28763997E+00  0.13232486E+04
 0.39442061E+02  0.26058809E+00  0.16387264E+04
 0.44306215E+02  0.23537913E+00  0.20305399E+04
 0.49770236E+02  0.21263844E+00  0.25178676E+04
 0.55908102E+02  0.19243497E+00  0.31232496E+04
 0.62802914E+02  0.17413572E+00  0.38745832E+04
 0.70548023E+02  0.15721564E+00  0.48084379E+04
 0.79248290E+02  0.14194700E+00  0.59705037E+04
 0.89021509E+02  0.12834899E+00  0.74151387E+04
 0.10000000E+03  0.11605428E+00  0.92098623E+04
