#   nzt =   1
#    zt = 0.6000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.29417500E+01
#    Te =  0.25000000E-01
#   rho =  0.22000000E+01
#  zbar =  0.13659172E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.49142128E+01  0.81153299E-02
 0.11233240E-02  0.51917570E+01  0.86019938E-02
 0.12618569E-02  0.54849885E+01  0.91194222E-02
 0.14174742E-02  0.57915765E+01  0.96697443E-02
 0.15922828E-02  0.61152518E+01  0.10255205E-01
 0.17886495E-02  0.64524658E+01  0.10878283E-01
 0.20092330E-02  0.68081074E+01  0.11541623E-01
 0.22570197E-02  0.71773748E+01  0.12248145E-01
 0.25353645E-02  0.75663269E+01  0.13000975E-01
 0.28480359E-02  0.79689599E+01  0.13803555E-01
 0.31992671E-02  0.83924447E+01  0.14659581E-01
 0.35938137E-02  0.88293444E+01  0.15573135E-01
 0.40370173E-02  0.92881028E+01  0.16548602E-01
 0.45348785E-02  0.97587185E+01  0.17590900E-01
 0.50941380E-02  0.10251747E+02  0.18705333E-01
 0.57223677E-02  0.10754501E+02  0.19897858E-01
 0.64280731E-02  0.11279754E+02  0.21174915E-01
 0.72208090E-02  0.11809632E+02  0.22543907E-01
 0.81113083E-02  0.12360890E+02  0.24012908E-01
 0.91116276E-02  0.12912636E+02  0.25591058E-01
 0.10235310E-01  0.13484389E+02  0.27288311E-01
 0.11497570E-01  0.14046503E+02  0.29116357E-01
 0.12915497E-01  0.14625018E+02  0.31088127E-01
 0.14508288E-01  0.15192100E+02  0.33217988E-01
 0.16297508E-01  0.15774081E+02  0.35522234E-01
 0.18307383E-01  0.16423353E+02  0.38011799E-01
 0.20565123E-01  0.17119365E+02  0.40694955E-01
 0.23101297E-01  0.17706060E+02  0.43597683E-01
 0.25950242E-01  0.18267299E+02  0.46755553E-01
 0.29150531E-01  0.18875624E+02  0.50191588E-01
 0.32745492E-01  0.19523370E+02  0.53921888E-01
 0.36783798E-01  0.19857364E+02  0.58007124E-01
 0.41320124E-01  0.20060180E+02  0.62535887E-01
 0.46415888E-01  0.20094949E+02  0.67594486E-01
 0.52140083E-01  0.20072694E+02  0.73274777E-01
 0.58570208E-01  0.19877315E+02  0.79691132E-01
 0.65793322E-01  0.19602809E+02  0.86984923E-01
 0.73907220E-01  0.19190780E+02  0.95325004E-01
 0.83021757E-01  0.18727791E+02  0.10491113E+00
 0.93260335E-01  0.18197317E+02  0.11597072E+00
 0.10476158E+00  0.17639715E+02  0.12876935E+00
 0.11768120E+00  0.16969472E+02  0.14365820E+00
 0.13219411E+00  0.16242438E+02  0.16109255E+00
 0.14849683E+00  0.15504768E+02  0.18158457E+00
