#   nzt =   1
#    zt = 0.9000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25445700E+01
#    Te =  0.25000000E-01
#   rho =  0.22000000E+01
#  zbar =  0.88286752E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.31126866E+01  0.20269141E-01
 0.11233240E-02  0.32898378E+01  0.21484394E-01
 0.12618569E-02  0.34770857E+01  0.22775944E-01
 0.14174742E-02  0.36732039E+01  0.24148986E-01
 0.15922828E-02  0.38803681E+01  0.25608995E-01
 0.17886495E-02  0.40966496E+01  0.27161997E-01
 0.20092330E-02  0.43249099E+01  0.28814418E-01
 0.22570197E-02  0.45625156E+01  0.30573321E-01
 0.25353645E-02  0.48130076E+01  0.32446257E-01
 0.28480359E-02  0.50730703E+01  0.34441515E-01
 0.31992671E-02  0.53468995E+01  0.36567975E-01
 0.35938137E-02  0.56303825E+01  0.38835402E-01
 0.40370173E-02  0.59284560E+01  0.41254273E-01
 0.45348785E-02  0.62356289E+01  0.43836247E-01
 0.50941380E-02  0.65580238E+01  0.46593871E-01
 0.57223677E-02  0.68886524E+01  0.49541137E-01
 0.64280731E-02  0.72349401E+01  0.52693119E-01
 0.72208090E-02  0.75870499E+01  0.56066979E-01
 0.81113083E-02  0.79546791E+01  0.59681337E-01
 0.91116276E-02  0.83263146E+01  0.63557083E-01
 0.10235310E-01  0.87132543E+01  0.67716846E-01
 0.11497570E-01  0.90994681E+01  0.72186797E-01
 0.12915497E-01  0.94997132E+01  0.76995628E-01
 0.14508288E-01  0.98986089E+01  0.82175016E-01
 0.16297508E-01  0.10311615E+02  0.87760393E-01
 0.18307383E-01  0.10765480E+02  0.93776844E-01
 0.20565123E-01  0.11252181E+02  0.10024420E+00
 0.23101297E-01  0.11690896E+02  0.10721550E+00
 0.25950242E-01  0.12127478E+02  0.11476118E+00
 0.29150531E-01  0.12603933E+02  0.12292535E+00
 0.32745492E-01  0.13115731E+02  0.13173777E+00
 0.36783798E-01  0.13467976E+02  0.14131361E+00
 0.41320124E-01  0.13760223E+02  0.15181848E+00
 0.46415888E-01  0.13972592E+02  0.16340637E+00
 0.52140083E-01  0.14162835E+02  0.17623595E+00
 0.58570208E-01  0.14256375E+02  0.19050458E+00
 0.65793322E-01  0.14307938E+02  0.20645223E+00
 0.73907220E-01  0.14283711E+02  0.22435184E+00
 0.83021757E-01  0.14231248E+02  0.24451439E+00
 0.93260335E-01  0.14131859E+02  0.26728649E+00
 0.10476158E+00  0.14010775E+02  0.29306416E+00
 0.11768120E+00  0.13812804E+02  0.32235449E+00
 0.13219411E+00  0.13573222E+02  0.35578989E+00
 0.14849683E+00  0.13316582E+02  0.39404676E+00
 0.16681005E+00  0.13056276E+02  0.43785648E+00
 0.18738174E+00  0.12739407E+02  0.48816963E+00
 0.21049041E+00  0.12382722E+02  0.54620989E+00
 0.23644894E+00  0.11993806E+02  0.61341060E+00
 0.26560878E+00  0.11586917E+02  0.69144629E+00
 0.29836472E+00  0.11146693E+02  0.78237461E+00
 0.33516027E+00  0.10676199E+02  0.88880747E+00
 0.37649358E+00  0.10213541E+02  0.10137241E+01
 0.42292429E+00  0.97602820E+01  0.11604540E+01
 0.47508102E+00  0.92803730E+01  0.13333405E+01
 0.53366992E+00  0.87643260E+01  0.15383368E+01
 0.59948425E+00  0.82533822E+01  0.17825503E+01
 0.67341507E+00  0.77432164E+01  0.20744346E+01
 0.75646333E+00  0.72455466E+01  0.24243660E+01
 0.84975344E+00  0.67492430E+01  0.28454917E+01
 0.95454846E+00  0.62814181E+01  0.33536040E+01
 0.10722672E+01  0.58361404E+01  0.39674179E+01
 0.12045035E+01  0.54148947E+01  0.47100148E+01
 0.13530478E+01  0.50096028E+01  0.56104967E+01
 0.15199111E+01  0.46320995E+01  0.67041988E+01
 0.17073526E+01  0.42767470E+01  0.80339474E+01
 0.19179103E+01  0.39465811E+01  0.96521568E+01
 0.21544347E+01  0.36348005E+01  0.11624119E+02
 0.24201283E+01  0.33477251E+01  0.14029294E+02
 0.27185882E+01  0.30809931E+01  0.16963916E+02
 0.30538555E+01  0.28346078E+01  0.20546199E+02
 0.34304693E+01  0.26034833E+01  0.24924056E+02
 0.38535286E+01  0.23905700E+01  0.30278993E+02
 0.43287613E+01  0.21918788E+01  0.36835429E+02
 0.48626016E+01  0.20104637E+01  0.44866796E+02
 0.54622772E+01  0.18441746E+01  0.54701839E+02
 0.61359073E+01  0.16903057E+01  0.66748971E+02
 0.68926121E+01  0.15444360E+01  0.81538911E+02
 0.77426368E+01  0.14107758E+01  0.99724654E+02
 0.86974900E+01  0.12865637E+01  0.12210879E+03
 0.97700996E+01  0.11733144E+01  0.14968127E+03
 0.10974988E+02  0.10694875E+01  0.18365237E+03
