#   nzt = 2
#    zt = 6.0000E+00 9.0000E+00
#    wt = 2.0000E+00 4.0000E+00
#    zp = 1.0000E+00
#    rs =  2.67696333E+00
#    Te =  2.50000000E-02
#   rho =  2.20000000E+00
#  zbar =  1.04388408E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.71319533E+00  1.38867765E-02
 1.12332400E-03  3.92381087E+00  1.47858585E-02
 1.26185690E-03  4.14638663E+00  1.57416080E-02
 1.41747420E-03  4.37932810E+00  1.67578587E-02
 1.59228280E-03  4.62532933E+00  1.78387199E-02
 1.78864950E-03  4.88192167E+00  1.89886862E-02
 2.00923300E-03  5.15264240E+00  2.02125899E-02
 2.25701970E-03  5.43413533E+00  2.15157098E-02
 2.53536450E-03  5.73078070E+00  2.29037375E-02
 2.84803590E-03  6.03836683E+00  2.43828827E-02
 3.19926710E-03  6.36208123E+00  2.59598528E-02
 3.59381370E-03  6.69670313E+00  2.76419853E-02
 4.03701730E-03  7.04833827E+00  2.94372229E-02
 4.53487850E-03  7.40999210E+00  3.13543513E-02
 5.09413800E-03  7.78926487E+00  3.34029258E-02
 5.72236770E-03  8.17726860E+00  3.55935331E-02
 6.42807310E-03  8.58321140E+00  3.79377248E-02
 7.22080900E-03  8.99457727E+00  4.04485451E-02
 8.11130830E-03  9.42341607E+00  4.31403344E-02
 9.11162760E-03  9.85508840E+00  4.60290858E-02
 1.02353100E-02  1.03036325E+01  4.91323928E-02
 1.14975700E-02  1.07484797E+01  5.24704835E-02
 1.29154970E-02  1.12081481E+01  5.60657724E-02
 1.45082880E-02  1.16631059E+01  5.99429128E-02
 1.62975080E-02  1.21324370E+01  6.41289645E-02
 1.83073830E-02  1.26514377E+01  6.86437453E-02
 2.05651230E-02  1.32079090E+01  7.35045812E-02
 2.31012970E-02  1.36959507E+01  7.87528480E-02
 2.59502420E-02  1.41740850E+01  8.44437409E-02
 2.91505310E-02  1.46944967E+01  9.06152593E-02
 3.27454920E-02  1.52516107E+01  9.72989900E-02
 3.67837980E-02  1.55977720E+01  1.04587389E-01
 4.13201240E-02  1.58602087E+01  1.12616090E-01
 4.64158880E-02  1.60133777E+01  1.21517499E-01
 5.21400830E-02  1.61327880E+01  1.31432010E-01
 5.85702080E-02  1.61300217E+01  1.42529677E-01
 6.57933220E-02  1.60728950E+01  1.55019413E-01
 7.39072200E-02  1.59194007E+01  1.69142694E-01
 8.30217570E-02  1.57300957E+01  1.85179832E-01
 9.32603350E-02  1.54870117E+01  2.03445080E-01
 1.04761580E-01  1.52204217E+01  2.24304511E-01
 1.17681200E-01  1.48650267E+01  2.48224541E-01
 1.32194110E-01  1.44629607E+01  2.75790400E-01
 1.48496830E-01  1.40459773E+01  3.07646396E-01
 1.66810050E-01  1.36294287E+01  3.44509696E-01
 1.87381740E-01  1.31612303E+01  3.87291566E-01
 2.10490410E-01  1.26584723E+01  4.37161151E-01
 2.36448940E-01  1.21272797E+01  4.95523035E-01
