#   nzt =   1
#    zt = 0.6000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.29766600E+01
#    Te =  0.25000000E-01
#   rho =  0.10050000E+01
#  zbar =  0.23787228E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.50129583E+01  0.79554737E-02
 0.11233240E-02  0.52978169E+01  0.84324708E-02
 0.12618569E-02  0.55988757E+01  0.89394579E-02
 0.14174742E-02  0.59141329E+01  0.94784811E-02
 0.15922828E-02  0.62470998E+01  0.10051698E-01
 0.17886495E-02  0.65944341E+01  0.10661493E-01
 0.20092330E-02  0.69609222E+01  0.11310410E-01
 0.22570197E-02  0.73417379E+01  0.12001267E-01
 0.25353645E-02  0.77430390E+01  0.12737077E-01
 0.28480359E-02  0.81587401E+01  0.13521164E-01
 0.31992671E-02  0.85961680E+01  0.14357089E-01
 0.35938137E-02  0.90480032E+01  0.15248778E-01
 0.40370173E-02  0.95226997E+01  0.16200444E-01
 0.45348785E-02  0.10010802E+02  0.17216780E-01
 0.50941380E-02  0.10522562E+02  0.18302843E-01
 0.57223677E-02  0.11046125E+02  0.19464282E-01
 0.64280731E-02  0.11593763E+02  0.20707191E-01
 0.72208090E-02  0.12148611E+02  0.22038547E-01
 0.81113083E-02  0.12726810E+02  0.23465939E-01
 0.91116276E-02  0.13308318E+02  0.24997942E-01
 0.10235310E-01  0.13912085E+02  0.26643890E-01
 0.11497570E-01  0.14511920E+02  0.28414535E-01
 0.12915497E-01  0.15131379E+02  0.30321666E-01
 0.14508288E-01  0.15737883E+02  0.32378919E-01
 0.16297508E-01  0.16359945E+02  0.34601659E-01
 0.18307383E-01  0.17009665E+02  0.37003434E-01
 0.20565123E-01  0.17690207E+02  0.39597541E-01
 0.23101297E-01  0.18335600E+02  0.42404219E-01
 0.25950242E-01  0.18985869E+02  0.45449023E-01
 0.29150531E-01  0.19803212E+02  0.48740360E-01
 0.32745492E-01  0.20721194E+02  0.52274944E-01
 0.36783798E-01  0.21250503E+02  0.56107104E-01
 0.41320124E-01  0.21607696E+02  0.60324042E-01
 0.46415888E-01  0.21713899E+02  0.65011796E-01
 0.52140083E-01  0.21719928E+02  0.70264182E-01
 0.58570208E-01  0.21509256E+02  0.76193300E-01
 0.65793322E-01  0.21196081E+02  0.82935376E-01
 0.73907220E-01  0.20689278E+02  0.90659118E-01
 0.83021757E-01  0.20103694E+02  0.99569964E-01
 0.93260335E-01  0.19446251E+02  0.10989630E+00
 0.10476158E+00  0.18761777E+02  0.12190140E+00
 0.11768120E+00  0.17953371E+02  0.13593730E+00
 0.13219411E+00  0.17084355E+02  0.15246513E+00
 0.14849683E+00  0.16211094E+02  0.17200704E+00
 0.16681005E+00  0.15354311E+02  0.19516170E+00
 0.18738174E+00  0.14489583E+02  0.22267413E+00
 0.21049041E+00  0.13629768E+02  0.25547553E+00
 0.23644894E+00  0.12758996E+02  0.29474369E+00
 0.26560878E+00  0.11894010E+02  0.34197721E+00
 0.29836472E+00  0.11082234E+02  0.39891493E+00
 0.33516027E+00  0.10319210E+02  0.46757998E+00
 0.37649358E+00  0.95975627E+01  0.55046433E+00
 0.42292429E+00  0.89152603E+01  0.65064053E+00
 0.47508102E+00  0.82792648E+01  0.77180125E+00
 0.53366992E+00  0.76842065E+01  0.91839418E+00
 0.59948425E+00  0.71215950E+01  0.10959404E+01
 0.67341507E+00  0.65873815E+01  0.13113701E+01
 0.75646333E+00  0.60913974E+01  0.15730385E+01
 0.84975344E+00  0.56278718E+01  0.18910602E+01
 0.95454846E+00  0.51989028E+01  0.22777535E+01
 0.10722672E+01  0.48002735E+01  0.27480886E+01
 0.12045035E+01  0.44296814E+01  0.33204358E+01
 0.13530478E+01  0.40810934E+01  0.40177702E+01
 0.15199111E+01  0.37592149E+01  0.48681095E+01
 0.17073526E+01  0.34603487E+01  0.59054470E+01
 0.19179103E+01  0.31825705E+01  0.71717852E+01
 0.21544347E+01  0.29199985E+01  0.87205113E+01
 0.24201283E+01  0.26786507E+01  0.10616885E+02
 0.27185882E+01  0.24550323E+01  0.12940141E+02
 0.30538555E+01  0.22488627E+01  0.15788218E+02
 0.34304693E+01  0.20559075E+01  0.19284611E+02
 0.38535286E+01  0.18789501E+01  0.23581455E+02
 0.43287613E+01  0.17150251E+01  0.28866461E+02
 0.48626016E+01  0.15651744E+01  0.35371085E+02
 0.54622772E+01  0.14270153E+01  0.43381468E+02
 0.61359073E+01  0.13002501E+01  0.53253214E+02
 0.68926121E+01  0.11820301E+01  0.65438816E+02
 0.77426368E+01  0.10743957E+01  0.80497825E+02
 0.86974900E+01  0.97577485E+00  0.99116908E+02
 0.97700996E+01  0.88620537E+00  0.12214638E+03
 0.10974988E+02  0.80469625E+00  0.15063330E+03
 0.12328467E+02  0.73050152E+00  0.18587700E+03
 0.13848864E+02  0.66226720E+00  0.22952031E+03
 0.15556761E+02  0.60047729E+00  0.28359705E+03
 0.17475284E+02  0.54467934E+00  0.35057647E+03
 0.19630407E+02  0.49385236E+00  0.43352911E+03
 0.22051307E+02  0.44653419E+00  0.53645944E+03
 0.24770764E+02  0.40384254E+00  0.66434116E+03
 0.27825594E+02  0.36575884E+00  0.82305402E+03
 0.31257158E+02  0.33126213E+00  0.10198934E+04
 0.35111917E+02  0.29993871E+00  0.12640666E+04
 0.39442061E+02  0.27151425E+00  0.15669898E+04
 0.44306215E+02  0.24511686E+00  0.19434566E+04
 0.49770236E+02  0.22131438E+00  0.24119442E+04
 0.55908102E+02  0.20015946E+00  0.29942692E+04
 0.62802914E+02  0.18101426E+00  0.37174614E+04
 0.70548023E+02  0.16340884E+00  0.46166386E+04
 0.79248290E+02  0.14751801E+00  0.57355834E+04
 0.89021509E+02  0.13318090E+00  0.71278723E+04
 0.10000000E+03  0.12023861E+00  0.88603627E+04
