#   nzt =   1
#    zt = 0.1000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.21653500E+01
#    Te =  0.25000000E-01
#   rho =  0.10050000E+01
#  zbar =  0.67860064E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.20336772E+01  0.16458704E-02
 0.11233240E-02  0.21486406E+01  0.17445682E-02
 0.12618569E-02  0.22701031E+01  0.18495003E-02
 0.14174742E-02  0.23971306E+01  0.19610972E-02
 0.15922828E-02  0.25312379E+01  0.20798128E-02
 0.17886495E-02  0.26708823E+01  0.22061511E-02
 0.20092330E-02  0.28181433E+01  0.23406501E-02
 0.22570197E-02  0.29707927E+01  0.24839084E-02
 0.25353645E-02  0.31315243E+01  0.26365679E-02
 0.28480359E-02  0.32975540E+01  0.27993377E-02
 0.31992671E-02  0.34720705E+01  0.29729809E-02
 0.35938137E-02  0.36517305E+01  0.31583405E-02
 0.40370173E-02  0.38402012E+01  0.33563245E-02
 0.45348785E-02  0.40330921E+01  0.35679519E-02
 0.50941380E-02  0.42349001E+01  0.37943252E-02
 0.57223677E-02  0.44401979E+01  0.40366820E-02
 0.64280731E-02  0.46543032E+01  0.42963644E-02
 0.72208090E-02  0.48695289E+01  0.45749213E-02
 0.81113083E-02  0.50928441E+01  0.48740487E-02
 0.91116276E-02  0.53150618E+01  0.51956818E-02
 0.10235310E-01  0.55443378E+01  0.55419434E-02
 0.11497570E-01  0.57679084E+01  0.59153368E-02
 0.12915497E-01  0.59963862E+01  0.63186451E-02
 0.14508288E-01  0.62146882E+01  0.67551175E-02
 0.16297508E-01  0.64352501E+01  0.72284820E-02
 0.18307383E-01  0.66687805E+01  0.77418170E-02
 0.20565123E-01  0.69125341E+01  0.82980335E-02
 0.23101297E-01  0.71261017E+01  0.89024594E-02
 0.25950242E-01  0.73320031E+01  0.95621118E-02
 0.29150531E-01  0.76017470E+01  0.10279619E-01
 0.32745492E-01  0.79061509E+01  0.11054616E-01
 0.36783798E-01  0.80193753E+01  0.11902066E-01
 0.41320124E-01  0.80467626E+01  0.12845991E-01
 0.46415888E-01  0.79436967E+01  0.13911833E-01
 0.52140083E-01  0.77877183E+01  0.15129155E-01
 0.58570208E-01  0.75580129E+01  0.16531425E-01
 0.65793322E-01  0.72967270E+01  0.18158549E-01
 0.73907220E-01  0.69602256E+01  0.20063615E-01
 0.83021757E-01  0.65951600E+01  0.22315588E-01
 0.93260335E-01  0.62293101E+01  0.24990167E-01
 0.10476158E+00  0.58718283E+01  0.28173783E-01
 0.11768120E+00  0.55015455E+01  0.31979420E-01
 0.13219411E+00  0.51327075E+01  0.36552788E-01
 0.14849683E+00  0.47759048E+01  0.42067349E-01
 0.16681005E+00  0.44350345E+01  0.48732192E-01
 0.18738174E+00  0.41148876E+01  0.56798379E-01
 0.21049041E+00  0.38150248E+01  0.66565937E-01
 0.23644894E+00  0.35206826E+01  0.78427666E-01
 0.26560878E+00  0.32357623E+01  0.92900570E-01
 0.29836472E+00  0.29746949E+01  0.11058980E+00
 0.33516027E+00  0.27353562E+01  0.13219971E+00
 0.37649358E+00  0.25117319E+01  0.15861644E+00
 0.42292429E+00  0.23030104E+01  0.19095970E+00
 0.47508102E+00  0.21112114E+01  0.23058997E+00
 0.53366992E+00  0.19349340E+01  0.27915409E+00
 0.59948425E+00  0.17706000E+01  0.33872178E+00
 0.67341507E+00  0.16171095E+01  0.41192384E+00
 0.75646333E+00  0.14761817E+01  0.50198489E+00
 0.84975344E+00  0.13466308E+01  0.61285074E+00
 0.95454846E+00  0.12280048E+01  0.74939557E+00
 0.10722672E+01  0.11192340E+01  0.91764299E+00
 0.12045035E+01  0.10196633E+01  0.11250501E+01
 0.13530478E+01  0.92832875E+00  0.13808814E+01
 0.15199111E+01  0.84508262E+00  0.16965588E+01
 0.17073526E+01  0.76914857E+00  0.20861272E+01
 0.19179103E+01  0.69958920E+00  0.25670792E+01
 0.21544347E+01  0.63555346E+00  0.31614601E+01
 0.24201283E+01  0.57732497E+00  0.38964717E+01
 0.27185882E+01  0.52432943E+00  0.48054782E+01
 0.30538555E+01  0.47598658E+00  0.59300077E+01
 0.34304693E+01  0.43166478E+00  0.73222974E+01
 0.38535286E+01  0.39146457E+00  0.90469372E+01
 0.43287613E+01  0.35499508E+00  0.11183247E+02
 0.48626016E+01  0.32189496E+00  0.13829642E+02
 0.54622772E+01  0.29181007E+00  0.17108399E+02
 0.61359073E+01  0.26435452E+00  0.21172286E+02
 0.68926121E+01  0.23897392E+00  0.26217518E+02
 0.77426368E+01  0.21610998E+00  0.32486460E+02
 0.86974900E+01  0.19568123E+00  0.40268021E+02
 0.97700996E+01  0.17715663E+00  0.49921905E+02
 0.10974988E+02  0.16029042E+00  0.61903995E+02
 0.12328467E+02  0.14497841E+00  0.76781832E+02
 0.13848864E+02  0.13092186E+00  0.95276022E+02
 0.15556761E+02  0.11826201E+00  0.11828094E+03
 0.17475284E+02  0.10698122E+00  0.14686565E+03
