#   nzt = 2
#    zt = 6.0000E+00 1.0000E+00
#    wt = 8.0000E+00 8.0000E+00
#    zp = 1.0000E+00
#    rs =  2.55682500E+00
#    Te =  2.50000000E-02
#   rho =  1.00500000E+00
#  zbar =  1.08638424E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.41978305E+00  5.87750355E-03
 1.12332400E-03  3.61334010E+00  6.25870318E-03
 1.26185690E-03  3.81785735E+00  6.66397626E-03
 1.41747420E-03  4.03180485E+00  7.09495802E-03
 1.59228280E-03  4.25770280E+00  7.55340241E-03
 1.78864950E-03  4.49310245E+00  8.04123430E-03
 2.00923300E-03  4.74138935E+00  8.56052549E-03
 2.25701970E-03  4.99912020E+00  9.11355013E-03
 2.53536450E-03  5.27059060E+00  9.70276460E-03
 2.84803590E-03  5.55148415E+00  1.03308563E-02
 3.19926710E-03  5.84688990E+00  1.10007342E-02
 3.59381370E-03  6.15155145E+00  1.17155854E-02
 4.03701730E-03  6.47138195E+00  1.24788676E-02
 4.53487850E-03  6.79943705E+00  1.32944144E-02
 5.09413800E-03  7.14300595E+00  1.41664061E-02
 5.72236770E-03  7.49338810E+00  1.50994843E-02
 6.42807310E-03  7.85933210E+00  1.60987272E-02
 7.22080900E-03  8.22857435E+00  1.71698938E-02
 8.11130830E-03  8.61265245E+00  1.83193333E-02
 9.11162760E-03  8.99715945E+00  1.95541575E-02
 1.02353100E-02  9.39569200E+00  2.08822090E-02
 1.14975700E-02  9.78843625E+00  2.23125140E-02
 1.29154970E-02  1.01931104E+01  2.38550935E-02
 1.45082880E-02  1.05881224E+01  2.55212186E-02
 1.62975080E-02  1.09931104E+01  2.73234157E-02
 1.83073830E-02  1.14312524E+01  2.92717470E-02
 2.05651230E-02  1.18956743E+01  3.13757377E-02
 2.31012970E-02  1.23078387E+01  3.36536001E-02
 2.59502420E-02  1.27109394E+01  3.61288711E-02
 2.91505310E-02  1.31919620E+01  3.88144629E-02
 3.27454920E-02  1.37205313E+01  4.17184567E-02
 3.67837980E-02  1.39881781E+01  4.48870169E-02
 4.13201240E-02  1.41416762E+01  4.83930554E-02
 4.64158880E-02  1.41326604E+01  5.23116363E-02
 5.21400830E-02  1.40605851E+01  5.67262791E-02
 5.85702080E-02  1.38606092E+01  6.17342470E-02
 6.57933220E-02  1.36015873E+01  6.74541791E-02
 7.39072200E-02  1.32281593E+01  7.40319574E-02
 8.30217570E-02  1.28099408E+01  8.16460588E-02
 9.32603350E-02  1.23559501E+01  9.04962395E-02
 1.04761580E-01  1.18911844E+01  1.00815420E-01
 1.17681200E-01  1.13612966E+01  1.12905924E-01
 1.32194110E-01  1.08022596E+01  1.27156588E-01
 1.48496830E-01  1.02435620E+01  1.44016035E-01
 1.66810050E-01  9.69719965E+00  1.64005209E-01
 1.87381740E-01  9.14166070E+00  1.87775993E-01
 2.10490410E-01  8.58547375E+00  2.16156315E-01
 2.36448940E-01  8.02215020E+00  2.50191364E-01
 2.65608780E-01  7.46237880E+00  2.91202075E-01
 2.98364720E-01  6.93561030E+00  3.40747462E-01
 3.35160270E-01  6.43980865E+00  4.00659925E-01
 3.76493580E-01  5.97095190E+00  4.73195760E-01
 4.22924290E-01  5.52825725E+00  5.61139935E-01
 4.75081020E-01  5.11688360E+00  6.67856197E-01
 5.33669920E-01  4.73386040E+00  7.97403079E-01
 5.99484250E-01  4.37318855E+00  9.54818751E-01
 6.73415070E-01  4.03230690E+00  1.14641876E+00
 7.56463330E-01  3.71721405E+00  1.37986693E+00
 8.49753440E-01  3.42451805E+00  1.66442908E+00
 9.54548460E-01  3.15495205E+00  2.01140082E+00
 1.07226720E+00  2.90582840E+00  2.43452719E+00
 1.20450350E+00  2.67514390E+00  2.95071101E+00
 1.35304780E+00  2.45946519E+00  3.58099214E+00
 1.51991110E+00  2.26110059E+00  4.35110121E+00
 1.70735260E+00  2.07782766E+00  5.29229037E+00
 1.91791030E+00  1.90794711E+00  6.44327134E+00
 2.15443470E+00  1.74824715E+00  7.85285726E+00
 2.42012830E+00  1.60169291E+00  9.58103845E+00
 2.71858820E+00  1.46632355E+00  1.17008005E+01
 3.05385550E+00  1.34167889E+00  1.43025443E+01
 3.43046930E+00  1.22532277E+00  1.74997660E+01
 3.85352860E+00  1.11885452E+00  2.14326854E+01
 4.32876130E+00  1.02064777E+00  2.62734576E+01
 4.86260160E+00  9.30921550E-01  3.22348973E+01
 5.46227720E+00  8.48258925E-01  3.95806803E+01
 6.13590730E+00  7.72467070E-01  4.86393896E+01
 6.89261210E+00  7.01865515E-01  5.98266864E+01
 7.74263680E+00  6.37651815E-01  7.36584312E+01
 8.69749000E+00  5.78944870E-01  9.07662765E+01
 9.77009960E+00  5.25642980E-01  1.11932648E+02
 1.09749880E+01  4.77152680E-01  1.38123234E+02
 1.23284670E+01  4.33019650E-01  1.70538166E+02
 1.38488640E+01  3.92413880E-01  2.10691222E+02
 1.55567610E+01  3.55662305E-01  2.60459792E+02
 1.74752840E+01  3.22503310E-01  3.22128144E+02
 1.96304070E+01  2.92310885E-01  3.98542174E+02
 2.20513070E+01  2.64222217E-01  4.93379967E+02
 2.47707640E+01  2.38891555E-01  6.11221603E+02
 2.78255940E+01  2.16326782E-01  7.57513698E+02
 3.12571580E+01  1.95888408E-01  9.38992475E+02
 3.51119170E+01  1.77313463E-01  1.16416673E+03
 3.94420610E+01  1.60464572E-01  1.44364338E+03
 4.43062150E+01  1.44839803E-01  1.79101741E+03
 4.97702360E+01  1.30752643E-01  2.22328998E+03
 5.59081020E+01  1.18227556E-01  2.76073586E+03
 6.28029140E+01  1.06895404E-01  3.42845096E+03
 7.05480230E+01  9.64861530E-02  4.25875375E+03
