#   nzt =   1
#    zt = 0.6000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31324700E+01
#    Te =  0.25000000E-01
#   rho =  0.15600000E+01
#  zbar =  0.10923947E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.57393337E+01  0.69486216E-02
 0.11233240E-02  0.60587819E+01  0.73654857E-02
 0.12618569E-02  0.63960489E+01  0.78090392E-02
 0.14174742E-02  0.67474962E+01  0.82811848E-02
 0.15922828E-02  0.71182169E+01  0.87839286E-02
 0.17886495E-02  0.75033128E+01  0.93194795E-02
 0.20092330E-02  0.79090766E+01  0.98902012E-02
 0.22570197E-02  0.83294794E+01  0.10498689E-01
 0.25353645E-02  0.87718927E+01  0.11147724E-01
 0.28480359E-02  0.92288511E+01  0.11840373E-01
 0.31992671E-02  0.97090441E+01  0.12579929E-01
 0.35938137E-02  0.10202854E+02  0.13370053E-01
 0.40370173E-02  0.10720856E+02  0.14214678E-01
 0.45348785E-02  0.11249393E+02  0.15118271E-01
 0.50941380E-02  0.11802395E+02  0.16085654E-01
 0.57223677E-02  0.12362175E+02  0.17122297E-01
 0.64280731E-02  0.12946142E+02  0.18234120E-01
 0.72208090E-02  0.13529705E+02  0.19427984E-01
 0.81113083E-02  0.14135942E+02  0.20711379E-01
 0.91116276E-02  0.14738117E+02  0.22092723E-01
 0.10235310E-01  0.15362191E+02  0.23581143E-01
 0.11497570E-01  0.15970591E+02  0.25187368E-01
 0.12915497E-01  0.16597664E+02  0.26923205E-01
 0.14508288E-01  0.17206860E+02  0.28801834E-01
 0.16297508E-01  0.17833564E+02  0.30838590E-01
 0.18307383E-01  0.18617077E+02  0.33038221E-01
 0.20565123E-01  0.19489783E+02  0.35399303E-01
 0.23101297E-01  0.20079386E+02  0.37952913E-01
 0.25950242E-01  0.20577178E+02  0.40745406E-01
 0.29150531E-01  0.20908842E+02  0.43820191E-01
 0.32745492E-01  0.21195033E+02  0.47222644E-01
 0.36783798E-01  0.21225250E+02  0.51016611E-01
 0.41320124E-01  0.21158228E+02  0.55283545E-01
 0.46415888E-01  0.20999204E+02  0.60103493E-01
 0.52140083E-01  0.20820963E+02  0.65560435E-01
 0.58570208E-01  0.20489955E+02  0.71766439E-01
 0.65793322E-01  0.20095906E+02  0.78863008E-01
 0.73907220E-01  0.19605062E+02  0.87013970E-01
 0.83021757E-01  0.19085648E+02  0.96409631E-01
 0.93260335E-01  0.18503967E+02  0.10727435E+00
 0.10476158E+00  0.17899968E+02  0.11987487E+00
 0.11768120E+00  0.17200442E+02  0.13455667E+00
 0.13219411E+00  0.16455334E+02  0.15176187E+00
 0.14849683E+00  0.15703912E+02  0.17199183E+00
 0.16681005E+00  0.14964540E+02  0.19581774E+00
 0.18738174E+00  0.14180909E+02  0.22398179E+00
 0.21049041E+00  0.13371686E+02  0.25745312E+00
 0.23644894E+00  0.12543958E+02  0.29743450E+00
 0.26560878E+00  0.11714794E+02  0.34542938E+00
 0.29836472E+00  0.10922705E+02  0.40321224E+00
 0.33516027E+00  0.10166366E+02  0.47289307E+00
 0.37649358E+00  0.94518107E+01  0.55704039E+00
 0.42292429E+00  0.87770107E+01  0.65877644E+00
 0.47508102E+00  0.81450658E+01  0.78188702E+00
 0.53366992E+00  0.75516683E+01  0.93097588E+00
 0.59948425E+00  0.69922697E+01  0.11117267E+01
 0.67341507E+00  0.64626550E+01  0.13312331E+01
 0.75646333E+00  0.59723030E+01  0.15980424E+01
 0.84975344E+00  0.55154162E+01  0.19224848E+01
 0.95454846E+00  0.50938004E+01  0.23171180E+01
 0.10722672E+01  0.47030359E+01  0.27971730E+01
 0.12045035E+01  0.43401052E+01  0.33813462E+01
 0.13530478E+01  0.39989337E+01  0.40930478E+01
 0.15199111E+01  0.36845481E+01  0.49607493E+01
 0.17073526E+01  0.33932345E+01  0.60188568E+01
 0.19179103E+01  0.31224448E+01  0.73099052E+01
 0.21544347E+01  0.28664478E+01  0.88879959E+01
 0.24201283E+01  0.26309842E+01  0.10819242E+02
 0.27185882E+01  0.24126303E+01  0.13183925E+02
 0.30538555E+01  0.22110010E+01  0.16081347E+02
 0.34304693E+01  0.20217173E+01  0.19637235E+02
 0.38535286E+01  0.18483762E+01  0.24006022E+02
 0.43287613E+01  0.16882684E+01  0.29376594E+02
 0.48626016E+01  0.15417385E+01  0.35982052E+02
 0.54622772E+01  0.14062819E+01  0.44112278E+02
 0.61359073E+01  0.12819878E+01  0.54127076E+02
 0.68926121E+01  0.11660747E+01  0.66482696E+02
 0.77426368E+01  0.10604075E+01  0.81743654E+02
 0.86974900E+01  0.96326815E+00  0.10060623E+03
 0.97700996E+01  0.87506081E+00  0.12393192E+03
 0.10974988E+02  0.79485635E+00  0.15277648E+03
 0.12328467E+02  0.72181822E+00  0.18844995E+03
 0.13848864E+02  0.65457497E+00  0.23261183E+03
 0.15556761E+02  0.59364892E+00  0.28731645E+03
 0.17475284E+02  0.53851647E+00  0.35506403E+03
 0.19630407E+02  0.48831005E+00  0.43896289E+03
 0.22051307E+02  0.44164117E+00  0.54304775E+03
 0.24770764E+02  0.39953504E+00  0.67232789E+03
 0.27825594E+02  0.36202254E+00  0.83271396E+03
 0.31257158E+02  0.32799650E+00  0.10315374E+04
 0.35111917E+02  0.29683502E+00  0.12782000E+04
 0.39442061E+02  0.26860147E+00  0.15843730E+04
 0.44306215E+02  0.24267761E+00  0.19647796E+04
 0.49770236E+02  0.21926908E+00  0.24377715E+04
 0.55908102E+02  0.19824608E+00  0.30256084E+04
 0.62802914E+02  0.17923092E+00  0.37559134E+04
 0.70548023E+02  0.16183067E+00  0.46639590E+04
 0.79248290E+02  0.14612324E+00  0.57937195E+04
 0.89021509E+02  0.13199561E+00  0.71989054E+04
 0.10000000E+03  0.11923502E+00  0.89464316E+04
