#   nzt = 2
#    zt = 6.0000E+00 8.0000E+00
#    wt = 1.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  2.93111333E+00
#    Te =  2.50000000E-02
#   rho =  1.56000000E+00
#  zbar =  1.69246237E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.86341393E+00  9.32825161E-03
 1.12332400E-03  5.13918873E+00  9.93234471E-03
 1.26185690E-03  5.43061260E+00  1.05745234E-02
 1.41747420E-03  5.73559260E+00  1.12573658E-02
 1.59228280E-03  6.05765363E+00  1.19836361E-02
 1.78864950E-03  6.39347540E+00  1.27563625E-02
 2.00923300E-03  6.74775147E+00  1.35788026E-02
 2.25701970E-03  7.11586290E+00  1.44545242E-02
 2.53536450E-03  7.50370973E+00  1.53873773E-02
 2.84803590E-03  7.90549033E+00  1.63815686E-02
 3.19926710E-03  8.32819573E+00  1.74416468E-02
 3.59381370E-03  8.76471493E+00  1.85725907E-02
 4.03701730E-03  9.22320553E+00  1.97797958E-02
 4.53487850E-03  9.69424267E+00  2.10692347E-02
 5.09413800E-03  1.01878943E+01  2.24474116E-02
 5.72236770E-03  1.06922681E+01  2.39215394E-02
 6.42807310E-03  1.12194753E+01  2.54995008E-02
 7.22080900E-03  1.17527197E+01  2.71902184E-02
 8.11130830E-03  1.23078527E+01  2.90035238E-02
 9.11162760E-03  1.28650757E+01  3.09504218E-02
 1.02353100E-02  1.34428417E+01  3.30430619E-02
 1.14975700E-02  1.40137763E+01  3.52954354E-02
 1.29154970E-02  1.46017823E+01  3.77231130E-02
 1.45082880E-02  1.51781097E+01  4.03435414E-02
 1.62975080E-02  1.57686367E+01  4.31761066E-02
 1.83073830E-02  1.64086280E+01  4.62363110E-02
 2.05651230E-02  1.70868273E+01  4.95387339E-02
 2.31012970E-02  1.76864160E+01  5.31120984E-02
 2.59502420E-02  1.82722597E+01  5.69936382E-02
 2.91505310E-02  1.89458280E+01  6.12062640E-02
