#   nzt =   1
#    zt = 0.2000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.41139100E+01
#    Te =  0.25000000E-01
#   rho =  0.15400000E+01
#  zbar =  0.23728437E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.97012226E+01  0.13718871E-01
 0.11233240E-02  0.10229180E+02  0.14542392E-01
 0.12618569E-02  0.10786126E+02  0.15419650E-01
 0.14174742E-02  0.11364688E+02  0.16354578E-01
 0.15922828E-02  0.11974513E+02  0.17351319E-01
 0.17886495E-02  0.12605903E+02  0.18414443E-01
 0.20092330E-02  0.13270777E+02  0.19548839E-01
 0.22570197E-02  0.13956976E+02  0.20759902E-01
 0.25353645E-02  0.14678854E+02  0.22053406E-01
 0.28480359E-02  0.15420704E+02  0.23435772E-01
 0.31992671E-02  0.16200306E+02  0.24913880E-01
 0.35938137E-02  0.16998307E+02  0.26495377E-01
 0.40370173E-02  0.17836198E+02  0.28188441E-01
 0.45348785E-02  0.18686878E+02  0.30002380E-01
 0.50941380E-02  0.19578992E+02  0.31947159E-01
 0.57223677E-02  0.20474742E+02  0.34034276E-01
 0.64280731E-02  0.21412754E+02  0.36276052E-01
 0.72208090E-02  0.22339150E+02  0.38687010E-01
 0.81113083E-02  0.23307116E+02  0.41282945E-01
 0.91116276E-02  0.24278783E+02  0.44080228E-01
 0.10235310E-01  0.25300975E+02  0.47096520E-01
 0.11497570E-01  0.26409787E+02  0.50345309E-01
 0.12915497E-01  0.27607896E+02  0.53837349E-01
 0.14508288E-01  0.28628821E+02  0.57605004E-01
 0.16297508E-01  0.29650808E+02  0.61691053E-01
 0.18307383E-01  0.30845601E+02  0.66113400E-01
 0.20565123E-01  0.32169272E+02  0.70877826E-01
 0.23101297E-01  0.32968650E+02  0.76054421E-01
 0.25950242E-01  0.33613605E+02  0.81743602E-01
 0.29150531E-01  0.33811430E+02  0.88055896E-01
 0.32745492E-01  0.33861434E+02  0.95122122E-01
 0.36783798E-01  0.33656670E+02  0.10307972E+00
 0.41320124E-01  0.33369713E+02  0.11208578E+00
 0.46415888E-01  0.32978091E+02  0.12230759E+00
 0.52140083E-01  0.32577363E+02  0.13392775E+00
 0.58570208E-01  0.32046350E+02  0.14717036E+00
