#   nzt =   1
#    zt = 0.2000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32353000E+01
#    Te =  0.25000000E-01
#   rho =  0.31662100E+01
#  zbar =  0.27784115E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.53245221E+01  0.25008110E-01
 0.11233240E-02  0.56333092E+01  0.26506713E-01
 0.12618569E-02  0.59600515E+01  0.28097784E-01
 0.14174742E-02  0.63031691E+01  0.29787445E-01
 0.15922828E-02  0.66661821E+01  0.31582122E-01
 0.17886495E-02  0.70460547E+01  0.33488904E-01
 0.20092330E-02  0.74477002E+01  0.35515318E-01
 0.22570197E-02  0.78664095E+01  0.37669695E-01
 0.25353645E-02  0.83086176E+01  0.39960927E-01
 0.28480359E-02  0.87683173E+01  0.42398785E-01
 0.31992671E-02  0.92531690E+01  0.44993734E-01
 0.35938137E-02  0.97560992E+01  0.47757228E-01
 0.40370173E-02  0.10285853E+02  0.50701539E-01
 0.45348785E-02  0.10833526E+02  0.53840221E-01
 0.50941380E-02  0.11409570E+02  0.57187814E-01
 0.57223677E-02  0.12003063E+02  0.60760399E-01
 0.64280731E-02  0.12626320E+02  0.64575227E-01
 0.72208090E-02  0.13263729E+02  0.68651843E-01
 0.81113083E-02  0.13931199E+02  0.73011391E-01
 0.91116276E-02  0.14609719E+02  0.77677618E-01
 0.10235310E-01  0.15317797E+02  0.82676321E-01
 0.11497570E-01  0.16031203E+02  0.88036856E-01
 0.12915497E-01  0.16771801E+02  0.93791304E-01
 0.14508288E-01  0.17503515E+02  0.99977709E-01
 0.16297508E-01  0.18255687E+02  0.10663890E+00
 0.18307383E-01  0.19015437E+02  0.11381813E+00
 0.20565123E-01  0.19799387E+02  0.12156204E+00
 0.23101297E-01  0.20595765E+02  0.12992068E+00
 0.25950242E-01  0.21417304E+02  0.13895282E+00
 0.29150531E-01  0.22480620E+02  0.14866458E+00
 0.32745492E-01  0.23683554E+02  0.15902522E+00
 0.36783798E-01  0.24458178E+02  0.17018057E+00
 0.41320124E-01  0.25046533E+02  0.18236945E+00
 0.46415888E-01  0.25328999E+02  0.19582857E+00
 0.52140083E-01  0.25493589E+02  0.21081767E+00
 0.58570208E-01  0.25485667E+02  0.22760680E+00
 0.65793322E-01  0.25411735E+02  0.24649616E+00
 0.73907220E-01  0.25168986E+02  0.26785132E+00
 0.83021757E-01  0.24873830E+02  0.29210429E+00
 0.93260335E-01  0.24565844E+02  0.31968395E+00
 0.10476158E+00  0.24274219E+02  0.35104064E+00
 0.11768120E+00  0.23913792E+02  0.38674151E+00
 0.13219411E+00  0.23531244E+02  0.42747840E+00
 0.14849683E+00  0.23149584E+02  0.47399113E+00
 0.16681005E+00  0.22780616E+02  0.52708388E+00
 0.18738174E+00  0.22335162E+02  0.58779754E+00
 0.21049041E+00  0.21828318E+02  0.65747245E+00
 0.23644894E+00  0.21254904E+02  0.73770837E+00
 0.26560878E+00  0.20630741E+02  0.83041187E+00
 0.29836472E+00  0.19913828E+02  0.93799272E+00
 0.33516027E+00  0.19104451E+02  0.10636012E+01
 0.37649358E+00  0.18266584E+02  0.12109445E+01
 0.42292429E+00  0.17406287E+02  0.13843239E+01
 0.47508102E+00  0.16479748E+02  0.15893530E+01
 0.53366992E+00  0.15479330E+02  0.18336440E+01
 0.59948425E+00  0.14474987E+02  0.21264907E+01
 0.67341507E+00  0.13467187E+02  0.24792534E+01
 0.75646333E+00  0.12505143E+02  0.29056322E+01
 0.84975344E+00  0.11583100E+02  0.34221564E+01
 0.95454846E+00  0.10726692E+02  0.40486786E+01
 0.10722672E+01  0.99302936E+01  0.48087820E+01
 0.12045035E+01  0.91896233E+01  0.57312270E+01
 0.13530478E+01  0.84928373E+01  0.68518412E+01
 0.15199111E+01  0.78578306E+01  0.82132095E+01
 0.17073526E+01  0.72759869E+01  0.98653590E+01
 0.19179103E+01  0.67420383E+01  0.11868731E+02
 0.21544347E+01  0.62406883E+01  0.14298960E+02
 0.24201283E+01  0.57866705E+01  0.17245716E+02
 0.27185882E+01  0.53716592E+01  0.20813288E+02
 0.30538555E+01  0.49872662E+01  0.25129014E+02
 0.34304693E+01  0.46133165E+01  0.30361175E+02
 0.38535286E+01  0.42696794E+01  0.36713333E+02
 0.43287613E+01  0.39452567E+01  0.44429958E+02
 0.48626016E+01  0.36471337E+01  0.53807998E+02
 0.54622772E+01  0.33637513E+01  0.65217316E+02
 0.61359073E+01  0.31001012E+01  0.79116239E+02
 0.68926121E+01  0.28435816E+01  0.96101098E+02
 0.77426368E+01  0.26084048E+01  0.11690198E+03
 0.86974900E+01  0.23879770E+01  0.14240246E+03
 0.97700996E+01  0.21868933E+01  0.17368710E+03
 0.10974988E+02  0.20014430E+01  0.21207417E+03
 0.12328467E+02  0.18315522E+01  0.25918799E+03
 0.13848864E+02  0.16722537E+01  0.31709410E+03
 0.15556761E+02  0.15272339E+01  0.38832906E+03
 0.17475284E+02  0.13937573E+01  0.47598225E+03
 0.19630407E+02  0.12720410E+01  0.58386204E+03
 0.22051307E+02  0.11589200E+01  0.71676999E+03
 0.24770764E+02  0.10561576E+01  0.88061774E+03
 0.27825594E+02  0.96174701E+00  0.10826678E+04
 0.31257158E+02  0.87598561E+00  0.13318776E+04
 0.35111917E+02  0.79720504E+00  0.16393682E+04
 0.39442061E+02  0.72561816E+00  0.20188473E+04
 0.44306215E+02  0.65908452E+00  0.24877147E+04
 0.49770236E+02  0.59876966E+00  0.30675359E+04
 0.55908102E+02  0.54378185E+00  0.37846103E+04
 0.62802914E+02  0.49389821E+00  0.46714539E+04
 0.70548023E+02  0.44794229E+00  0.57691497E+04
 0.79248290E+02  0.40629957E+00  0.71286451E+04
 0.89021509E+02  0.36820161E+00  0.88131353E+04
 0.10000000E+03  0.33369740E+00  0.10901358E+05
