#   nzt = 2
#    zt = 2.0000E+01 6.0000E+00
#    wt = 1.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  2.94125667E+00
#    Te =  2.50000000E-02
#   rho =  2.22000000E+00
#  zbar =  1.89019287E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  4.56041773E+00  1.45622505E-02
 1.12332400E-03  4.82065327E+00  1.55004007E-02
 1.26185690E-03  5.09575647E+00  1.64973569E-02
 1.41747420E-03  5.38410850E+00  1.75570459E-02
 1.59228280E-03  5.68875327E+00  1.86836719E-02
 1.78864950E-03  6.00688433E+00  1.98818426E-02
 2.00923300E-03  6.34268873E+00  2.11565087E-02
 2.25701970E-03  6.69204570E+00  2.25130985E-02
 2.53536450E-03  7.06037473E+00  2.39574639E-02
 2.84803590E-03  7.44245850E+00  2.54959922E-02
 3.19926710E-03  7.84475903E+00  2.71355808E-02
 3.59381370E-03  8.26103910E+00  2.88837488E-02
 4.03701730E-03  8.69873413E+00  3.07486263E-02
 4.53487850E-03  9.14987460E+00  3.27391508E-02
 5.09413800E-03  9.62341793E+00  3.48650182E-02
 5.72236770E-03  1.01094244E+01  3.71369132E-02
 6.42807310E-03  1.06186524E+01  3.95664494E-02
 7.22080900E-03  1.11370680E+01  4.21666657E-02
 8.11130830E-03  1.16790120E+01  4.49517970E-02
 9.11162760E-03  1.22281523E+01  4.79375862E-02
 1.02353100E-02  1.28019683E+01  5.11411171E-02
 1.14975700E-02  1.33803273E+01  5.45813671E-02
 1.29154970E-02  1.39853150E+01  5.82787823E-02
 1.45082880E-02  1.45906753E+01  6.22562255E-02
 1.62975080E-02  1.52244630E+01  6.65384666E-02
 1.83073830E-02  1.58916033E+01  7.11476857E-02
 2.05651230E-02  1.66030487E+01  7.61057190E-02
 2.31012970E-02  1.73222077E+01  8.14403147E-02
 2.59502420E-02  1.80766770E+01  8.71830602E-02
 2.91505310E-02  1.90245230E+01  9.33382141E-02
 3.27454920E-02  2.00999407E+01  9.98959547E-02
 3.67837980E-02  2.08485600E+01  1.06933980E-01
 4.13201240E-02  2.14578120E+01  1.14585892E-01
 4.64158880E-02  2.18368807E+01  1.22985319E-01
 5.21400830E-02  2.21144783E+01  1.32279707E-01
 5.85702080E-02  2.21945897E+01  1.42636629E-01
 6.57933220E-02  2.21674730E+01  1.54257319E-01
 7.39072200E-02  2.19452283E+01  1.67386143E-01
 8.30217570E-02  2.16244543E+01  1.82318514E-01
 9.32603350E-02  2.12182477E+01  1.99377939E-01
 1.04761580E-01  2.07659723E+01  2.18934474E-01
 1.17681200E-01  2.01736243E+01  2.41467784E-01
 1.32194110E-01  1.95040553E+01  2.67587665E-01
 1.48496830E-01  1.88029833E+01  2.97980381E-01
 1.66810050E-01  1.80951267E+01  3.33426487E-01
 1.87381740E-01  1.73333317E+01  3.74900638E-01
 2.10490410E-01  1.65358093E+01  4.23639617E-01
 2.36448940E-01  1.57028400E+01  4.81165303E-01
 2.65608780E-01  1.48558710E+01  5.49344174E-01
 2.98364720E-01  1.40209267E+01  6.30396910E-01
 3.35160270E-01  1.31992523E+01  7.26993326E-01
 3.76493580E-01  1.24058862E+01  8.42351281E-01
 4.22924290E-01  1.16424575E+01  9.80331016E-01
 4.75081020E-01  1.09019095E+01  1.14567938E+00
 5.33669920E-01  1.01768111E+01  1.34435352E+00
 5.99484250E-01  9.47947960E+00  1.58369546E+00
 6.73415070E-01  8.80497233E+00  1.87275140E+00
 7.56463330E-01  8.17601933E+00  2.22238021E+00
 8.49753440E-01  7.58484307E+00  2.64554454E+00
 9.54548460E-01  7.03840780E+00  3.15786921E+00
 1.07226720E+00  6.53114273E+00  3.77807497E+00
 1.20450350E+00  6.05795467E+00  4.52904425E+00
 1.35304780E+00  5.61024520E+00  5.43925484E+00
 1.51991110E+00  5.19681157E+00  6.54317645E+00
 1.70735260E+00  4.81198383E+00  7.88216037E+00
 1.91791030E+00  4.45312447E+00  9.50705192E+00
 2.15443470E+00  4.11162513E+00  1.14817466E+01
 2.42012830E+00  3.79688960E+00  1.38840066E+01
 2.71858820E+00  3.50359897E+00  1.68073574E+01
 3.05385550E+00  3.23154063E+00  2.03669701E+01
 3.43046930E+00  2.97314993E+00  2.47078149E+01
 3.85352860E+00  2.73495830E+00  3.00082117E+01
 4.32876130E+00  2.51201447E+00  3.64859210E+01
 4.86260160E+00  2.30729680E+00  4.44081948E+01
 5.46227720E+00  2.11623703E+00  5.41042612E+01
 6.13590730E+00  1.93960283E+00  6.59839247E+01
 6.89261210E+00  1.77183667E+00  8.05688199E+01
 7.74263680E+00  1.61836363E+00  9.85047915E+01
 8.69749000E+00  1.47603951E+00  1.20579945E+02
 9.77009960E+00  1.34647976E+00  1.47765901E+02
 1.09749880E+01  1.22793555E+00  1.81248289E+02
 1.23284670E+01  1.11964475E+00  2.22494485E+02
 1.38488640E+01  1.01908985E+00  2.73355508E+02
 1.55567610E+01  9.27758027E-01  3.36119335E+02
 1.74752840E+01  8.44518473E-01  4.13568657E+02
 1.96304070E+01  7.68559387E-01  5.09157585E+02
 2.20513070E+01  6.97764720E-01  6.27293158E+02
 2.47707640E+01  6.33612533E-01  7.73445757E+02
 2.78255940E+01  5.75546113E-01  9.54214529E+02
 3.12571580E+01  5.22796273E-01  1.17776544E+03
 3.51119170E+01  4.74520463E-01  1.45433243E+03
 3.94420610E+01  4.30644667E-01  1.79664011E+03
 4.43062150E+01  3.89971280E-01  2.22081942E+03
 4.97702360E+01  3.53167890E-01  2.74697906E+03
 5.59081020E+01  3.20028920E-01  3.39941787E+03
 6.28029140E+01  2.89986050E-01  4.20823544E+03
 7.05480230E+01  2.62352983E-01  5.21174036E+03
 7.92482900E+01  2.37359200E-01  6.45771212E+03
 8.90215090E+01  2.14693587E-01  8.00492027E+03
 1.00000000E+02  1.94196280E-01  9.92640118E+03
