#   nzt =   1
#    zt = 0.6000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.27217600E+01
#    Te =  0.25000000E-01
#   rho =  0.27100000E+01
#  zbar =  0.27903910E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.39659563E+01  0.10055698E-01
 0.11233240E-02  0.41923965E+01  0.10658541E-01
 0.12618569E-02  0.44317684E+01  0.11299126E-01
 0.14174742E-02  0.46827696E+01  0.11979995E-01
 0.15922828E-02  0.49479465E+01  0.12703831E-01
 0.17886495E-02  0.52251212E+01  0.13473585E-01
 0.20092330E-02  0.55176949E+01  0.14292400E-01
 0.22570197E-02  0.58225330E+01  0.15163739E-01
 0.25353645E-02  0.61439428E+01  0.16091301E-01
 0.28480359E-02  0.64778726E+01  0.17079152E-01
 0.31992671E-02  0.68294858E+01  0.18131654E-01
 0.35938137E-02  0.71939323E+01  0.19253582E-01
 0.40370173E-02  0.75771176E+01  0.20450068E-01
 0.45348785E-02  0.79730566E+01  0.21726766E-01
 0.50941380E-02  0.83886258E+01  0.23089760E-01
 0.57223677E-02  0.88159249E+01  0.24545832E-01
 0.64280731E-02  0.92633571E+01  0.26102297E-01
 0.72208090E-02  0.97193235E+01  0.27767498E-01
 0.81113083E-02  0.10195008E+02  0.29550514E-01
 0.91116276E-02  0.10676679E+02  0.31461545E-01
 0.10235310E-01  0.11177321E+02  0.33511728E-01
 0.11497570E-01  0.11681807E+02  0.35713483E-01
 0.12915497E-01  0.12204272E+02  0.38080350E-01
 0.14508288E-01  0.12722893E+02  0.40628061E-01
 0.16297508E-01  0.13256111E+02  0.43374121E-01
 0.18307383E-01  0.13790330E+02  0.46337123E-01
 0.20565123E-01  0.14340010E+02  0.49537368E-01
 0.23101297E-01  0.14900658E+02  0.52995819E-01
 0.25950242E-01  0.15480778E+02  0.56736048E-01
 0.29150531E-01  0.16179094E+02  0.60768249E-01
 0.32745492E-01  0.16951833E+02  0.65093239E-01
 0.36783798E-01  0.17553564E+02  0.69756843E-01
 0.41320124E-01  0.18086458E+02  0.74830922E-01
 0.46415888E-01  0.18609795E+02  0.80367757E-01
 0.52140083E-01  0.19145786E+02  0.86408301E-01
 0.58570208E-01  0.19365439E+02  0.93059571E-01
 0.65793322E-01  0.19419450E+02  0.10047955E+00
 0.73907220E-01  0.19227249E+02  0.10884698E+00
 0.83021757E-01  0.18915057E+02  0.11837255E+00
 0.93260335E-01  0.18451262E+02  0.12929777E+00
 0.10476158E+00  0.17909441E+02  0.14190951E+00
 0.11768120E+00  0.17221691E+02  0.15657539E+00
 0.13219411E+00  0.16454445E+02  0.17376825E+00
 0.14849683E+00  0.15659766E+02  0.19402574E+00
 0.16681005E+00  0.14863513E+02  0.21796874E+00
 0.18738174E+00  0.14054178E+02  0.24636048E+00
 0.21049041E+00  0.13244824E+02  0.28014522E+00
 0.23644894E+00  0.12419073E+02  0.32051973E+00
 0.26560878E+00  0.11593962E+02  0.36900748E+00
 0.29836472E+00  0.10810238E+02  0.42739434E+00
 0.33516027E+00  0.10066985E+02  0.49778324E+00
 0.37649358E+00  0.93669765E+01  0.58272804E+00
 0.42292429E+00  0.87078229E+01  0.68532806E+00
 0.47508102E+00  0.80896563E+01  0.80934703E+00
 0.53366992E+00  0.75082730E+01  0.95937660E+00
 0.59948425E+00  0.69610558E+01  0.11410554E+01
 0.67341507E+00  0.64438782E+01  0.13613688E+01
 0.75646333E+00  0.59635842E+01  0.16287537E+01
 0.84975344E+00  0.55149994E+01  0.19534322E+01
 0.95454846E+00  0.50989126E+01  0.23478641E+01
 0.10722672E+01  0.47111572E+01  0.28272601E+01
 0.12045035E+01  0.43517573E+01  0.34101595E+01
 0.13530478E+01  0.40155211E+01  0.41194143E+01
 0.15199111E+01  0.37035211E+01  0.49830422E+01
 0.17073526E+01  0.34118049E+01  0.60355268E+01
 0.19179103E+01  0.31402481E+01  0.73193924E+01
 0.21544347E+01  0.28834061E+01  0.88883586E+01
 0.24201283E+01  0.26469868E+01  0.10808075E+02
 0.27185882E+01  0.24276028E+01  0.13158319E+02
 0.30538555E+01  0.22251582E+01  0.16037632E+02
 0.34304693E+01  0.20356184E+01  0.19569992E+02
 0.38535286E+01  0.18612533E+01  0.23908501E+02
 0.43287613E+01  0.16988632E+01  0.29243713E+02
 0.48626016E+01  0.15504982E+01  0.35810145E+02
 0.54622772E+01  0.14139955E+01  0.43895363E+02
 0.61359073E+01  0.12887978E+01  0.53856533E+02
 0.68926121E+01  0.11722991E+01  0.66146762E+02
 0.77426368E+01  0.10660720E+01  0.81326678E+02
 0.86974900E+01  0.96844805E+00  0.10008852E+03
 0.97700996E+01  0.87964672E+00  0.12329019E+03
 0.10974988E+02  0.79844616E+00  0.15199485E+03
 0.12328467E+02  0.72468578E+00  0.18751977E+03
 0.13848864E+02  0.65736907E+00  0.23150117E+03
 0.15556761E+02  0.59632457E+00  0.28596577E+03
 0.17475284E+02  0.54094812E+00  0.35340846E+03
 0.19630407E+02  0.49049878E+00  0.43693049E+03
 0.22051307E+02  0.44351282E+00  0.54056324E+03
 0.24770764E+02  0.40112733E+00  0.66931431E+03
 0.27825594E+02  0.36336286E+00  0.82908785E+03
 0.31257158E+02  0.32915301E+00  0.10272075E+04
 0.35111917E+02  0.29811456E+00  0.12729091E+04
 0.39442061E+02  0.26993260E+00  0.15776393E+04
 0.44306215E+02  0.24367425E+00  0.19563206E+04
 0.49770236E+02  0.22000234E+00  0.24275997E+04
 0.55908102E+02  0.19901580E+00  0.30133359E+04
 0.62802914E+02  0.18001533E+00  0.37405909E+04
 0.70548023E+02  0.16246629E+00  0.46448640E+04
 0.79248290E+02  0.14663295E+00  0.57704895E+04
 0.89021509E+02  0.13245844E+00  0.71707967E+04
 0.10000000E+03  0.11965511E+00  0.89121822E+04
