#   nzt =   1
#    zt = 0.2000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.30085400E+01
#    Te =  0.25000000E-01
#   rho =  0.27100000E+01
#  zbar =  0.36244063E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.44190239E+01  0.30117470E-01
 0.11233240E-02  0.46733238E+01  0.31922632E-01
 0.12618569E-02  0.49422898E+01  0.33839995E-01
 0.14174742E-02  0.52247701E+01  0.35876993E-01
 0.15922828E-02  0.55234069E+01  0.38041468E-01
 0.17886495E-02  0.58361586E+01  0.40342011E-01
 0.20092330E-02  0.61665795E+01  0.42787765E-01
 0.22570197E-02  0.65117011E+01  0.45388747E-01
 0.25353645E-02  0.68760213E+01  0.48155641E-01
 0.28480359E-02  0.72556904E+01  0.51100124E-01
 0.31992671E-02  0.76561228E+01  0.54234673E-01
 0.35938137E-02  0.80727011E+01  0.57572888E-01
 0.40370173E-02  0.85116924E+01  0.61129300E-01
 0.45348785E-02  0.89674076E+01  0.64919811E-01
 0.50941380E-02  0.94472449E+01  0.68961412E-01
 0.57223677E-02  0.99438196E+01  0.73272835E-01
 0.64280731E-02  0.10466221E+02  0.77874087E-01
 0.72208090E-02  0.11003826E+02  0.82787600E-01
 0.81113083E-02  0.11568674E+02  0.88037434E-01
 0.91116276E-02  0.12148391E+02  0.93650122E-01
 0.10235310E-01  0.12757297E+02  0.99654048E-01
 0.11497570E-01  0.13381997E+02  0.10608016E+00
 0.12915497E-01  0.14038825E+02  0.11296126E+00
 0.14508288E-01  0.14708471E+02  0.12033435E+00
 0.16297508E-01  0.15412718E+02  0.12823911E+00
 0.18307383E-01  0.16141267E+02  0.13671569E+00
 0.20565123E-01  0.16913254E+02  0.14580572E+00
 0.23101297E-01  0.17728653E+02  0.15554913E+00
 0.25950242E-01  0.18602524E+02  0.16598833E+00
 0.29150531E-01  0.19653174E+02  0.17712657E+00
 0.32745492E-01  0.20846502E+02  0.18893679E+00
 0.36783798E-01  0.21891093E+02  0.20150449E+00
 0.41320124E-01  0.22896384E+02  0.21497881E+00
 0.46415888E-01  0.23856063E+02  0.22947986E+00
 0.52140083E-01  0.24810571E+02  0.24512205E+00
 0.58570208E-01  0.25493186E+02  0.26211888E+00
 0.65793322E-01  0.26015903E+02  0.28076603E+00
 0.73907220E-01  0.26286239E+02  0.30139845E+00
 0.83021757E-01  0.26417741E+02  0.32440228E+00
 0.93260335E-01  0.26385124E+02  0.35019850E+00
 0.10476158E+00  0.26254970E+02  0.37926454E+00
 0.11768120E+00  0.25943608E+02  0.41219454E+00
 0.13219411E+00  0.25521455E+02  0.44972138E+00
 0.14849683E+00  0.25032347E+02  0.49264288E+00
 0.16681005E+00  0.24509787E+02  0.54183659E+00
 0.18738174E+00  0.23871024E+02  0.59842443E+00
 0.21049041E+00  0.23145934E+02  0.66384203E+00
 0.23644894E+00  0.22342116E+02  0.73980784E+00
 0.26560878E+00  0.21490385E+02  0.82836676E+00
 0.29836472E+00  0.20563131E+02  0.93206004E+00
 0.33516027E+00  0.19565838E+02  0.10541654E+01
 0.37649358E+00  0.18576089E+02  0.11984996E+01
 0.42292429E+00  0.17598196E+02  0.13694519E+01
 0.47508102E+00  0.16616034E+02  0.15724883E+01
 0.53366992E+00  0.15620718E+02  0.18146027E+01
 0.59948425E+00  0.14649353E+02  0.21042738E+01
 0.67341507E+00  0.13695342E+02  0.24518479E+01
 0.75646333E+00  0.12797040E+02  0.28696108E+01
 0.84975344E+00  0.11943396E+02  0.33721721E+01
 0.95454846E+00  0.11148922E+02  0.39770156E+01
 0.10722672E+01  0.10406264E+02  0.47048820E+01
 0.12045035E+01  0.97082762E+01  0.55810029E+01
 0.13530478E+01  0.90390468E+01  0.66370811E+01
 0.15199111E+01  0.84161463E+01  0.79112509E+01
 0.17073526E+01  0.78312264E+01  0.94489740E+01
 0.19179103E+01  0.72836104E+01  0.11305601E+02
 0.21544347E+01  0.67578941E+01  0.13550973E+02
 0.24201283E+01  0.62705424E+01  0.16269431E+02
 0.27185882E+01  0.58126846E+01  0.19562121E+02
 0.30538555E+01  0.53860537E+01  0.23552576E+02
 0.34304693E+01  0.49760824E+01  0.28397910E+02
 0.38535286E+01  0.45963305E+01  0.34289767E+02
 0.43287613E+01  0.42368405E+01  0.41463119E+02
 0.48626016E+01  0.39059336E+01  0.50204021E+02
 0.54622772E+01  0.35950005E+01  0.60863662E+02
 0.61359073E+01  0.33063970E+01  0.73876629E+02
 0.68926121E+01  0.30296230E+01  0.89802795E+02
 0.77426368E+01  0.27756726E+01  0.10932895E+03
 0.86974900E+01  0.25383484E+01  0.13329420E+03
 0.97700996E+01  0.23218837E+01  0.16272875E+03
 0.10974988E+02  0.21227222E+01  0.19888610E+03
 0.12328467E+02  0.19405106E+01  0.24331121E+03
 0.13848864E+02  0.17707880E+01  0.29795445E+03
 0.15556761E+02  0.16162648E+01  0.36521333E+03
 0.17475284E+02  0.14744501E+01  0.44801244E+03
 0.19630407E+02  0.13448491E+01  0.54996650E+03
 0.22051307E+02  0.12238731E+01  0.67568680E+03
 0.24770764E+02  0.11139646E+01  0.83086558E+03
 0.27825594E+02  0.10136874E+01  0.10224036E+04
 0.31257158E+02  0.92240959E+00  0.12588366E+04
 0.35111917E+02  0.83835221E+00  0.15508972E+04
 0.39442061E+02  0.76189343E+00  0.19118585E+04
 0.44306215E+02  0.69103507E+00  0.23585110E+04
 0.49770236E+02  0.62680998E+00  0.29117111E+04
 0.55908102E+02  0.56863592E+00  0.35967508E+04
 0.62802914E+02  0.51584408E+00  0.44449298E+04
 0.70548023E+02  0.46718875E+00  0.54961569E+04
 0.79248290E+02  0.42314035E+00  0.68000254E+04
 0.89021509E+02  0.38316148E+00  0.84173546E+04
 0.10000000E+03  0.34696891E+00  0.10423864E+05
