#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.24911100E+01
#    Te =  0.25000000E-01
#   rho =  0.27100000E+01
#  zbar =  0.12800886E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.30305566E+01  0.17531324E-01
 0.11233240E-02  0.32044878E+01  0.18582183E-01
 0.12618569E-02  0.33884081E+01  0.19698522E-01
 0.14174742E-02  0.35814393E+01  0.20884711E-01
 0.15922828E-02  0.37854463E+01  0.22145359E-01
 0.17886495E-02  0.39988464E+01  0.23485539E-01
 0.20092330E-02  0.42241948E+01  0.24910655E-01
 0.22570197E-02  0.44591415E+01  0.26426659E-01
 0.25353645E-02  0.47069732E+01  0.28039913E-01
 0.28480359E-02  0.49646710E+01  0.29757394E-01
 0.31992671E-02  0.52361628E+01  0.31586580E-01
 0.35938137E-02  0.55178373E+01  0.33535652E-01
 0.40370173E-02  0.58141917E+01  0.35613388E-01
 0.45348785E-02  0.61207054E+01  0.37829460E-01
 0.50941380E-02  0.64426743E+01  0.40194265E-01
 0.57223677E-02  0.67743330E+01  0.42719332E-01
 0.64280731E-02  0.71220284E+01  0.45417076E-01
 0.72208090E-02  0.74774858E+01  0.48301556E-01
 0.81113083E-02  0.78490159E+01  0.51388014E-01
 0.91116276E-02  0.82267860E+01  0.54693505E-01
 0.10235310E-01  0.86206104E+01  0.58236527E-01
 0.11497570E-01  0.90191768E+01  0.62037720E-01
 0.12915497E-01  0.94339988E+01  0.66119356E-01
 0.14508288E-01  0.98489673E+01  0.70507077E-01
 0.16297508E-01  0.10279774E+02  0.75228946E-01
 0.18307383E-01  0.10719394E+02  0.80313383E-01
 0.20565123E-01  0.11179775E+02  0.85790277E-01
 0.23101297E-01  0.11658327E+02  0.91689764E-01
 0.25950242E-01  0.12163229E+02  0.98045476E-01
 0.29150531E-01  0.12787328E+02  0.10486274E+00
 0.32745492E-01  0.13490228E+02  0.11212719E+00
 0.36783798E-01  0.14031952E+02  0.11991561E+00
 0.41320124E-01  0.14509099E+02  0.12835423E+00
 0.46415888E-01  0.14897276E+02  0.13755609E+00
 0.52140083E-01  0.15254218E+02  0.14763541E+00
 0.58570208E-01  0.15464413E+02  0.15874886E+00
 0.65793322E-01  0.15599476E+02  0.17109479E+00
 0.73907220E-01  0.15608936E+02  0.18490140E+00
 0.83021757E-01  0.15560020E+02  0.20043230E+00
 0.93260335E-01  0.15433748E+02  0.21797936E+00
 0.10476158E+00  0.15266415E+02  0.23787680E+00
 0.11768120E+00  0.14994455E+02  0.26055465E+00
 0.13219411E+00  0.14663952E+02  0.28655368E+00
 0.14849683E+00  0.14308224E+02  0.31645578E+00
 0.16681005E+00  0.13945312E+02  0.35089443E+00
 0.18738174E+00  0.13519279E+02  0.39069191E+00
 0.21049041E+00  0.13049680E+02  0.43691060E+00
 0.23644894E+00  0.12544892E+02  0.49081357E+00
 0.26560878E+00  0.12021434E+02  0.55390001E+00
