#   nzt = 3
#    zt = 2.0000E+01 6.0000E+00 8.0000E+00
#    wt = 1.0000E+00 1.0000E+00 3.0000E+00
#    zp = 1.0000E+00
#    rs =  2.67189000E+00
#    Te =  2.50000000E-02
#   rho =  2.71000000E+00
#  zbar =  1.60846982E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.61985428E+00  1.73632854E-02
 1.12332400E-03  3.82903134E+00  1.84702147E-02
 1.26185690E-03  4.05033810E+00  1.96457225E-02
 1.41747420E-03  4.28274064E+00  2.08942990E-02
 1.59228280E-03  4.52859376E+00  2.22207294E-02
 1.78864950E-03  4.78601700E+00  2.36302281E-02
 2.00923300E-03  5.05822284E+00  2.51283702E-02
 2.25701970E-03  5.34238440E+00  2.67212360E-02
 2.53536450E-03  5.64261866E+00  2.84153526E-02
 2.84803590E-03  5.95527384E+00  3.02178175E-02
 3.19926710E-03  6.28525462E+00  3.21362694E-02
 3.59381370E-03  6.62819520E+00  3.41790006E-02
 4.03701730E-03  6.98969690E+00  3.63549494E-02
 4.53487850E-03  7.36428834E+00  3.86738810E-02
 5.09413800E-03  7.75855942E+00  4.11463555E-02
 5.72236770E-03  8.16551792E+00  4.37839784E-02
 6.42807310E-03  8.59303442E+00  4.65993459E-02
 7.22080900E-03  9.03096732E+00  4.96065841E-02
 8.11130830E-03  9.48954422E+00  5.28211562E-02
 9.11162760E-03  9.95655410E+00  5.62602497E-02
 1.02353100E-02  1.04438153E+01  5.99427475E-02
 1.14975700E-02  1.09368331E+01  6.38897268E-02
 1.29154970E-02  1.14489191E+01  6.81243984E-02
 1.45082880E-02  1.19588198E+01  7.26735782E-02
 1.62975080E-02  1.24840434E+01  7.75673567E-02
 1.83073830E-02  1.30138870E+01  8.28371572E-02
 2.05651230E-02  1.35601966E+01  8.85171041E-02
 2.31012970E-02  1.41170382E+01  9.46431917E-02
 2.59502420E-02  1.46920390E+01  1.01254149E-01
 2.91505310E-02  1.53958034E+01  1.08364880E-01
 3.27454920E-02  1.61766498E+01  1.15977869E-01
 3.67837980E-02  1.67485736E+01  1.24178209E-01
 4.13201240E-02  1.72324692E+01  1.33103247E-01
 4.64158880E-02  1.76145036E+01  1.42879709E-01
 5.21400830E-02  1.79655244E+01  1.53635781E-01
 5.85702080E-02  1.81329636E+01  1.65545479E-01
 6.57933220E-02  1.82134358E+01  1.78832923E-01
 7.39072200E-02  1.81475594E+01  1.93754010E-01
 8.30217570E-02  1.80235682E+01  2.10603510E-01
 9.32603350E-02  1.78258350E+01  2.29701659E-01
 1.04761580E-01  1.75974462E+01  2.51414257E-01
 1.17681200E-01  1.72688916E+01  2.76197668E-01
 1.32194110E-01  1.68891362E+01  3.04616356E-01
 1.48496830E-01  1.64910902E+01  3.37284371E-01
 1.66810050E-01  1.60909642E+01  3.74880894E-01
 1.87381740E-01  1.56261538E+01  4.18270205E-01
 2.10490410E-01  1.51133128E+01  4.68564878E-01
 2.36448940E-01  1.45555754E+01  5.27106186E-01
 2.65608780E-01  1.39678760E+01  5.95513884E-01
 2.98364720E-01  1.33390696E+01  6.75791552E-01
 3.35160270E-01  1.26706290E+01  7.70479448E-01
 3.76493580E-01  1.20014820E+01  8.82618499E-01
 4.22924290E-01  1.13342323E+01  1.01581327E+00
 4.75081020E-01  1.06518566E+01  1.17464382E+00
 5.33669920E-01  9.94993836E+00  1.36508555E+00
 5.99484250E-01  9.25961778E+00  1.59454426E+00
 6.73415070E-01  8.57971070E+00  1.87213782E+00
 7.56463330E-01  7.93739948E+00  2.20894280E+00
 8.49753440E-01  7.32812750E+00  2.61833198E+00
 9.54548460E-01  6.76343340E+00  3.11652519E+00
 1.07226720E+00  6.23897448E+00  3.72306146E+00
 1.20450350E+00  5.75256414E+00  4.46185631E+00
 1.35304780E+00  5.29682282E+00  5.36256985E+00
 1.51991110E+00  4.87951782E+00  6.46114034E+00
 1.70735260E+00  4.49500070E+00  7.80073961E+00
 1.91791030E+00  4.14157782E+00  9.43411514E+00
 2.15443470E+00  3.81089936E+00  1.14268512E+01
 2.42012830E+00  3.50985096E+00  1.38584025E+01
 2.71858820E+00  3.23338382E+00  1.68237291E+01
 3.05385550E+00  2.97908558E+00  2.04393698E+01
 3.43046930E+00  2.73844332E+00  2.48528727E+01
 3.85352860E+00  2.51805106E+00  3.02454128E+01
 4.32876130E+00  2.31263066E+00  3.68372343E+01
 4.86260160E+00  2.12496824E+00  4.48977554E+01
 5.46227720E+00  1.95025028E+00  5.47579721E+01
 6.13590730E+00  1.78894152E+00  6.68299133E+01
 6.89261210E+00  1.63533510E+00  8.16397000E+01
 7.74263680E+00  1.49485652E+00  9.98387917E+01
 8.69749000E+00  1.36412755E+00  1.22223091E+02
