#   nzt =   1
#    zt = 0.2000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32564300E+01
#    Te =  0.25000000E-01
#   rho =  0.31800000E+01
#  zbar =  0.28271035E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.57456788E+01  0.23163464E-01
 0.11233240E-02  0.60748068E+01  0.24551998E-01
 0.12618569E-02  0.64228027E+01  0.26027203E-01
 0.14174742E-02  0.67878531E+01  0.27594891E-01
 0.15922828E-02  0.71736121E+01  0.29261190E-01
 0.17886495E-02  0.75767147E+01  0.31032877E-01
 0.20092330E-02  0.80023032E+01  0.32917169E-01
 0.22570197E-02  0.84452554E+01  0.34922061E-01
 0.25353645E-02  0.89123452E+01  0.37056105E-01
 0.28480359E-02  0.93970709E+01  0.39328704E-01
 0.31992671E-02  0.99075086E+01  0.41749944E-01
 0.35938137E-02  0.10435979E+02  0.44330880E-01
 0.40370173E-02  0.10991674E+02  0.47083382E-01
 0.45348785E-02  0.11564883E+02  0.50020585E-01
 0.50941380E-02  0.12166538E+02  0.53156627E-01
 0.57223677E-02  0.12784658E+02  0.56507199E-01
 0.64280731E-02  0.13432124E+02  0.60089202E-01
 0.72208090E-02  0.14091895E+02  0.63921840E-01
 0.81113083E-02  0.14780780E+02  0.68025952E-01
 0.91116276E-02  0.15478280E+02  0.72424972E-01
 0.10235310E-01  0.16204309E+02  0.77144359E-01
 0.11497570E-01  0.16933330E+02  0.82212989E-01
 0.12915497E-01  0.17689505E+02  0.87662241E-01
 0.14508288E-01  0.18435555E+02  0.93528986E-01
 0.16297508E-01  0.19204670E+02  0.99854235E-01
 0.18307383E-01  0.19985651E+02  0.10667867E+00
 0.20565123E-01  0.20799553E+02  0.11404507E+00
 0.23101297E-01  0.21636967E+02  0.12199807E+00
 0.25950242E-01  0.22516520E+02  0.13058878E+00
 0.29150531E-01  0.23679168E+02  0.13981391E+00
 0.32745492E-01  0.25023927E+02  0.14963045E+00
 0.36783798E-01  0.25931684E+02  0.16016503E+00
 0.41320124E-01  0.26664892E+02  0.17163195E+00
 0.46415888E-01  0.27078151E+02  0.18424122E+00
 0.52140083E-01  0.27370242E+02  0.19822494E+00
 0.58570208E-01  0.27481354E+02  0.21382033E+00
 0.65793322E-01  0.27516734E+02  0.23129103E+00
 0.73907220E-01  0.27344848E+02  0.25096770E+00
 0.83021757E-01  0.27089402E+02  0.27325008E+00
 0.93260335E-01  0.26783405E+02  0.29854453E+00
 0.10476158E+00  0.26462254E+02  0.32728792E+00
 0.11768120E+00  0.26006864E+02  0.36005448E+00
 0.13219411E+00  0.25473948E+02  0.39757564E+00
 0.14849683E+00  0.24902070E+02  0.44065266E+00
 0.16681005E+00  0.24303650E+02  0.49018861E+00
 0.18738174E+00  0.23621766E+02  0.54732161E+00
 0.21049041E+00  0.22880522E+02  0.61346719E+00
 0.23644894E+00  0.22065312E+02  0.69035187E+00
 0.26560878E+00  0.21207747E+02  0.78006189E+00
 0.29836472E+00  0.20294858E+02  0.88513997E+00
 0.33516027E+00  0.19331922E+02  0.10087923E+01
 0.37649358E+00  0.18371684E+02  0.11547993E+01
 0.42292429E+00  0.17419668E+02  0.13275684E+01
 0.47508102E+00  0.16448163E+02  0.15326643E+01
 0.53366992E+00  0.15447674E+02  0.17773578E+01
 0.59948425E+00  0.14464207E+02  0.20704973E+01
 0.67341507E+00  0.13493288E+02  0.24228982E+01
 0.75646333E+00  0.12578044E+02  0.28474400E+01
 0.84975344E+00  0.11712178E+02  0.33593626E+01
 0.95454846E+00  0.10910553E+02  0.39768166E+01
 0.10722672E+01  0.10165697E+02  0.47212884E+01
 0.12045035E+01  0.94706441E+01  0.56188356E+01
 0.13530478E+01  0.88124250E+01  0.67018214E+01
 0.15199111E+01  0.82059673E+01  0.80087786E+01
 0.17073526E+01  0.76427116E+01  0.95852066E+01
 0.19179103E+01  0.71172166E+01  0.11486450E+02
 0.21544347E+01  0.66138271E+01  0.13782528E+02
 0.24201283E+01  0.61482894E+01  0.16557631E+02
 0.27185882E+01  0.57123986E+01  0.19911823E+02
 0.30538555E+01  0.53035109E+01  0.23968115E+02
 0.34304693E+01  0.49077078E+01  0.28884715E+02
 0.38535286E+01  0.45402634E+01  0.34853883E+02
 0.43287613E+01  0.41922825E+01  0.42109384E+02
 0.48626016E+01  0.38705288E+01  0.50936260E+02
 0.54622772E+01  0.35663151E+01  0.61687038E+02
 0.61359073E+01  0.32826678E+01  0.74798712E+02
 0.68926121E+01  0.30087826E+01  0.90837176E+02
 0.77426368E+01  0.27571323E+01  0.11049652E+03
 0.86974900E+01  0.25219785E+01  0.13461995E+03
 0.97700996E+01  0.23072644E+01  0.16424328E+03
 0.10974988E+02  0.21098781E+01  0.20062500E+03
 0.12328467E+02  0.19290676E+01  0.24531595E+03
 0.13848864E+02  0.17599863E+01  0.30028877E+03
 0.15556761E+02  0.16062038E+01  0.36796632E+03
 0.17475284E+02  0.14655904E+01  0.45127596E+03
 0.19630407E+02  0.13371658E+01  0.55383164E+03
 0.22051307E+02  0.12174081E+01  0.68024671E+03
 0.24770764E+02  0.11085890E+01  0.83621142E+03
 0.27825594E+02  0.10091168E+01  0.10286464E+04
 0.31257158E+02  0.91859504E+00  0.12661080E+04
 0.35111917E+02  0.83540475E+00  0.15592890E+04
 0.39442061E+02  0.75967833E+00  0.19214085E+04
 0.44306215E+02  0.68941379E+00  0.23692312E+04
 0.49770236E+02  0.62566236E+00  0.29235790E+04
 0.55908102E+02  0.56780918E+00  0.36097367E+04
 0.62802914E+02  0.51526751E+00  0.44590050E+04
 0.70548023E+02  0.46685484E+00  0.55111877E+04
 0.79248290E+02  0.42298545E+00  0.68157171E+04
