#   nzt =   1
#    zt = 0.9000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25626100E+01
#    Te =  0.25000000E-01
#   rho =  0.31800000E+01
#  zbar =  0.18430736E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.33043927E+01  0.19093215E-01
 0.11233240E-02  0.34940503E+01  0.20237696E-01
 0.12618569E-02  0.36945995E+01  0.21453486E-01
 0.14174742E-02  0.39050912E+01  0.22745344E-01
 0.15922828E-02  0.41275503E+01  0.24118289E-01
 0.17886495E-02  0.43602605E+01  0.25577843E-01
 0.20092330E-02  0.46059978E+01  0.27129891E-01
 0.22570197E-02  0.48622097E+01  0.28780913E-01
 0.25353645E-02  0.51324681E+01  0.30537836E-01
 0.28480359E-02  0.54134916E+01  0.32408259E-01
 0.31992671E-02  0.57095483E+01  0.34400325E-01
 0.35938137E-02  0.60167156E+01  0.36522943E-01
 0.40370173E-02  0.63398740E+01  0.38785675E-01
 0.45348785E-02  0.66741220E+01  0.41199053E-01
 0.50941380E-02  0.70251932E+01  0.43774404E-01
 0.57223677E-02  0.73868245E+01  0.46524290E-01
 0.64280731E-02  0.77658840E+01  0.49462244E-01
 0.72208090E-02  0.81533580E+01  0.52603597E-01
 0.81113083E-02  0.85582283E+01  0.55964986E-01
 0.91116276E-02  0.89697288E+01  0.59565046E-01
 0.10235310E-01  0.93983612E+01  0.63424044E-01
 0.11497570E-01  0.98316115E+01  0.67564660E-01
 0.12915497E-01  0.10281418E+02  0.72011547E-01
 0.14508288E-01  0.10729420E+02  0.76793382E-01
 0.16297508E-01  0.11191560E+02  0.81942003E-01
 0.18307383E-01  0.11658030E+02  0.87490598E-01
 0.20565123E-01  0.12140817E+02  0.93475033E-01
 0.23101297E-01  0.12637540E+02  0.99931850E-01
 0.25950242E-01  0.13155578E+02  0.10690210E+00
 0.29150531E-01  0.13796066E+02  0.11439628E+00
 0.32745492E-01  0.14515685E+02  0.12240274E+00
 0.36783798E-01  0.15058198E+02  0.13100984E+00
 0.41320124E-01  0.15530496E+02  0.14036013E+00
 0.46415888E-01  0.15913078E+02  0.15057984E+00
 0.52140083E-01  0.16269038E+02  0.16179401E+00
 0.58570208E-01  0.16466853E+02  0.17417823E+00
 0.65793322E-01  0.16588568E+02  0.18795607E+00
 0.73907220E-01  0.16578264E+02  0.20338377E+00
 0.83021757E-01  0.16510704E+02  0.22075719E+00
 0.93260335E-01  0.16366824E+02  0.24040118E+00
 0.10476158E+00  0.16185535E+02  0.26268571E+00
 0.11768120E+00  0.15898888E+02  0.28808574E+00
 0.13219411E+00  0.15555284E+02  0.31719751E+00
 0.14849683E+00  0.15188930E+02  0.35065990E+00
 0.16681005E+00  0.14817974E+02  0.38916672E+00
 0.18738174E+00  0.14385643E+02  0.43361240E+00
 0.21049041E+00  0.13911311E+02  0.48514485E+00
 0.23644894E+00  0.13400762E+02  0.54512781E+00
 0.26560878E+00  0.12870795E+02  0.61517915E+00
 0.29836472E+00  0.12310772E+02  0.69727925E+00
 0.33516027E+00  0.11723362E+02  0.79393188E+00
 0.37649358E+00  0.11147046E+02  0.90804392E+00
 0.42292429E+00  0.10583068E+02  0.10429391E+01
