#   nzt = 2
#    zt = 2.0000E+01 9.0000E+00
#    wt = 1.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  2.76271667E+00
#    Te =  2.50000000E-02
#   rho =  3.18000000E+00
#  zbar =  1.44958984E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.88085727E+00  2.10140153E-02
 1.12332400E-03  4.10455593E+00  2.23565056E-02
 1.26185690E-03  4.34118893E+00  2.37823640E-02
 1.41747420E-03  4.58938090E+00  2.52971061E-02
 1.59228280E-03  4.85184313E+00  2.69066213E-02
 1.78864950E-03  5.12624013E+00  2.86173427E-02
 2.00923300E-03  5.41621717E+00  3.04361654E-02
 2.25701970E-03  5.71841280E+00  3.23706215E-02
 2.53536450E-03  6.03744257E+00  3.44288139E-02
 2.84803590E-03  6.36905467E+00  3.66195661E-02
 3.19926710E-03  6.71872820E+00  3.89523875E-02
 3.59381370E-03  7.08129887E+00  4.14376357E-02
 4.03701730E-03  7.46313960E+00  4.40864886E-02
 4.53487850E-03  7.85749260E+00  4.69112361E-02
 5.09413800E-03  8.27215667E+00  4.99251876E-02
 5.72236770E-03  8.69866153E+00  5.31429923E-02
 6.42807310E-03  9.14633440E+00  5.65805546E-02
 7.22080900E-03  9.60316660E+00  6.02557281E-02
 8.11130830E-03  1.00812244E+01  6.41880526E-02
 9.11162760E-03  1.05661773E+01  6.83992553E-02
 1.02353100E-02  1.10719617E+01  7.29131964E-02
 1.14975700E-02  1.15790143E+01  7.77570844E-02
 1.29154970E-02  1.21047439E+01  8.29610702E-02
 1.45082880E-02  1.26265099E+01  8.85591876E-02
 1.62975080E-02  1.31639153E+01  9.45893714E-02
 1.83073830E-02  1.37332143E+01  1.01084502E-01
 2.05651230E-02  1.43307820E+01  1.08077419E-01
 2.31012970E-02  1.48900250E+01  1.15621697E-01
 2.59502420E-02  1.54485770E+01  1.23783766E-01
 2.91505310E-02  1.60991107E+01  1.32600991E-01
 3.27454920E-02  1.68070023E+01  1.42097747E-01
 3.67837980E-02  1.72647100E+01  1.52400851E-01
 4.13201240E-02  1.76192180E+01  1.63704849E-01
 4.64158880E-02  1.78252623E+01  1.76202325E-01
 5.21400830E-02  1.79841920E+01  1.90097993E-01
 5.85702080E-02  1.80309003E+01  2.05618878E-01
 6.57933220E-02  1.80354200E+01  2.23029280E-01
 7.39072200E-02  1.79485537E+01  2.42632450E-01
 8.30217570E-02  1.78380173E+01  2.64774666E-01
 9.32603350E-02  1.76968987E+01  2.89824100E-01
 1.04761580E-01  1.75520307E+01  3.18191783E-01
 1.17681200E-01  1.73351750E+01  3.50391380E-01
 1.32194110E-01  1.70853253E+01  3.87053392E-01
 1.48496830E-01  1.68268507E+01  4.28854263E-01
 1.66810050E-01  1.65708413E+01  4.76534040E-01
 1.87381740E-01  1.62462710E+01  5.31046102E-01
 2.10490410E-01  1.58681783E+01  5.93624758E-01
 2.36448940E-01  1.54409993E+01  6.65733863E-01
 2.65608780E-01  1.49776183E+01  7.49113250E-01
 2.98364720E-01  1.44506357E+01  8.45939667E-01
 3.35160270E-01  1.38616657E+01  9.59008004E-01
 3.76493580E-01  1.32591523E+01  1.09160741E+00
 4.22924290E-01  1.26471647E+01  1.24755593E+00
 4.75081020E-01  1.19879870E+01  1.43181070E+00
 5.33669920E-01  1.12747711E+01  1.65104631E+00
 5.99484250E-01  1.05611477E+01  1.91344010E+00
 6.73415070E-01  9.84629553E+00  2.22887078E+00
 7.56463330E-01  9.15663360E+00  2.60941985E+00
 8.49753440E-01  8.48431440E+00  3.06995898E+00
 9.54548460E-01  7.85629980E+00  3.62847068E+00
 1.07226720E+00  7.26711827E+00  4.30639963E+00
