#   nzt =   1
#    zt = 0.2000E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.30230100E+01
#    Te =  0.25000000E-01
#   rho =  0.33400000E+01
#  zbar =  0.35807154E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.44601140E+01  0.29840005E-01
 0.11233240E-02  0.47167543E+01  0.31628541E-01
 0.12618569E-02  0.49881955E+01  0.33528254E-01
 0.14174742E-02  0.52732681E+01  0.35546512E-01
 0.15922828E-02  0.55746456E+01  0.37691086E-01
 0.17886495E-02  0.58902461E+01  0.39970493E-01
 0.20092330E-02  0.62236767E+01  0.42393799E-01
 0.22570197E-02  0.65718998E+01  0.44970937E-01
 0.25353645E-02  0.69394930E+01  0.47712505E-01
 0.28480359E-02  0.73225234E+01  0.50630084E-01
 0.31992671E-02  0.77265006E+01  0.53736053E-01
 0.35938137E-02  0.81467144E+01  0.57043900E-01
 0.40370173E-02  0.85895410E+01  0.60568042E-01
 0.45348785E-02  0.90491718E+01  0.64324251E-01
 0.50941380E-02  0.95331442E+01  0.68329385E-01
 0.57223677E-02  0.10033952E+02  0.72602020E-01
 0.64280731E-02  0.10560841E+02  0.77161994E-01
 0.72208090E-02  0.11103032E+02  0.82031548E-01
 0.81113083E-02  0.11672772E+02  0.87234521E-01
 0.91116276E-02  0.12257494E+02  0.92797206E-01
 0.10235310E-01  0.12871794E+02  0.98747712E-01
 0.11497570E-01  0.13502072E+02  0.10511667E+00
 0.12915497E-01  0.14164987E+02  0.11193653E+00
 0.14508288E-01  0.14840695E+02  0.11924394E+00
 0.16297508E-01  0.15551414E+02  0.12707825E+00
 0.18307383E-01  0.16287022E+02  0.13547912E+00
 0.20565123E-01  0.17067038E+02  0.14448755E+00
 0.23101297E-01  0.17891699E+02  0.15414269E+00
 0.25950242E-01  0.18776222E+02  0.16448621E+00
 0.29150531E-01  0.19846172E+02  0.17551897E+00
 0.32745492E-01  0.21064894E+02  0.18721024E+00
 0.36783798E-01  0.22120649E+02  0.19964711E+00
 0.41320124E-01  0.23129950E+02  0.21298284E+00
 0.46415888E-01  0.24072571E+02  0.22734490E+00
 0.52140083E-01  0.24999441E+02  0.24285764E+00
 0.58570208E-01  0.25652248E+02  0.25973816E+00
 0.65793322E-01  0.26154234E+02  0.27827867E+00
 0.73907220E-01  0.26403233E+02  0.29881092E+00
 0.83021757E-01  0.26510300E+02  0.32172412E+00
 0.93260335E-01  0.26461022E+02  0.34743910E+00
 0.10476158E+00  0.26321028E+02  0.37642744E+00
 0.11768120E+00  0.26001103E+02  0.40927976E+00
 0.13219411E+00  0.25568617E+02  0.44673061E+00
 0.14849683E+00  0.25069902E+02  0.48958096E+00
 0.16681005E+00  0.24542406E+02  0.53870560E+00
 0.18738174E+00  0.23899463E+02  0.59522235E+00
 0.21049041E+00  0.23170617E+02  0.66056631E+00
