#   nzt =   1
#    zt = 0.8000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.25984000E+01
#    Te =  0.25000000E-01
#   rho =  0.33400000E+01
#  zbar =  0.22353037E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.34408238E+01  0.15440974E-01
 0.11233240E-02  0.36381673E+01  0.16366551E-01
 0.12618569E-02  0.38468371E+01  0.17349838E-01
 0.14174742E-02  0.40658306E+01  0.18394688E-01
 0.15922828E-02  0.42972679E+01  0.19505168E-01
 0.17886495E-02  0.45393987E+01  0.20685743E-01
 0.20092330E-02  0.47950830E+01  0.21941174E-01
 0.22570197E-02  0.50617685E+01  0.23276691E-01
 0.25353645E-02  0.53430893E+01  0.24697881E-01
 0.28480359E-02  0.56357459E+01  0.26210873E-01
 0.31992671E-02  0.59440923E+01  0.27822230E-01
 0.35938137E-02  0.62641692E+01  0.29539129E-01
 0.40370173E-02  0.66009712E+01  0.31369270E-01
 0.45348785E-02  0.69495859E+01  0.33321119E-01
 0.50941380E-02  0.73158615E+01  0.35403774E-01
 0.57223677E-02  0.76934044E+01  0.37627327E-01
 0.64280731E-02  0.80893091E+01  0.40002642E-01
 0.72208090E-02  0.84943079E+01  0.42542021E-01
 0.81113083E-02  0.89177424E+01  0.45258802E-01
 0.91116276E-02  0.93486384E+01  0.48167889E-01
 0.10235310E-01  0.97978905E+01  0.51285472E-01
 0.11497570E-01  0.10253212E+02  0.54629542E-01
 0.12915497E-01  0.10726711E+02  0.58219598E-01
 0.14508288E-01  0.11200581E+02  0.62078155E-01
 0.16297508E-01  0.11690698E+02  0.66230092E-01
 0.18307383E-01  0.12186605E+02  0.70701513E-01
 0.20565123E-01  0.12700845E+02  0.75520625E-01
 0.23101297E-01  0.13230383E+02  0.80716223E-01
 0.25950242E-01  0.13783092E+02  0.86320463E-01
 0.29150531E-01  0.14448729E+02  0.92344784E-01
 0.32745492E-01  0.15189661E+02  0.98785785E-01
 0.36783798E-01  0.15778892E+02  0.10570830E+00
 0.41320124E-01  0.16308814E+02  0.11321560E+00
 0.46415888E-01  0.16792521E+02  0.12139183E+00
 0.52140083E-01  0.17269134E+02  0.13031337E+00
 0.58570208E-01  0.17534641E+02  0.14012066E+00
 0.65793322E-01  0.17691657E+02  0.15100649E+00
 0.73907220E-01  0.17681719E+02  0.16318665E+00
 0.83021757E-01  0.17595122E+02  0.17690826E+00
 0.93260335E-01  0.17403068E+02  0.19244725E+00
 0.10476158E+00  0.17157751E+02  0.21012228E+00
 0.11768120E+00  0.16792138E+02  0.23033673E+00
 0.13219411E+00  0.16360716E+02  0.25359652E+00
 0.14849683E+00  0.15901178E+02  0.28045112E+00
 0.16681005E+00  0.15435088E+02  0.31150393E+00
 0.18738174E+00  0.14902091E+02  0.34753568E+00
 0.21049041E+00  0.14322932E+02  0.38955665E+00
 0.23644894E+00  0.13704341E+02  0.43878450E+00
 0.26560878E+00  0.13064939E+02  0.49668543E+00
 0.29836472E+00  0.12396416E+02  0.56507250E+00
 0.33516027E+00  0.11701656E+02  0.64626288E+00
 0.37649358E+00  0.11021964E+02  0.74299721E+00
 0.42292429E+00  0.10358150E+02  0.85849261E+00
 0.47508102E+00  0.97055378E+01  0.99674576E+00
 0.53366992E+00  0.90581850E+01  0.11628357E+01
 0.59948425E+00  0.84315987E+01  0.13630155E+01
 0.67341507E+00  0.78216575E+01  0.16050468E+01
 0.75646333E+00  0.72500307E+01  0.18982624E+01
 0.84975344E+00  0.67104681E+01  0.22538899E+01
 0.95454846E+00  0.62096083E+01  0.26855559E+01
 0.10722672E+01  0.57427935E+01  0.32097177E+01
 0.12045035E+01  0.53076384E+01  0.38465571E+01
 0.13530478E+01  0.48971392E+01  0.46212969E+01
 0.15199111E+01  0.45168603E+01  0.55646969E+01
 0.17073526E+01  0.41616168E+01  0.67143170E+01
 0.19179103E+01  0.38326566E+01  0.81161903E+01
 0.21544347E+01  0.35237322E+01  0.98276826E+01
 0.24201283E+01  0.32390842E+01  0.11919003E+02
 0.27185882E+01  0.29744686E+01  0.14476027E+02
 0.30538555E+01  0.27305359E+01  0.17604317E+02
 0.34304693E+01  0.25025766E+01  0.21435651E+02
 0.38535286E+01  0.22929876E+01  0.26132119E+02
 0.43287613E+01  0.20980891E+01  0.31894361E+02
 0.48626016E+01  0.19200945E+01  0.38967982E+02
 0.54622772E+01  0.17565483E+01  0.47651937E+02
 0.61359073E+01  0.16059068E+01  0.58317308E+02
 0.68926121E+01  0.14643411E+01  0.71440558E+02
 0.77426368E+01  0.13349353E+01  0.87609463E+02
 0.86974900E+01  0.12152395E+01  0.10754848E+03
 0.97700996E+01  0.11061831E+01  0.13215360E+03
 0.10974988E+02  0.10060943E+01  0.16253118E+03
 0.12328467E+02  0.91486176E+00  0.20005234E+03
 0.13848864E+02  0.83080501E+00  0.24643757E+03
 0.15556761E+02  0.75448845E+00  0.30381592E+03
 0.17475284E+02  0.68504275E+00  0.37479637E+03
 0.19630407E+02  0.62177358E+00  0.46261891E+03
 0.22051307E+02  0.56305007E+00  0.57144917E+03
 0.24770764E+02  0.50996062E+00  0.70645525E+03
 0.27825594E+02  0.46232203E+00  0.87380966E+03
 0.31257158E+02  0.41910776E+00  0.10811662E+04
 0.35111917E+02  0.37965149E+00  0.13382139E+04
 0.39442061E+02  0.34385433E+00  0.16569693E+04
 0.44306215E+02  0.31081402E+00  0.20527442E+04
 0.49770236E+02  0.28097714E+00  0.25446246E+04
 0.55908102E+02  0.25431512E+00  0.31554282E+04
 0.62802914E+02  0.23016433E+00  0.39134054E+04
 0.70548023E+02  0.20786910E+00  0.48552851E+04
 0.79248290E+02  0.18774066E+00  0.60269115E+04
 0.89021509E+02  0.16971113E+00  0.74834314E+04
 0.10000000E+03  0.15341451E+00  0.92934504E+04
