#   nzt = 2
#    zt = 2.0000E+01 8.0000E+00
#    wt = 1.0000E+00 1.0000E+00
#    zp = 1.0000E+00
#    rs =  2.76764000E+00
#    Te =  2.50000000E-02
#   rho =  3.34000000E+00
#  zbar =  2.20485030E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  3.81477500E+00  2.31595464E-02
 1.12332400E-03  4.03616065E+00  2.46306660E-02
 1.26185690E-03  4.27040870E+00  2.61925669E-02
 1.41747420E-03  4.51649765E+00  2.78511713E-02
 1.59228280E-03  4.77687610E+00  2.96127859E-02
 1.78864950E-03  5.04967680E+00  3.14842711E-02
 2.00923300E-03  5.33821770E+00  3.34729554E-02
 2.25701970E-03  5.63969020E+00  3.55868170E-02
 2.53536450E-03  5.95831800E+00  3.78344134E-02
 2.84803590E-03  6.29044930E+00  4.02250406E-02
 3.19926710E-03  6.64112215E+00  4.27686950E-02
 3.59381370E-03  7.00597970E+00  4.54762138E-02
 4.03701730E-03  7.39078660E+00  4.83592628E-02
 4.53487850E-03  7.79013645E+00  5.14305526E-02
 5.09413800E-03  8.21080650E+00  5.47037968E-02
 5.72236770E-03  8.64584570E+00  5.81940295E-02
 6.42807310E-03  9.10340805E+00  6.19175209E-02
 7.22080900E-03  9.57335265E+00  6.58924540E-02
 8.11130830E-03  1.00662803E+01  7.01386691E-02
 9.11162760E-03  1.05699800E+01  7.46781365E-02
 1.02353100E-02  1.10966455E+01  7.95349210E-02
 1.14975700E-02  1.16320222E+01  8.47357326E-02
 1.29154970E-02  1.21895657E+01  9.03099009E-02
 1.45082880E-02  1.27481281E+01  9.62912010E-02
 1.62975080E-02  1.33252945E+01  1.02717454E-01
 1.83073830E-02  1.39089025E+01  1.09628502E-01
 2.05651230E-02  1.45117540E+01  1.17067723E-01
 2.31012970E-02  1.51296060E+01  1.25080200E-01
 2.59502420E-02  1.57695055E+01  1.33714136E-01
 2.91505310E-02  1.65365090E+01  1.42990616E-01
 3.27454920E-02  1.73817500E+01  1.52916858E-01
 3.67837980E-02  1.80370355E+01  1.63594623E-01
 4.13201240E-02  1.86150790E+01  1.75185044E-01
 4.64158880E-02  1.91220235E+01  1.87830260E-01
 5.21400830E-02  1.96116710E+01  2.01669823E-01
 5.85702080E-02  1.98875185E+01  2.16915548E-01
 6.57933220E-02  2.00615215E+01  2.33848781E-01
 7.39072200E-02  2.00685940E+01  2.52785512E-01
 8.30217570E-02  2.00077405E+01  2.74086446E-01
 9.32603350E-02  1.98686190E+01  2.98135140E-01
 1.04761580E-01  1.96990025E+01  3.25361609E-01
