#   nzt =   1
#    zt = 0.4800E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.32646500E+01
#    Te =  0.25000000E-01
#   rho =  0.86420000E+01
#  zbar =  0.23289792E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.61994692E+01  0.60204498E-01
 0.11233240E-02  0.65538227E+01  0.63813676E-01
 0.12618569E-02  0.69284609E+01  0.67648572E-01
 0.14174742E-02  0.73212787E+01  0.71724392E-01
 0.15922828E-02  0.77363472E+01  0.76057164E-01
 0.17886495E-02  0.81700650E+01  0.80664551E-01
 0.20092330E-02  0.86279645E+01  0.85565372E-01
 0.22570197E-02  0.91048344E+01  0.90780373E-01
 0.25353645E-02  0.96077460E+01  0.96331726E-01
 0.28480359E-02  0.10130116E+02  0.10224376E+00
 0.31992671E-02  0.10680353E+02  0.10854253E+00
 0.35938137E-02  0.11250502E+02  0.11525662E+00
 0.40370173E-02  0.11850303E+02  0.12241665E+00
 0.45348785E-02  0.12469439E+02  0.13005655E+00
 0.50941380E-02  0.13119750E+02  0.13821278E+00
 0.57223677E-02  0.13788298E+02  0.14692579E+00
 0.64280731E-02  0.14489293E+02  0.15623909E+00
 0.72208090E-02  0.15204428E+02  0.16620200E+00
 0.81113083E-02  0.15952330E+02  0.17686786E+00
 0.91116276E-02  0.16711346E+02  0.18829637E+00
 0.10235310E-01  0.17503745E+02  0.20055189E+00
 0.11497570E-01  0.18301583E+02  0.21370748E+00
 0.12915497E-01  0.19134257E+02  0.22784163E+00
 0.14508288E-01  0.19970574E+02  0.24304157E+00
 0.16297508E-01  0.20849212E+02  0.25940082E+00
 0.18307383E-01  0.21798245E+02  0.27699119E+00
 0.20565123E-01  0.22831485E+02  0.29587072E+00
 0.23101297E-01  0.23876516E+02  0.31613470E+00
 0.25950242E-01  0.24997200E+02  0.33789791E+00
 0.29150531E-01  0.26371870E+02  0.36116087E+00
 0.32745492E-01  0.27943567E+02  0.38585133E+00
 0.36783798E-01  0.29171823E+02  0.41221630E+00
 0.41320124E-01  0.30285987E+02  0.44067134E+00
 0.46415888E-01  0.31176357E+02  0.47159710E+00
 0.52140083E-01  0.31990214E+02  0.50539992E+00
 0.58570208E-01  0.32595645E+02  0.54253860E+00
