#   nzt =   1
#    zt = 0.1700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.36847600E+01
#    Te =  0.25000000E-01
#   rho =  0.18960000E+01
#  zbar =  0.91151119E+00
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.88927997E+01  0.13237161E-01
 0.11233240E-02  0.93728984E+01  0.14031930E-01
 0.12618569E-02  0.98791100E+01  0.14878912E-01
 0.14174742E-02  0.10404930E+02  0.15781940E-01
 0.15922828E-02  0.10958877E+02  0.16745051E-01
 0.17886495E-02  0.11531973E+02  0.17772722E-01
 0.20092330E-02  0.12135074E+02  0.18869742E-01
 0.22570197E-02  0.12756083E+02  0.20041448E-01
 0.25353645E-02  0.13408723E+02  0.21293560E-01
 0.28480359E-02  0.14076695E+02  0.22632508E-01
 0.31992671E-02  0.14777458E+02  0.24065212E-01
 0.35938137E-02  0.15491767E+02  0.25599367E-01
 0.40370173E-02  0.16239828E+02  0.27243258E-01
 0.45348785E-02  0.16995847E+02  0.29006317E-01
 0.50941380E-02  0.17785531E+02  0.30898714E-01
 0.57223677E-02  0.18571027E+02  0.32932396E-01
 0.64280731E-02  0.19387956E+02  0.35120323E-01
 0.72208090E-02  0.20181296E+02  0.37478073E-01
 0.81113083E-02  0.21000844E+02  0.40022944E-01
 0.91116276E-02  0.21816522E+02  0.42772537E-01
 0.10235310E-01  0.22663197E+02  0.45746516E-01
 0.11497570E-01  0.23634397E+02  0.48956232E-01
 0.12915497E-01  0.24683249E+02  0.52408451E-01
 0.14508288E-01  0.25450465E+02  0.56145535E-01
 0.16297508E-01  0.26161467E+02  0.60224796E-01
 0.18307383E-01  0.26819998E+02  0.64689325E-01
 0.20565123E-01  0.27495424E+02  0.69579358E-01
 0.23101297E-01  0.27902422E+02  0.74965270E-01
 0.25950242E-01  0.28242526E+02  0.80935669E-01
 0.29150531E-01  0.28422346E+02  0.87582026E-01
 0.32745492E-01  0.28588031E+02  0.95002284E-01
 0.36783798E-01  0.28589340E+02  0.10331399E+00
 0.41320124E-01  0.28552462E+02  0.11265796E+00
 0.46415888E-01  0.28467824E+02  0.12317809E+00
 0.52140083E-01  0.28411087E+02  0.13502255E+00
 0.58570208E-01  0.28219431E+02  0.14838625E+00
 0.65793322E-01  0.27985772E+02  0.16351271E+00
 0.73907220E-01  0.27678784E+02  0.18067140E+00
 0.83021757E-01  0.27358976E+02  0.20016412E+00
 0.93260335E-01  0.26941165E+02  0.22235905E+00
 0.10476158E+00  0.26479138E+02  0.24769966E+00
 0.11768120E+00  0.25885854E+02  0.27674097E+00
 0.13219411E+00  0.25218838E+02  0.31017450E+00
 0.14849683E+00  0.24512869E+02  0.34877303E+00
 0.16681005E+00  0.23794214E+02  0.39339907E+00
 0.18738174E+00  0.22928085E+02  0.44522904E+00
 0.21049041E+00  0.21954165E+02  0.50585321E+00
 0.23644894E+00  0.20919352E+02  0.57715946E+00
 0.26560878E+00  0.19852147E+02  0.66140243E+00
 0.29836472E+00  0.18771584E+02  0.76130727E+00
 0.33516027E+00  0.17682876E+02  0.88023723E+00
 0.37649358E+00  0.16630901E+02  0.10221839E+01
 0.42292429E+00  0.15614005E+02  0.11918839E+01
 0.47508102E+00  0.14648040E+02  0.13950076E+01
 0.53366992E+00  0.13723909E+02  0.16383899E+01
 0.59948425E+00  0.12843453E+02  0.19303607E+01
 0.67341507E+00  0.11999343E+02  0.22811526E+01
 0.75646333E+00  0.11211320E+02  0.27029178E+01
 0.84975344E+00  0.10466996E+02  0.32102244E+01
 0.95454846E+00  0.97781661E+01  0.38204451E+01
 0.10722672E+01  0.91390960E+01  0.45539689E+01
 0.12045035E+01  0.85344162E+01  0.54358545E+01
 0.13530478E+01  0.79508957E+01  0.64980962E+01
 0.15199111E+01  0.74106652E+01  0.77786886E+01
 0.17073526E+01  0.69070029E+01  0.93219922E+01
 0.19179103E+01  0.64316933E+01  0.11182591E+02
 0.21544347E+01  0.59678472E+01  0.13431466E+02
 0.24201283E+01  0.55370579E+01  0.16154200E+02
 0.27185882E+01  0.51293396E+01  0.19453329E+02
 0.30538555E+01  0.47482647E+01  0.23454831E+02
 0.34304693E+01  0.43797261E+01  0.28319997E+02
 0.38535286E+01  0.40380561E+01  0.34246247E+02
 0.43287613E+01  0.37138410E+01  0.41476399E+02
 0.48626016E+01  0.34157387E+01  0.50307080E+02
 0.54622772E+01  0.31370732E+01  0.61100577E+02
 0.61359073E+01  0.28797377E+01  0.74304174E+02
 0.68926121E+01  0.26360971E+01  0.90486290E+02
 0.77426368E+01  0.24129118E+01  0.11034471E+03
 0.86974900E+01  0.22050444E+01  0.13473750E+03
 0.97700996E+01  0.20157877E+01  0.16471727E+03
 0.10974988E+02  0.18426626E+01  0.20155672E+03
 0.12328467E+02  0.16842370E+01  0.24682518E+03
 0.13848864E+02  0.15365668E+01  0.30251673E+03
 0.15556761E+02  0.14021413E+01  0.37108303E+03
 0.17475284E+02  0.12789560E+01  0.45550625E+03
 0.19630407E+02  0.11662823E+01  0.55947606E+03
 0.22051307E+02  0.10607786E+01  0.68773407E+03
 0.24770764E+02  0.96498412E+00  0.84613764E+03
 0.27825594E+02  0.87793748E+00  0.10417261E+04
 0.31257158E+02  0.79864203E+00  0.12832116E+04
 0.35111917E+02  0.72528214E+00  0.15816855E+04
 0.39442061E+02  0.65860365E+00  0.19508814E+04
 0.44306215E+02  0.59703831E+00  0.24080213E+04
 0.49770236E+02  0.54124674E+00  0.29745073E+04
 0.55908102E+02  0.49065002E+00  0.36764621E+04
 0.62802914E+02  0.44477188E+00  0.45462550E+04
 0.70548023E+02  0.40272607E+00  0.56247668E+04
 0.79248290E+02  0.36466499E+00  0.69627620E+04
 0.89021509E+02  0.33005050E+00  0.86230497E+04
 0.10000000E+03  0.29872863E+00  0.10683887E+05
