#   nzt =   1
#    zt = 0.2700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.26067600E+01
#    Te =  0.25000000E-01
#   rho =  0.89000000E+01
#  zbar =  0.45652591E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.36713524E+01  0.53300036E-01
 0.11233240E-02  0.38831491E+01  0.56494476E-01
 0.12618569E-02  0.41071697E+01  0.59887031E-01
 0.14174742E-02  0.43426130E+01  0.63490745E-01
 0.15922828E-02  0.45915287E+01  0.67319391E-01
 0.17886495E-02  0.48526451E+01  0.71387933E-01
 0.20092330E-02  0.51285315E+01  0.75712309E-01
 0.22570197E-02  0.54174963E+01  0.80309800E-01
 0.25353645E-02  0.57225843E+01  0.85198839E-01
 0.28480359E-02  0.60415053E+01  0.90399492E-01
 0.31992671E-02  0.63779192E+01  0.95933206E-01
 0.35938137E-02  0.67289231E+01  0.10182333E+00
 0.40370173E-02  0.70988010E+01  0.10809487E+00
 0.45348785E-02  0.74840564E+01  0.11477502E+00
 0.50941380E-02  0.78895764E+01  0.12189292E+00
 0.57223677E-02  0.83102330E+01  0.12948084E+00
 0.64280731E-02  0.87522566E+01  0.13757343E+00
 0.72208090E-02  0.92079905E+01  0.14620961E+00
 0.81113083E-02  0.96856712E+01  0.15543144E+00
 0.91116276E-02  0.10176469E+02  0.16528542E+00
 0.10235310E-01  0.10689748E+02  0.17582196E+00
 0.11497570E-01  0.11217642E+02  0.18709539E+00
 0.12915497E-01  0.11769145E+02  0.19916431E+00
 0.14508288E-01  0.12334240E+02  0.21209355E+00
 0.16297508E-01  0.12923267E+02  0.22595349E+00
 0.18307383E-01  0.13525189E+02  0.24082164E+00
 0.20565123E-01  0.14151484E+02  0.25678238E+00
 0.23101297E-01  0.14796385E+02  0.27392429E+00
 0.25950242E-01  0.15469469E+02  0.29234210E+00
 0.29150531E-01  0.16172160E+02  0.31213200E+00
 0.32745492E-01  0.16911056E+02  0.33339439E+00
 0.36783798E-01  0.17693907E+02  0.35622900E+00
 0.41320124E-01  0.18524212E+02  0.38074685E+00
 0.46415888E-01  0.19570241E+02  0.40693657E+00
 0.52140083E-01  0.20773255E+02  0.43468673E+00
 0.58570208E-01  0.21704528E+02  0.46427654E+00
 0.65793322E-01  0.22493831E+02  0.49622924E+00
 0.73907220E-01  0.23113588E+02  0.53101984E+00
 0.83021757E-01  0.23649191E+02  0.56912976E+00
 0.93260335E-01  0.23940082E+02  0.61119740E+00
 0.10476158E+00  0.24088408E+02  0.65802094E+00
 0.11768120E+00  0.23992739E+02  0.71056866E+00
 0.13219411E+00  0.23747400E+02  0.77004022E+00
 0.14849683E+00  0.23429522E+02  0.83765872E+00
 0.16681005E+00  0.23075386E+02  0.91470806E+00
 0.18738174E+00  0.22620287E+02  0.10027941E+01
 0.21049041E+00  0.22092183E+02  0.11039300E+01
 0.23644894E+00  0.21501707E+02  0.12204673E+01
 0.26560878E+00  0.20874190E+02  0.13551431E+01
 0.29836472E+00  0.20194639E+02  0.15112484E+01
 0.33516027E+00  0.19469425E+02  0.16928603E+01
 0.37649358E+00  0.18766903E+02  0.19045124E+01
 0.42292429E+00  0.18088628E+02  0.21511312E+01
 0.47508102E+00  0.17374966E+02  0.24390095E+01
 0.53366992E+00  0.16612733E+02  0.27765216E+01
 0.59948425E+00  0.15868638E+02  0.31732875E+01
 0.67341507E+00  0.15136966E+02  0.36401681E+01
 0.75646333E+00  0.14396243E+02  0.41907099E+01
 0.84975344E+00  0.13615813E+02  0.48429577E+01
 0.95454846E+00  0.12873757E+02  0.56178592E+01
 0.10722672E+01  0.12158769E+02  0.65389086E+01
 0.12045035E+01  0.11450755E+02  0.76357166E+01
 0.13530478E+01  0.10714213E+02  0.89485739E+01
 0.15199111E+01  0.10013495E+02  0.10525777E+02
 0.17073526E+01  0.93320399E+01  0.12424373E+02
 0.19179103E+01  0.86914967E+01  0.14713471E+02
 0.21544347E+01  0.80718457E+01  0.17478670E+02
 0.24201283E+01  0.74957075E+01  0.20823514E+02
 0.27185882E+01  0.69500337E+01  0.24873067E+02
 0.30538555E+01  0.64456113E+01  0.29778407E+02
 0.34304693E+01  0.59693545E+01  0.35724311E+02
 0.38535286E+01  0.55266295E+01  0.42936913E+02
 0.43287613E+01  0.51046273E+01  0.51699679E+02
 0.48626016E+01  0.47181570E+01  0.62353388E+02
 0.54622772E+01  0.43593138E+01  0.75303320E+02
 0.61359073E+01  0.40263563E+01  0.91048267E+02
 0.68926121E+01  0.37077171E+01  0.11022860E+03
 0.77426368E+01  0.34137747E+01  0.13362633E+03
 0.86974900E+01  0.31342207E+01  0.16221693E+03
 0.97700996E+01  0.28779011E+01  0.19719524E+03
 0.10974988E+02  0.26376939E+01  0.24002923E+03
 0.12328467E+02  0.24175569E+01  0.29252502E+03
 0.13848864E+02  0.22119132E+01  0.35692621E+03
 0.15556761E+02  0.20240909E+01  0.43598665E+03
 0.17475284E+02  0.18497093E+01  0.53310826E+03
 0.19630407E+02  0.16901016E+01  0.65248949E+03
 0.22051307E+02  0.15402506E+01  0.79946809E+03
 0.24770764E+02  0.14040434E+01  0.98062187E+03
 0.27825594E+02  0.12794898E+01  0.12038932E+04
 0.31257158E+02  0.11660303E+01  0.14790880E+04
 0.35111917E+02  0.10610585E+01  0.18185749E+04
 0.39442061E+02  0.96560161E+00  0.22376273E+04
 0.44306215E+02  0.87752859E+00  0.27552808E+04
 0.49770236E+02  0.79753846E+00  0.33951105E+04
 0.55908102E+02  0.72426209E+00  0.41862775E+04
 0.62802914E+02  0.65775745E+00  0.51648700E+04
 0.70548023E+02  0.59679339E+00  0.63759196E+04
 0.79248290E+02  0.54151736E+00  0.78752542E+04
 0.89021509E+02  0.49123833E+00  0.97316673E+04
 0.10000000E+03  0.44564971E+00  0.12030618E+05
