#   nzt =   1
#    zt = 0.2700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31946200E+01
#    Te =  0.25000000E-01
#   rho =  0.33600000E+01
#  zbar =  0.15364554E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.61204428E+01  0.31972068E-01
 0.11233240E-02  0.64650399E+01  0.33889548E-01
 0.12618569E-02  0.68290667E+01  0.35928571E-01
 0.14174742E-02  0.72093464E+01  0.38097613E-01
 0.15922828E-02  0.76107553E+01  0.40405610E-01
 0.17886495E-02  0.80287201E+01  0.42862404E-01
 0.20092330E-02  0.84694581E+01  0.45478511E-01
 0.22570197E-02  0.89270464E+01  0.48265493E-01
 0.25353645E-02  0.94089897E+01  0.51235731E-01
 0.28480359E-02  0.99079692E+01  0.54402837E-01
 0.31992671E-02  0.10432803E+02  0.57781411E-01
 0.35938137E-02  0.10974209E+02  0.61387609E-01
 0.40370173E-02  0.11542751E+02  0.65238777E-01
 0.45348785E-02  0.12125479E+02  0.69354453E-01
 0.50941380E-02  0.12735991E+02  0.73755710E-01
 0.57223677E-02  0.13357851E+02  0.78466248E-01
 0.64280731E-02  0.14007605E+02  0.83511679E-01
 0.72208090E-02  0.14662317E+02  0.88921455E-01
 0.81113083E-02  0.15343564E+02  0.94727690E-01
 0.91116276E-02  0.16024709E+02  0.10096671E+00
 0.10235310E-01  0.16730679E+02  0.10767802E+00
 0.11497570E-01  0.17420184E+02  0.11490894E+00
 0.12915497E-01  0.18128627E+02  0.12271223E+00
 0.14508288E-01  0.18825546E+02  0.13114462E+00
 0.16297508E-01  0.19542076E+02  0.14027092E+00
 0.18307383E-01  0.20390389E+02  0.15012173E+00
 0.20565123E-01  0.21318768E+02  0.16070818E+00
 0.23101297E-01  0.22032795E+02  0.17214775E+00
 0.25950242E-01  0.22691359E+02  0.18460799E+00
 0.29150531E-01  0.23310659E+02  0.19821832E+00
 0.32745492E-01  0.23951654E+02  0.21309101E+00
 0.36783798E-01  0.24275640E+02  0.22946324E+00
 0.41320124E-01  0.24495035E+02  0.24765480E+00
 0.46415888E-01  0.24568599E+02  0.26797268E+00
 0.52140083E-01  0.24619520E+02  0.29073874E+00
 0.58570208E-01  0.24560399E+02  0.31631896E+00
 0.65793322E-01  0.24476225E+02  0.34513773E+00
 0.73907220E-01  0.24302093E+02  0.37768514E+00
 0.83021757E-01  0.24111261E+02  0.41452537E+00
 0.93260335E-01  0.23893832E+02  0.45626270E+00
 0.10476158E+00  0.23671843E+02  0.50357389E+00
 0.11768120E+00  0.23365723E+02  0.55731654E+00
 0.13219411E+00  0.23011544E+02  0.61855432E+00
 0.14849683E+00  0.22632565E+02  0.68845406E+00
 0.16681005E+00  0.22238547E+02  0.76831853E+00
 0.18738174E+00  0.21774591E+02  0.85978103E+00
 0.21049041E+00  0.21258391E+02  0.96486819E+00
 0.23644894E+00  0.20685093E+02  0.10859917E+01
 0.26560878E+00  0.20075206E+02  0.12260101E+01
 0.29836472E+00  0.19426193E+02  0.13883170E+01
 0.33516027E+00  0.18744371E+02  0.15770307E+01
 0.37649358E+00  0.18074748E+02  0.17968206E+01
 0.42292429E+00  0.17422523E+02  0.20528760E+01
 0.47508102E+00  0.16739837E+02  0.23517247E+01
 0.53366992E+00  0.16014950E+02  0.27019400E+01
