#   nzt = 2
#    zt = 2.7000E+01 1.7000E+01
#    wt = 1.0000E+00 2.0000E+00
#    zp = 1.0000E+00
#    rs =  3.25990667E+00
#    Te =  2.50000000E-02
#   rho =  3.36000000E+00
#  zbar =  2.12214560E+00
#   mep = 100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 1.00000000E-03  6.73676577E+00  1.98939408E-02
 1.12332400E-03  7.11944177E+00  2.11804015E-02
 1.26185690E-03  7.52386490E+00  2.25478394E-02
 1.41747420E-03  7.94727750E+00  2.40017167E-02
 1.59228280E-03  8.39444517E+00  2.55478887E-02
 1.78864950E-03  8.86093017E+00  2.71927685E-02
 2.00923300E-03  9.35309967E+00  2.89432529E-02
 2.25701970E-03  9.86472687E+00  3.08068944E-02
 2.53536450E-03  1.04038380E+01  3.27918421E-02
 2.84803590E-03  1.09625913E+01  3.49069973E-02
 3.19926710E-03  1.15504977E+01  3.71619847E-02
 3.59381370E-03  1.21579593E+01  3.95673328E-02
 4.03701730E-03  1.27960383E+01  4.21344520E-02
 4.53487850E-03  1.34520667E+01  4.48759604E-02
 5.09413800E-03  1.41396147E+01  4.78055987E-02
 5.72236770E-03  1.48426900E+01  5.09385981E-02
 6.42807310E-03  1.55775610E+01  5.42916070E-02
 7.22080900E-03  1.63216033E+01  5.78834593E-02
 8.11130830E-03  1.70960540E+01  6.17349167E-02
 9.11162760E-03  1.78741423E+01  6.58692267E-02
 1.02353100E-02  1.86805473E+01  7.03120804E-02
 1.14975700E-02  1.94787267E+01  7.50929996E-02
 1.29154970E-02  2.03002683E+01  8.02448527E-02
 1.45082880E-02  2.11052987E+01  8.58046721E-02
 1.62975080E-02  2.19287550E+01  9.18137429E-02
 1.83073830E-02  2.28095620E+01  9.83067271E-02
 2.05651230E-02  2.37365843E+01  1.05317354E-01
 2.31012970E-02  2.45704723E+01  1.12905471E-01
 2.59502420E-02  2.53905463E+01  1.21146824E-01
 2.91505310E-02  2.63487640E+01  1.30086236E-01
 3.27454920E-02  2.73980857E+01  1.39754077E-01
 3.67837980E-02  2.80098030E+01  1.50289019E-01
 4.13201240E-02  2.84443860E+01  1.61903670E-01
 4.64158880E-02  2.86366717E+01  1.74807814E-01
 5.21400830E-02  2.87571563E+01  1.89224512E-01
 5.85702080E-02  2.86609313E+01  2.05413429E-01
 6.57933220E-02  2.84782837E+01  2.23687997E-01
 7.39072200E-02  2.81172137E+01  2.44415011E-01
 8.30217570E-02  2.76991537E+01  2.68023546E-01
 9.32603350E-02  2.72067240E+01  2.94984387E-01
 1.04761580E-01  2.66896300E+01  3.25838839E-01
 1.17681200E-01  2.60239280E+01  3.61281565E-01
 1.32194110E-01  2.52832740E+01  4.02189343E-01
 1.48496830E-01  2.45209550E+01  4.49530201E-01
 1.66810050E-01  2.37607813E+01  5.04387745E-01
 1.87381740E-01  2.29070317E+01  5.68149579E-01
 2.10490410E-01  2.19887217E+01  6.42609347E-01
 2.36448940E-01  2.10168077E+01  7.29937197E-01
 2.65608780E-01  2.00179320E+01  8.32754205E-01
 2.98364720E-01  1.90275910E+01  9.54140766E-01
 3.35160270E-01  1.80482107E+01  1.09774866E+00
 3.76493580E-01  1.71016107E+01  1.26790945E+00
 4.22924290E-01  1.61901293E+01  1.46972812E+00
 4.75081020E-01  1.53105330E+01  1.70933381E+00
 5.33669920E-01  1.44561763E+01  1.99417934E+00
 5.99484250E-01  1.36370447E+01  2.33322195E+00
 6.73415070E-01  1.28477950E+01  2.73722024E+00
 7.56463330E-01  1.20925337E+01  3.21915987E+00
 8.49753440E-01  1.13553677E+01  3.79503057E+00
 9.54548460E-01  1.06693491E+01  4.48370523E+00
 1.07226720E+00  1.00258295E+01  5.30701815E+00
 1.20450350E+00  9.40536933E+00  6.29209170E+00
 1.35304780E+00  8.78567120E+00  7.47425323E+00
 1.51991110E+00  8.20521253E+00  8.89600589E+00
 1.70735260E+00  7.65474160E+00  1.06070448E+01
 1.91791030E+00  7.13324393E+00  1.26685268E+01
 2.15443470E+00  6.62308537E+00  1.51582082E+01
 2.42012830E+00  6.14869617E+00  1.81705113E+01
 2.71858820E+00  5.69968100E+00  2.18182142E+01
 3.05385550E+00  5.28128933E+00  2.62395365E+01
 3.43046930E+00  4.88049580E+00  3.16070028E+01
 3.85352860E+00  4.50869770E+00  3.81326041E+01
 4.32876130E+00  4.15599533E+00  4.60765206E+01
 4.86260160E+00  3.83176573E+00  5.57562192E+01
 5.46227720E+00  3.52922360E+00  6.75559825E+01
 6.13590730E+00  3.24907450E+00  8.19507321E+01
 6.89261210E+00  2.98259960E+00  9.95409677E+01
 7.74263680E+00  2.73759173E+00  1.21067373E+02
 8.69749000E+00  2.50762077E+00  1.47440281E+02
 9.77009960E+00  2.29741663E+00  1.79779148E+02
 1.09749880E+01  2.10337043E+00  2.19444573E+02
 1.23284670E+01  1.92538463E+00  2.68116803E+02
 1.38488640E+01  1.75881383E+00  3.27909883E+02
 1.55567610E+01  1.60692753E+00  4.01431291E+02
 1.74752840E+01  1.46732347E+00  4.91852629E+02
 1.96304070E+01  1.33951783E+00  6.03104166E+02
 2.20513070E+01  1.21960320E+00  7.40187457E+02
 2.47707640E+01  1.11061921E+00  9.09300015E+02
 2.78255940E+01  1.01124824E+00  1.11792303E+03
 3.12571580E+01  9.20737820E-01  1.37530902E+03
 3.51119170E+01  8.37197993E-01  1.69308074E+03
 3.94420610E+01  7.61200847E-01  2.08567180E+03
 4.43062150E+01  6.90879750E-01  2.57115218E+03
 4.97702360E+01  6.27089610E-01  3.17199118E+03
 5.59081020E+01  5.69100483E-01  3.91564566E+03
 6.28029140E+01  5.16470867E-01  4.83613658E+03
 7.05480230E+01  4.68214073E-01  5.97613719E+03
 7.92482900E+01  4.24470623E-01  7.38870243E+03
 8.90215090E+01  3.84532430E-01  9.13965806E+03
 1.00000000E+02  3.48354123E-01  1.13108240E+04
