#   nzt =   1
#    zt = 0.2700E+02
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.31953600E+01
#    Te =  0.25000000E-01
#   rho =  0.24900000E+01
#  zbar =  0.28336519E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.64646836E+01  0.30269573E-01
 0.11233240E-02  0.68339962E+01  0.32084219E-01
 0.12618569E-02  0.72244168E+01  0.34012414E-01
 0.14174742E-02  0.76337407E+01  0.36061814E-01
 0.15922828E-02  0.80661976E+01  0.38240496E-01
 0.17886495E-02  0.85178882E+01  0.40557382E-01
 0.20092330E-02  0.89946629E+01  0.43021984E-01
 0.22570197E-02  0.94907150E+01  0.45644825E-01
 0.25353645E-02  0.10013660E+02  0.48437168E-01
 0.28480359E-02  0.10556153E+02  0.51411400E-01
 0.31992671E-02  0.11127243E+02  0.54580811E-01
 0.35938137E-02  0.11718164E+02  0.57959991E-01
 0.40370173E-02  0.12339268E+02  0.61564617E-01
 0.45348785E-02  0.12979344E+02  0.65412075E-01
 0.50941380E-02  0.13650781E+02  0.69521103E-01
 0.57223677E-02  0.14339597E+02  0.73912552E-01
 0.64280731E-02  0.15060466E+02  0.78608928E-01
 0.72208090E-02  0.15793437E+02  0.83635884E-01
 0.81113083E-02  0.16557682E+02  0.89021331E-01
 0.91116276E-02  0.17329238E+02  0.94796753E-01
 0.10235310E-01  0.18130621E+02  0.10099647E+00
 0.11497570E-01  0.18931129E+02  0.10765975E+00
 0.12915497E-01  0.19758205E+02  0.11482961E+00
 0.14508288E-01  0.20570246E+02  0.12255635E+00
 0.16297508E-01  0.21402458E+02  0.13089650E+00
 0.18307383E-01  0.22254101E+02  0.13990406E+00
 0.20565123E-01  0.23137976E+02  0.14963492E+00
 0.23101297E-01  0.24008705E+02  0.16015894E+00
 0.25950242E-01  0.24899481E+02  0.17156038E+00
 0.29150531E-01  0.26039286E+02  0.18385904E+00
 0.32745492E-01  0.27329317E+02  0.19702945E+00
 0.36783798E-01  0.28139961E+02  0.21125829E+00
 0.41320124E-01  0.28748369E+02  0.22684738E+00
 0.46415888E-01  0.29045425E+02  0.24408945E+00
 0.52140083E-01  0.29230698E+02  0.26329906E+00
