#   nzt =   1
#    zt = 0.7000E+01
#    wt = 0.1000E+01
#    zp = 0.1000E+01
#    rs =  0.28198500E+01
#    Te =  0.25000000E-01
#   rho =  0.24900000E+01
#  zbar =  0.19976822E+01
#   mep =  100
# mloss =  24
#   E/AMU (MeV)            dEdX           range
 0.10000000E-02  0.44030986E+01  0.10565665E-01
 0.11233240E-02  0.46546289E+01  0.11199072E-01
 0.12618569E-02  0.49205335E+01  0.11872115E-01
 0.14174742E-02  0.51993234E+01  0.12587466E-01
 0.15922828E-02  0.54938672E+01  0.13347943E-01
 0.17886495E-02  0.58015430E+01  0.14156660E-01
 0.20092330E-02  0.61263048E+01  0.15016932E-01
 0.22570197E-02  0.64642680E+01  0.15932428E-01
 0.25353645E-02  0.68205584E+01  0.16907074E-01
 0.28480359E-02  0.71902266E+01  0.17945187E-01
 0.31992671E-02  0.75793879E+01  0.19051400E-01
 0.35938137E-02  0.79821384E+01  0.20230797E-01
 0.40370173E-02  0.84054689E+01  0.21488841E-01
 0.45348785E-02  0.88419191E+01  0.22831583E-01
 0.50941380E-02  0.92997837E+01  0.24265541E-01
 0.57223677E-02  0.97696588E+01  0.25797972E-01
 0.64280731E-02  0.10261425E+02  0.27436707E-01
 0.72208090E-02  0.10761610E+02  0.29190675E-01
 0.81113083E-02  0.11283158E+02  0.31069593E-01
 0.91116276E-02  0.11809951E+02  0.33084410E-01
 0.10235310E-01  0.12357147E+02  0.35247070E-01
 0.11497570E-01  0.12905100E+02  0.37571123E-01
 0.12915497E-01  0.13471617E+02  0.40071381E-01
 0.14508288E-01  0.14028836E+02  0.42765214E-01
 0.16297508E-01  0.14600198E+02  0.45672086E-01
 0.18307383E-01  0.15177090E+02  0.48811586E-01
 0.20565123E-01  0.15772798E+02  0.52204608E-01
 0.23101297E-01  0.16372159E+02  0.55874389E-01
 0.25950242E-01  0.16989776E+02  0.59848124E-01
 0.29150531E-01  0.17780727E+02  0.64131650E-01
 0.32745492E-01  0.18675795E+02  0.68715563E-01
 0.36783798E-01  0.19265040E+02  0.73661397E-01
 0.41320124E-01  0.19722554E+02  0.79069548E-01
 0.46415888E-01  0.19993995E+02  0.85034679E-01
 0.52140083E-01  0.20196779E+02  0.91655881E-01
 0.58570208E-01  0.20196768E+02  0.99057117E-01
 0.65793322E-01  0.20100544E+02  0.10739119E+00
 0.73907220E-01  0.19827092E+02  0.11684179E+00
 0.83021757E-01  0.19479328E+02  0.12762782E+00
 0.93260335E-01  0.19051362E+02  0.13999003E+00
 0.10476158E+00  0.18589094E+02  0.15420312E+00
 0.11768120E+00  0.18003865E+02  0.17062788E+00
 0.13219411E+00  0.17355521E+02  0.18972767E+00
 0.14849683E+00  0.16688587E+02  0.21201593E+00
 0.16681005E+00  0.16024029E+02  0.23806788E+00
 0.18738174E+00  0.15298773E+02  0.26863219E+00
 0.21049041E+00  0.14534032E+02  0.30468548E+00
 0.23644894E+00  0.13735370E+02  0.34743227E+00
 0.26560878E+00  0.12922718E+02  0.39836533E+00
 0.29836472E+00  0.12122778E+02  0.45927092E+00
 0.33516027E+00  0.11336143E+02  0.53232524E+00
 0.37649358E+00  0.10576904E+02  0.62018654E+00
 0.42292429E+00  0.98454185E+01  0.72610369E+00
 0.47508102E+00  0.91560915E+01  0.85398679E+00
 0.53366992E+00  0.85043883E+01  0.10085479E+01
 0.59948425E+00  0.78835308E+01  0.11956551E+01
 0.67341507E+00  0.72897107E+01  0.14227059E+01
 0.75646333E+00  0.67380981E+01  0.16985977E+01
 0.84975344E+00  0.62226418E+01  0.20340533E+01
 0.95454846E+00  0.57472881E+01  0.24420755E+01
 0.10722672E+01  0.53074485E+01  0.29383513E+01
 0.12045035E+01  0.48990048E+01  0.35421367E+01
 0.13530478E+01  0.45157756E+01  0.42774839E+01
 0.15199111E+01  0.41620889E+01  0.51736760E+01
 0.17073526E+01  0.38337393E+01  0.62662709E+01
 0.19179103E+01  0.35292188E+01  0.75990367E+01
 0.21544347E+01  0.32428205E+01  0.92270030E+01
 0.24201283E+01  0.29790678E+01  0.11217468E+02
 0.27185882E+01  0.27341312E+01  0.13652586E+02
 0.30538555E+01  0.25081310E+01  0.16633624E+02
 0.34304693E+01  0.22966807E+01  0.20287588E+02
 0.38535286E+01  0.21024488E+01  0.24770710E+02
 0.43287613E+01  0.19222639E+01  0.30275663E+02
 0.48626016E+01  0.17573436E+01  0.37039429E+02
 0.54622772E+01  0.16050861E+01  0.45354259E+02
 0.61359073E+01  0.14650600E+01  0.55583012E+02
 0.68926121E+01  0.13339593E+01  0.68188362E+02
 0.77426368E+01  0.12143089E+01  0.83741981E+02
 0.86974900E+01  0.11041179E+01  0.10294738E+03
 0.97700996E+01  0.10038605E+01  0.12667532E+03
 0.10974988E+02  0.91224250E+00  0.15599923E+03
 0.12328467E+02  0.82877269E+00  0.19225050E+03
 0.13848864E+02  0.75190281E+00  0.23710791E+03
 0.15556761E+02  0.68220898E+00  0.29264948E+03
 0.17475284E+02  0.61905621E+00  0.36140786E+03
 0.19630407E+02  0.56152361E+00  0.44653082E+03
 0.22051307E+02  0.50801680E+00  0.55210048E+03
 0.24770764E+02  0.45971549E+00  0.68318418E+03
 0.27825594E+02  0.41660137E+00  0.84577668E+03
 0.31257158E+02  0.37751292E+00  0.10473122E+04
 0.35111917E+02  0.34188984E+00  0.12972205E+04
 0.39442061E+02  0.30956148E+00  0.16071951E+04
 0.44306215E+02  0.27957209E+00  0.19923039E+04
 0.49770236E+02  0.25252152E+00  0.24713602E+04
 0.55908102E+02  0.22847970E+00  0.30665801E+04
 0.62802914E+02  0.20671120E+00  0.38054704E+04
 0.70548023E+02  0.18665149E+00  0.47238727E+04
 0.79248290E+02  0.16854235E+00  0.58664830E+04
 0.89021509E+02  0.15223696E+00  0.72876753E+04
 0.10000000E+03  0.13751057E+00  0.90552354E+04
